"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Line Interface","Protocols","Trans Interface","Pwr Sup","Pkgs"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L33","XRT91L33IG-F","http://www.exar.com/common/content/document.ashx?id=1343&languageid=1033&type=datasheet&part=xrt91l33","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l33/","STS-12/STS-3 Multirate Clock and Data Recovery Unit","OC-12/3 STM-4/1","SONET/SDH","LVDS","3.3V","TSSOP-20"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L31","XRT91L31IQ","http://www.exar.com/common/content/document.ashx?id=1342&languageid=1033&type=datasheet&part=xrt91l31","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l31/","STS-12/STM-4 or STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","PQFP-64"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L31","XRT91L31IQ-F","http://www.exar.com/common/content/document.ashx?id=1342&languageid=1033&type=datasheet&part=xrt91l31","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l31/","STS-12/STM-4 or STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","PQFP-64"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L34","XRT91L34IV","http://www.exar.com/common/content/document.ashx?id=945&languageid=1033&type=datasheet&part=xrt91l34","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l34/","Quad Channel Multirate STS-12/3/1 and STM-4/1/0 SONET/SDH CDR","OC-12/3/1 STM-4/1/0","SONET/SDH","8-Bit TTL","3.3V/1.8V","LQFP-128"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L34","XRT91L34IV-F","http://www.exar.com/common/content/document.ashx?id=945&languageid=1033&type=datasheet&part=xrt91l34","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l34/","Quad Channel Multirate STS-12/3/1 and STM-4/1/0 SONET/SDH CDR","OC-12/3/1 STM-4/1/0","SONET/SDH","8-Bit TTL","3.3V/1.8V","LQFP-128"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L33A","XRT91L33AIG-F","http://www.exar.com/common/content/document.ashx?id=20141&languageid=1033&type=datasheet&part=xrt91l33a","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l33a/","STS-12/STS-3 Multirate Clock and Data Recovery Unit","OC-12/3 STM-4/1","SONET/SDH","LVDS","3.3V","TSSOP-20"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L30","XRT91L30IQ","http://www.exar.com/common/content/document.ashx?id=117&languageid=1033&type=datasheet&part=xrt91l30","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l30/","STS-12/STM-4 OR STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","PQFP-64"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L30","XRT91L30IQ-F","http://www.exar.com/common/content/document.ashx?id=117&languageid=1033&type=datasheet&part=xrt91l30","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l30/","STS-12/STM-4 OR STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","PQFP-64"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L32","XRT91L32IQ","http://www.exar.com/common/content/document.ashx?id=456&languageid=1033&type=datasheet&part=xrt91l32","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l32/","STS-12/STM-4 or STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","QFP-100"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L32","XRT91L32IQ-F","http://www.exar.com/common/content/document.ashx?id=456&languageid=1033&type=datasheet&part=xrt91l32","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l32/","STS-12/STM-4 or STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","QFP-100"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L32","XRT91L32IQTR","http://www.exar.com/common/content/document.ashx?id=456&languageid=1033&type=datasheet&part=xrt91l32","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l32/","STS-12/STM-4 or STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","QFP-100"
"exar","Communications---SDH/SONET-Transceivers/CDR-Transceivers/CDR","XRT91L32","XRT91L32IQTR-F","http://www.exar.com/common/content/document.ashx?id=456&languageid=1033&type=datasheet&part=xrt91l32","http://www.exar.com/communications/sdh-sonet/transceivers-cdr/xrt91l32/","STS-12/STM-4 or STS-3/STM-1 SONET/SDH Transceiver","OC-12/OC-3","SONET/SDH","8-Bit TTL","3.3V","QFP-100"
