"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Outputs (#)","Output Type","Output  Frequency (MHz)","Inputs (#)","Input Type","Input  Frequency (MHz)","Sup V","IDD (mA)","Typ Jitter","Operating  Temperature Range","Pkgs"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81411","XR81411EVB","http://www.exar.com/common/content/document.ashx?id=21658&languageid=1033&type=datasheet&part=xr81411","http://www.exar.com/communications/timing/universal-clocks/xr81411/","Universal Quad Clock - High Frequency LVCMOS/LVDS/LVPECL Clock Synthesizer","4","LVCMOS/LVDS/LVPECL","10-800","1","Crystal or LVCMOS","10 - 60","2.5/3.3","165","0.6 ps","-40°C to +85°C","LGA-45"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81411","XR81411-F","http://www.exar.com/common/content/document.ashx?id=21658&languageid=1033&type=datasheet&part=xr81411","http://www.exar.com/communications/timing/universal-clocks/xr81411/","Universal Quad Clock - High Frequency LVCMOS/LVDS/LVPECL Clock Synthesizer","4","LVCMOS/LVDS/LVPECL","10-800","1","Crystal or LVCMOS","10 - 60","2.5/3.3","165","0.6 ps","-40°C to +85°C","LGA-45"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81411","XR81411TR-F","http://www.exar.com/common/content/document.ashx?id=21658&languageid=1033&type=datasheet&part=xr81411","http://www.exar.com/communications/timing/universal-clocks/xr81411/","Universal Quad Clock - High Frequency LVCMOS/LVDS/LVPECL Clock Synthesizer","4","LVCMOS/LVDS/LVPECL","10-800","1","Crystal or LVCMOS","10 - 60","2.5/3.3","165","0.6 ps","-40°C to +85°C","LGA-45"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81102","XR81102-CA02-F","http://www.exar.com/common/content/document.ashx?id=21520&languageid=1033&type=datasheet&part=xr81102","http://www.exar.com/communications/timing/universal-clocks/xr81102/","Universal Clock - High Frequency LVCMOS Clock Synthesizer","1","LVPECL","125","1","Crystal, LVCMOS","10 - 60","2.5/3.3","66","150 fs (1.875M-20Mhz)","-40°C to +85°C","TSSOP8"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81102","XR81102-CA02TR-F","http://www.exar.com/common/content/document.ashx?id=21520&languageid=1033&type=datasheet&part=xr81102","http://www.exar.com/communications/timing/universal-clocks/xr81102/","Universal Clock - High Frequency LVCMOS Clock Synthesizer","1","LVPECL","125","1","Crystal, LVCMOS","10 - 60","2.5/3.3","66","150 fs (1.875M-20Mhz)","-40°C to +85°C","TSSOP8"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81102","XR81102EVB","http://www.exar.com/common/content/document.ashx?id=21520&languageid=1033&type=datasheet&part=xr81102","http://www.exar.com/communications/timing/universal-clocks/xr81102/","Universal Clock - High Frequency LVCMOS Clock Synthesizer","1","LVPECL","125","1","Crystal, LVCMOS","10 - 60","2.5/3.3","66","150 fs (1.875M-20Mhz)","-40°C to +85°C","TSSOP8"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81101","XR81101-AA02-F","http://www.exar.com/common/content/document.ashx?id=21519&languageid=1033&type=datasheet&part=xr81101","http://www.exar.com/communications/timing/universal-clocks/xr81101/","Universal Clock - High Frequency LVCMOS Clock Synthesizer","1","LVCMOS","125","1","Crystal, LVCMOS","10 - 60","2.5/3.3","45","150 fs (1.875M-20Mhz)","-40°C to +85°C","TSSOP8"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81101","XR81101-AA02TR-F","http://www.exar.com/common/content/document.ashx?id=21519&languageid=1033&type=datasheet&part=xr81101","http://www.exar.com/communications/timing/universal-clocks/xr81101/","Universal Clock - High Frequency LVCMOS Clock Synthesizer","1","LVCMOS","125","1","Crystal, LVCMOS","10 - 60","2.5/3.3","45","150 fs (1.875M-20Mhz)","-40°C to +85°C","TSSOP8"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81101","XR81101EVB","http://www.exar.com/common/content/document.ashx?id=21519&languageid=1033&type=datasheet&part=xr81101","http://www.exar.com/communications/timing/universal-clocks/xr81101/","Universal Clock - High Frequency LVCMOS Clock Synthesizer","1","LVCMOS","125","1","Crystal, LVCMOS","10 - 60","2.5/3.3","45","150 fs (1.875M-20Mhz)","-40°C to +85°C","TSSOP8"
"exar","Communications---Timing and Data I/F-Universal Clocks-Universal Clocks","XR81111","XR81111-CA04-F","http://www.exar.com/common/content/document.ashx?id=21521&languageid=1033&type=datasheet&part=xr81111","http://www.exar.com/communications/timing/universal-clocks/xr81111/","Universal Clock - High Frequency LVPECL Clock Synthesizer","1","LVCMOS/LVDS/LVPECL","10-1500","1","Crystal, LVCMOS","10 - 60","2.5/3.3","88","0.6 ps (12K-20M)","-40°C to +85°C","QFN10"
