"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","No. of  Tx","No. of  Rx","Data Rate  (kbps)","ESD  (kV)","VCC  MIN.  (V)","VCC  MAX.  (V)","VCC (V)","Int. Chrg.  Pump","No. of  Ext  Caps","Nom  Cap.  Value  (µF)","Shutdown","TTL  Tri-state"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EBCR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EBCRTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EBER-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EBERTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EHCR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EHCRTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EUCR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32431","XR32431EUCRTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32431","http://www.exar.com/connectivity/transceiver/rs232/xr32431/","3-Driver/5-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EBCR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EBCRTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
