"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","VCC (V)","No. of  Tx","No. of  Rx","Duplex","Data Rate  (kbps)","ESD  (kV)","Typ.  Shutdown  ICC (µA)","Rx  Fail safe  Open","Rx  Fail safe  Short","Shutdown","Multi-Drop  Nodes"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR5488E","XR5488EID-F","http://www.exar.com/common/content/document.ashx?id=1593&languageid=1033&type=datasheet&part=xr5488e","http://www.exar.com/connectivity/transceiver/rs422/xr5488e/","5V Ultra High Speed RS-485/RS-422 PROFIBUS Transceivers, Advanced Failsafe, Hot Swap Protection,  ±15kV ESD-Protected","5","1","1","Half","52000","15","1","▪","-","-","256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR5488E","XR5488EIDTR-F","http://www.exar.com/common/content/document.ashx?id=1593&languageid=1033&type=datasheet&part=xr5488e","http://www.exar.com/connectivity/transceiver/rs422/xr5488e/","5V Ultra High Speed RS-485/RS-422 PROFIBUS Transceivers, Advanced Failsafe, Hot Swap Protection,  ±15kV ESD-Protected","5","1","1","Half","52000","15","1","▪","-","-","256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR5487E","XR5487EID-F","http://www.exar.com/common/content/document.ashx?id=1593&languageid=1033&type=datasheet&part=xr5487e","http://www.exar.com/connectivity/transceiver/rs422/xr5487e/","5V Ultra High Speed RS-485/RS-422 PROFIBUS Transceivers, Advanced Failsafe, Hot Swap Protection,  ±15kV ESD-Protected","5","1","1","Full","52000","15","1","▪","-","-","256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR5487E","XR5487EIDTR-F","http://www.exar.com/common/content/document.ashx?id=1593&languageid=1033&type=datasheet&part=xr5487e","http://www.exar.com/connectivity/transceiver/rs422/xr5487e/","5V Ultra High Speed RS-485/RS-422 PROFIBUS Transceivers, Advanced Failsafe, Hot Swap Protection,  ±15kV ESD-Protected","5","1","1","Full","52000","15","1","▪","-","-","256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR5486E","XR5486EID-F","http://www.exar.com/common/content/document.ashx?id=1593&languageid=1033&type=datasheet&part=xr5486e","http://www.exar.com/connectivity/transceiver/rs422/xr5486e/","5V High Ultra High Speed RS-485/RS-422 PROFIBUS Transceivers, Advanced Failsafe, Hot Swap Protection, ±15kV ESD-Protected","5","1","1","Full","52000","15","1","▪","-","-","256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR5486E","XR5486EIDTR-F","http://www.exar.com/common/content/document.ashx?id=1593&languageid=1033&type=datasheet&part=xr5486e","http://www.exar.com/connectivity/transceiver/rs422/xr5486e/","5V High Ultra High Speed RS-485/RS-422 PROFIBUS Transceivers, Advanced Failsafe, Hot Swap Protection, ±15kV ESD-Protected","5","1","1","Full","52000","15","1","▪","-","-","256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3086X","XR3086XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3086x","http://www.exar.com/connectivity/transceiver/rs422/xr3086x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3086X","XR3086XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3086x","http://www.exar.com/connectivity/transceiver/rs422/xr3086x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3088X","XR3088XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3088x","http://www.exar.com/connectivity/transceiver/rs422/xr3088x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Half","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3088X","XR3088XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3088x","http://www.exar.com/connectivity/transceiver/rs422/xr3088x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Half","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3087X","XR3087XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3087x","http://www.exar.com/connectivity/transceiver/rs422/xr3087x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3087X","XR3087XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3087x","http://www.exar.com/connectivity/transceiver/rs422/xr3087x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3081X","XR3081XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3081x","http://www.exar.com/connectivity/transceiver/rs422/xr3081x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3081X","XR3081XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3081x","http://www.exar.com/connectivity/transceiver/rs422/xr3081x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3080X","XR3080XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3080x","http://www.exar.com/connectivity/transceiver/rs422/xr3080x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3080X","XR3080XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3080x","http://www.exar.com/connectivity/transceiver/rs422/xr3080x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3084X","XR3084XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3084x","http://www.exar.com/connectivity/transceiver/rs422/xr3084x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","1Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3084X","XR3084XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3084x","http://www.exar.com/connectivity/transceiver/rs422/xr3084x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","1Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3077X","XR3077XID-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3077x","http://www.exar.com/connectivity/transceiver/rs422/xr3077x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3077X","XR3077XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3077x","http://www.exar.com/connectivity/transceiver/rs422/xr3077x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3076X","XR3076XID-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3076x","http://www.exar.com/connectivity/transceiver/rs422/xr3076x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3076X","XR3076XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3076x","http://www.exar.com/connectivity/transceiver/rs422/xr3076x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Full","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3082X","XR3082XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3082x","http://www.exar.com/connectivity/transceiver/rs422/xr3082x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Half","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3082X","XR3082XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3082x","http://www.exar.com/connectivity/transceiver/rs422/xr3082x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Half","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3085X","XR3085XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3085x","http://www.exar.com/connectivity/transceiver/rs422/xr3085x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Half","1Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3085X","XR3085XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3085x","http://www.exar.com/connectivity/transceiver/rs422/xr3085x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Half","1Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3083X","XR3083XID-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3083x","http://www.exar.com/connectivity/transceiver/rs422/xr3083x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","1Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3083X","XR3083XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21260&languageid=1033&type=datasheet&part=xr3083x","http://www.exar.com/connectivity/transceiver/rs422/xr3083x/","High Output 18V Tolerant RS-485/RS-422 +5V Transceivers","5","1","1","Full","1Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3078X","XR3078XID-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3078x","http://www.exar.com/connectivity/transceiver/rs422/xr3078x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Half","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3078X","XR3078XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3078x","http://www.exar.com/connectivity/transceiver/rs422/xr3078x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Half","20Mbps","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3072X","XR3072XID-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3072x","http://www.exar.com/connectivity/transceiver/rs422/xr3072x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Half","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","XR3072X","XR3072XIDTR-F","http://www.exar.com/common/content/document.ashx?id=21693&languageid=1033&type=datasheet&part=xr3072x","http://www.exar.com/connectivity/transceiver/rs422/xr3072x/","Low Power 18V Tolerant RS-485/RS-422 +3.3V Transceivers","3.3","1","1","Half","250","15","1nA","▪","▪","▪","up to 256"
"exar","Connectivity---Serial Transceivers-RS422-RS422","SP491E","SP491ECN","http://www.exar.com/common/content/document.ashx?id=747&languageid=1033&type=datasheet&part=sp491e","http://www.exar.com/connectivity/transceiver/rs422/sp491e/","Enhanced Full Duplex RS-485 Transceivers","5","1","1","Full","10000","15","-","▪","-","▪","32"
"exar","Connectivity---Serial Transceivers-RS422-RS422","SP491E","SP491ECN-L","http://www.exar.com/common/content/document.ashx?id=747&languageid=1033&type=datasheet&part=sp491e","http://www.exar.com/connectivity/transceiver/rs422/sp491e/","Enhanced Full Duplex RS-485 Transceivers","5","1","1","Full","10000","15","-","▪","-","▪","32"
"exar","Connectivity---Serial Transceivers-RS422-RS422","SP491E","SP491ECN-L/TR","http://www.exar.com/common/content/document.ashx?id=747&languageid=1033&type=datasheet&part=sp491e","http://www.exar.com/connectivity/transceiver/rs422/sp491e/","Enhanced Full Duplex RS-485 Transceivers","5","1","1","Full","10000","15","-","▪","-","▪","32"
