"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","CH","Max Data Rate  @  5/3.3/2.5/1.8V (Mbps)","Tx/Rx  FIFO  (Bytes)","Tx/Rx  FIFO  Ctrs","Tx/Rx  FIFO  INT Trig","Auto  RTS/CTS","IrDa  Sup","5V  Tol  Inputs","Sup V","Pkgs"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684CJ/44-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684CJ-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684CJTR/44-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684CJTR-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684J/44-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684J-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684JTR/44-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR82C684","XR82C684JTR-F","http://www.exar.com/common/content/document.ashx?id=428&languageid=1033&type=datasheet&part=xr82c684","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr82c684/","Quad UART with Four Fully Independent Full-Duplex Asynchronous Communication Channels","Intel or Motorola","4","1/na/na/na","3/3","-","No/No","▪","-","-","5","PLCC-44, PLCC-68"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681CJ-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681CJTR-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681CP/28-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681CP/40","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681CP/40-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681J-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681JTR-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681JTRS186-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681P/28-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681P/40","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C681","XR88C681P/40-F","http://www.exar.com/common/content/document.ashx?id=62&languageid=1033&type=datasheet&part=xr88c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c681/","Dual UART CMOS with Two Fully Independent Full Duplex Asynchronous Communications Channels","Intel","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-28, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192CJ-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192CJTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192CV-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192CVTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192IJ-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192IJTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192IV-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C192","XR88C192IVTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92CJ-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92CJTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92CV-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92CVTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92IJ-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92IJTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92IV-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR88C92","XR88C92IVTR-F","http://www.exar.com/common/content/document.ashx?id=364&languageid=1033&type=datasheet&part=xr88c92","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr88c92/","Dual UART with 8 Bytes Transmit and Receive FIFO","Intel","2","1/0.5/na/na","8/8","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681CJ-F","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681CJTR-F","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681CP","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681CP-F","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681J-F","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681JTR-F","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681P","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C681","XR68C681P-F","http://www.exar.com/common/content/document.ashx?id=375&languageid=1033&type=datasheet&part=xr68c681","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c681/","Dual UART with Two Fully Independent Full Duplex Asynchronous Communications Channels","Motorola","2","1/na/na/na","1/3","-","No/No","▪","-","-","5","CDIP-40, PDIP-40, PLCC-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192CJ-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192CJTR-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192CV-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192CVTR-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192IJ-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192IJTR-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192IV-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR68C192","XR68C192IVTR-F","http://www.exar.com/common/content/document.ashx?id=350&languageid=1033&type=datasheet&part=xr68c192","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr68c192/","Dual UART with 16 Bytes Transmit and Receive FIFO","Motorola","2","1/0.5/na/na","16/16","-","4 Levels/ 4 Levels","▪","-","▪","2.97-5.5","PLCC-44, LQFP-44"
"exar","Connectivity---UART & Bridging Solutions-8-Bit/VLIO UARTs-8-Bit/VLIO UARTs","XR16V698","XR16V698IQ100-F","http://www.exar.com/common/content/document.ashx?id=943&languageid=1033&type=datasheet&part=xr16v698","http://www.exar.com/connectivity/uart-and-bridging-solutions/8-bit-vlio-uarts/xr16v698/","2.25V to 3.6V High Performance Octal UART with 32-Byte FIFO","Intel or Motorola","8","na/15/10/na","32/32","▪","Program/ Program","▪","▪","▪","2.25-3.6","QFP-100"
