"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","CH","Max Data Rate  @  5/3.3/2.5/1.8V (Mbps)","Tx/Rx  FIFO  Ctrs","Tx/Rx  FIFO  (Bytes)","Program   Trigger   Levels","Auto  RS-485","Fractional   Baud Rate   Gen.","Pwr Down  Mode","5V  Tol  Inputs","Sup V","No. of  GPIOs","Pkgs"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C158","XR17C158CV","http://www.exar.com/common/content/document.ashx?id=190&languageid=1033&type=datasheet&part=xr17c158","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c158/","Eight Channel, 5V, PCI Bus UART","PCI Bus 2.2","8","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C158","XR17C158CV-F","http://www.exar.com/common/content/document.ashx?id=190&languageid=1033&type=datasheet&part=xr17c158","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c158/","Eight Channel, 5V, PCI Bus UART","PCI Bus 2.2","8","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C158","XR17C158CV-SAD-F","http://www.exar.com/common/content/document.ashx?id=190&languageid=1033&type=datasheet&part=xr17c158","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c158/","Eight Channel, 5V, PCI Bus UART","PCI Bus 2.2","8","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C158","XR17C158CVTR-F","http://www.exar.com/common/content/document.ashx?id=190&languageid=1033&type=datasheet&part=xr17c158","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c158/","Eight Channel, 5V, PCI Bus UART","PCI Bus 2.2","8","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C158","XR17C158IV","http://www.exar.com/common/content/document.ashx?id=190&languageid=1033&type=datasheet&part=xr17c158","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c158/","Eight Channel, 5V, PCI Bus UART","PCI Bus 2.2","8","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C158","XR17C158IV-F","http://www.exar.com/common/content/document.ashx?id=190&languageid=1033&type=datasheet&part=xr17c158","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c158/","Eight Channel, 5V, PCI Bus UART","PCI Bus 2.2","8","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C158","XR17C158IVTR-F","http://www.exar.com/common/content/document.ashx?id=190&languageid=1033&type=datasheet&part=xr17c158","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c158/","Eight Channel, 5V, PCI Bus UART","PCI Bus 2.2","8","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C154","XR17C154CV","http://www.exar.com/common/content/document.ashx?id=371&languageid=1033&type=datasheet&part=xr17c154","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c154/","5V PCI Bus Quad UART","PCI Bus 2.2","4","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C154","XR17C154CV-F","http://www.exar.com/common/content/document.ashx?id=371&languageid=1033&type=datasheet&part=xr17c154","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c154/","5V PCI Bus Quad UART","PCI Bus 2.2","4","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C154","XR17C154IV","http://www.exar.com/common/content/document.ashx?id=371&languageid=1033&type=datasheet&part=xr17c154","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c154/","5V PCI Bus Quad UART","PCI Bus 2.2","4","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C154","XR17C154IV-F","http://www.exar.com/common/content/document.ashx?id=371&languageid=1033&type=datasheet&part=xr17c154","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c154/","5V PCI Bus Quad UART","PCI Bus 2.2","4","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
"exar","Connectivity---UART & Bridging Solutions-PCI UARTs-PCI UARTs (5V)","XR17C154","XR17C154IVTR-F","http://www.exar.com/common/content/document.ashx?id=371&languageid=1033&type=datasheet&part=xr17c154","http://www.exar.com/connectivity/uart-and-bridging-solutions/pci-uarts/pci-uarts-5v/xr17c154/","5V PCI Bus Quad UART","PCI Bus 2.2","4","6.25/na/na/na","▪","64/64","▪","▪","-","▪","▪","3.0-3.6","8","LQFP-144"
