"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","CH","Max Data Rate  @  5/3.3/2.5/1.8V (Mbps)","Tx/Rx  FIFO  (Bytes)","Tx/Rx  FIFO  Ctrs","Tx/Rx  FIFO  INT Trig","Auto  RTS/CTS","IrDa  Sup","Auto  RS-485","5V  Tol  Inputs","Sup V","Pkgs"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V352","XR17V352IB-0A-EVB","http://www.exar.com/common/content/document.ashx?id=1585&languageid=1033&type=datasheet&part=xr17v352","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v352/","High Performance Dual PCI Express UART","PCIe Bus (2.0 Gen 1)","2","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-113"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V352","XR17V352IB113-F","http://www.exar.com/common/content/document.ashx?id=1585&languageid=1033&type=datasheet&part=xr17v352","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v352/","High Performance Dual PCI Express UART","PCIe Bus (2.0 Gen 1)","2","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-113"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V354","XR17V354/SP339-0A-EB","http://www.exar.com/common/content/document.ashx?id=1586&languageid=1033&type=datasheet&part=xr17v354","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v354/","High Performance Quad PCI Express UART","PCIe Bus (2.0 Gen 1)","4","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V354","XR17V354/SP339-E4-EB","http://www.exar.com/common/content/document.ashx?id=1586&languageid=1033&type=datasheet&part=xr17v354","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v354/","High Performance Quad PCI Express UART","PCIe Bus (2.0 Gen 1)","4","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V354","XR17V354/SP339-E8-EB","http://www.exar.com/common/content/document.ashx?id=1586&languageid=1033&type=datasheet&part=xr17v354","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v354/","High Performance Quad PCI Express UART","PCIe Bus (2.0 Gen 1)","4","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V354","XR17V354IB176-F","http://www.exar.com/common/content/document.ashx?id=1586&languageid=1033&type=datasheet&part=xr17v354","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v354/","High Performance Quad PCI Express UART","PCIe Bus (2.0 Gen 1)","4","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V358","XR17V358/SP339-0A-EB","http://www.exar.com/common/content/document.ashx?id=1587&languageid=1033&type=datasheet&part=xr17v358","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v358/","High Performance Octal PCI Express UART	","PCIe Bus (2.0 Gen 1)","8","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V358","XR17V358/SP339-E4-EB","http://www.exar.com/common/content/document.ashx?id=1587&languageid=1033&type=datasheet&part=xr17v358","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v358/","High Performance Octal PCI Express UART	","PCIe Bus (2.0 Gen 1)","8","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V358","XR17V358/SP339-E8-EB","http://www.exar.com/common/content/document.ashx?id=1587&languageid=1033&type=datasheet&part=xr17v358","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v358/","High Performance Octal PCI Express UART	","PCIe Bus (2.0 Gen 1)","8","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
"exar","Connectivity---UART & Bridging Solutions-PCIe UARTs-PCIe UARTs","XR17V358","XR17V358IB176-F","http://www.exar.com/common/content/document.ashx?id=1587&languageid=1033&type=datasheet&part=xr17v358","http://www.exar.com/connectivity/uart-and-bridging-solutions/pcie-uarts/xr17v358/","High Performance Octal PCI Express UART	","PCIe Bus (2.0 Gen 1)","8","na/25/na/na","256/256","▪","Program/ Program","▪","▪","▪","-","3.3","fpBGA-176"
