"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","CH","Max Data Rate  @  5/3.3/2.5/1.8V (Mbps)","Tx/Rx  FIFO  (Bytes)","Tx/Rx  FIFO  Ctrs","Tx/Rx  FIFO  INT Trig","Auto  RTS/CTS","IrDa  Sup","5V  Tol  Inputs","Sup V","Pkgs"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280IL24-F","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280IL24TR-F","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280IL32-F","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280IL32TR-F","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280IL40-F","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280IL40TR-F","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280L24-0A-EB","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280L24-0B-EB","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280L32-0A-EB","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
"exar","Connectivity-UART & Bridging Solutions-I2C/SPI UARTs-I2C/SPI UARTs","XR20M1280","XR20M1280L32-0B-EB","http://www.exar.com/common/content/document.ashx?id=20592&languageid=1033&type=datasheet&part=xr20m1280","http://www.exar.com/connectivity/uart-and-bridging-solutions/i2c-spi-uarts/xr20m1280/","I2C/SPI UART with 128-Byte FIFO and Integrated Level Shifters","I2C/SPI","1","na/24/16/10","128/128","▪","▪","▪","▪","▪","1.62-3.63","QFN-24, QFN-32 QFN-40"
