"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","CH","Max Data Rate  @  5/3.3/2.5/1.8V (Mbps)","Tx/Rx  FIFO  (Bytes)","Auto  RTS/CTS","IrDa  Sup","Auto  RS-485","5V  Tol  Inputs","Sup V","Pkgs"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1412","XR21V1412IL-0B-EB","http://www.exar.com/common/content/document.ashx?id=1415&languageid=1033&type=datasheet&part=xr21v1412","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1412/","2-Ch Full-Speed USB UART ","USB 2.0 ","2","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-32"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1412","XR21V1412IL32-F","http://www.exar.com/common/content/document.ashx?id=1415&languageid=1033&type=datasheet&part=xr21v1412","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1412/","2-Ch Full-Speed USB UART ","USB 2.0 ","2","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-32"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1412","XR21V1412IL32TR-F","http://www.exar.com/common/content/document.ashx?id=1415&languageid=1033&type=datasheet&part=xr21v1412","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1412/","2-Ch Full-Speed USB UART ","USB 2.0 ","2","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-32"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1410","XR21V1410IL-0B-EB","http://www.exar.com/common/content/document.ashx?id=1414&languageid=1033&type=datasheet&part=xr21v1410","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1410/","1-Ch Full-Speed USB UART ","USB 2.0 ","1","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-16"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1410","XR21V1410IL16-F","http://www.exar.com/common/content/document.ashx?id=1414&languageid=1033&type=datasheet&part=xr21v1410","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1410/","1-Ch Full-Speed USB UART ","USB 2.0 ","1","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-16"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1410","XR21V1410IL16TR-F","http://www.exar.com/common/content/document.ashx?id=1414&languageid=1033&type=datasheet&part=xr21v1410","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1410/","1-Ch Full-Speed USB UART ","USB 2.0 ","1","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-16"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1410","XR21V1410IL-A1-F","http://www.exar.com/common/content/document.ashx?id=1414&languageid=1033&type=datasheet&part=xr21v1410","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1410/","1-Ch Full-Speed USB UART ","USB 2.0 ","1","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-16"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1410","XR21V1410TR-A1-F","http://www.exar.com/common/content/document.ashx?id=1414&languageid=1033&type=datasheet&part=xr21v1410","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1410/","1-Ch Full-Speed USB UART ","USB 2.0 ","1","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","QFN-16"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1424","XR21B1424IV64-0A-EVB","http://www.exar.com/common/content/document.ashx?id=21518&languageid=1033&type=datasheet&part=xr21b1424","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1424/","Enhanced 4-Ch Full-Speed USB UART","USB 2.0","4","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","LQFP-64"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1424","XR21B1424IV64-F","http://www.exar.com/common/content/document.ashx?id=21518&languageid=1033&type=datasheet&part=xr21b1424","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1424/","Enhanced 4-Ch Full-Speed USB UART","USB 2.0","4","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","LQFP-64"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1424","XR21B1424IV64TR-F","http://www.exar.com/common/content/document.ashx?id=21518&languageid=1033&type=datasheet&part=xr21b1424","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1424/","Enhanced 4-Ch Full-Speed USB UART","USB 2.0","4","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","LQFP-64"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1414","XR21V1414IM-0B-EB","http://www.exar.com/common/content/document.ashx?id=1416&languageid=1033&type=datasheet&part=xr21v1414","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1414/","4-Ch Full-Speed USB UART ","USB 2.0 ","4","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","TQFP-48"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1414","XR21V1414IM48-C1-F","http://www.exar.com/common/content/document.ashx?id=1416&languageid=1033&type=datasheet&part=xr21v1414","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1414/","4-Ch Full-Speed USB UART ","USB 2.0 ","4","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","TQFP-48"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1414","XR21V1414IM48-C2-F","http://www.exar.com/common/content/document.ashx?id=1416&languageid=1033&type=datasheet&part=xr21v1414","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1414/","4-Ch Full-Speed USB UART ","USB 2.0 ","4","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","TQFP-48"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1414","XR21V1414IM48-C3-F","http://www.exar.com/common/content/document.ashx?id=1416&languageid=1033&type=datasheet&part=xr21v1414","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1414/","4-Ch Full-Speed USB UART ","USB 2.0 ","4","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","TQFP-48"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1414","XR21V1414IM48-F","http://www.exar.com/common/content/document.ashx?id=1416&languageid=1033&type=datasheet&part=xr21v1414","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1414/","4-Ch Full-Speed USB UART ","USB 2.0 ","4","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","TQFP-48"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21V1414","XR21V1414IM48TR-F","http://www.exar.com/common/content/document.ashx?id=1416&languageid=1033&type=datasheet&part=xr21v1414","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21v1414/","4-Ch Full-Speed USB UART ","USB 2.0 ","4","na/12/na/na","128/384","▪","-","▪","▪","2.97 -3.63","TQFP-48"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1420","XR21B1420IL28-0A-EVB","http://www.exar.com/common/content/document.ashx?id=21626&languageid=1033&type=datasheet&part=xr21b1420","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1420/","Enhanced 1-Ch Full-Speed USB UART","USB 2.0","1","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","QFN-28"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1420","XR21B1420IL28-F","http://www.exar.com/common/content/document.ashx?id=21626&languageid=1033&type=datasheet&part=xr21b1420","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1420/","Enhanced 1-Ch Full-Speed USB UART","USB 2.0","1","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","QFN-28"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1420","XR21B1420IL28TR-F","http://www.exar.com/common/content/document.ashx?id=21626&languageid=1033&type=datasheet&part=xr21b1420","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1420/","Enhanced 1-Ch Full-Speed USB UART","USB 2.0","1","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","QFN-28"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1421","XR21B1421IL24-0A-EVB","http://www.exar.com/common/content/document.ashx?id=21517&languageid=1033&type=datasheet&part=xr21b1421","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1421/","Enhanced 1-Ch Full-Speed USB HID to UART Bridge","USB 2.0 ","1","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","QFN-24, QFN-28"
"exar","Connectivity-UART & Bridging Solutions-USB UARTs-USB UARTs","XR21B1421","XR21B1421IL24-F","http://www.exar.com/common/content/document.ashx?id=21517&languageid=1033&type=datasheet&part=xr21b1421","http://www.exar.com/connectivity/uart-and-bridging-solutions/usb-uarts/xr21b1421/","Enhanced 1-Ch Full-Speed USB HID to UART Bridge","USB 2.0 ","1","12/12/na/na","512/512","▪","▪","▪","▪","3.0-3.6, 4.4-5.25","QFN-24, QFN-28"
