"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Res (Bits)","Conv Rate   (MWPS)","DLE   (%/FS)","ILE   (%/FS)","Power Diss   (mW)","Min Vs   (V)","Max Vs   (V)"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3404","CDK3404ATQ48","http://www.exar.com/common/content/document.ashx?id=21420&languageid=1033&type=datasheet&part=cdk3404","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3404/","8-bit, 180MSPS, Triple Video DACs
","3","8","180","±0.5 max (LSB)","±0.5 max (LSB)","300","3.0","3.6"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3404","CDK3404CTQ48","http://www.exar.com/common/content/document.ashx?id=21420&languageid=1033&type=datasheet&part=cdk3404","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3404/","8-bit, 180MSPS, Triple Video DACs
","3","8","180","±0.5 max (LSB)","±0.5 max (LSB)","300","3.0","3.6"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3404","CEB3404","http://www.exar.com/common/content/document.ashx?id=21420&languageid=1033&type=datasheet&part=cdk3404","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3404/","8-bit, 180MSPS, Triple Video DACs
","3","8","180","±0.5 max (LSB)","±0.5 max (LSB)","300","3.0","3.6"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3403","CDK3403CTQ48","http://www.exar.com/common/content/document.ashx?id=21419&languageid=1033&type=datasheet&part=cdk3403","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3403/","8-bit, 150MSPS, Triple Video DAC
","3","8","150","±0.2","±0.2","655","4.75","5.25"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3403","CEB3403","http://www.exar.com/common/content/document.ashx?id=21419&languageid=1033&type=datasheet&part=cdk3403","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3403/","8-bit, 150MSPS, Triple Video DAC
","3","8","150","±0.2","±0.2","655","4.75","5.25"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3405","CDK3405ATQ48","http://www.exar.com/common/content/document.ashx?id=21421&languageid=1033&type=datasheet&part=cdk3405","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3405/","8-bit, 180MSPS, Triple Video DACs
","3","8","180","±0.5 max (LSB)","±0.5 max (LSB)","300","3.0","3.6"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3405","CDK3405CTQ48","http://www.exar.com/common/content/document.ashx?id=21421&languageid=1033&type=datasheet&part=cdk3405","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3405/","8-bit, 180MSPS, Triple Video DACs
","3","8","180","±0.5 max (LSB)","±0.5 max (LSB)","300","3.0","3.6"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3405","CEB3405","http://www.exar.com/common/content/document.ashx?id=21421&languageid=1033&type=datasheet&part=cdk3405","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3405/","8-bit, 180MSPS, Triple Video DACs
","3","8","180","±0.5 max (LSB)","±0.5 max (LSB)","300","3.0","3.6"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3402","CDK3402CTQ48","http://www.exar.com/common/content/document.ashx?id=21419&languageid=1033&type=datasheet&part=cdk3402","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3402/","8-bit, 100MSPS, Triple Video DAC
","3","8","100","±0.2","±0.2","655","4.75","5.25"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3402","CEB3402","http://www.exar.com/common/content/document.ashx?id=21419&languageid=1033&type=datasheet&part=cdk3402","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3402/","8-bit, 100MSPS, Triple Video DAC
","3","8","100","±0.2","±0.2","655","4.75","5.25"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3401","CDK3401CTQ48","http://www.exar.com/common/content/document.ashx?id=21418&languageid=1033&type=datasheet&part=cdk3401","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3401/","10-bit, 150MSPS, Triple Video DAC
","3","10","150","±0.1","±0.1","655","4.75","5.25"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3401","CEB3401","http://www.exar.com/common/content/document.ashx?id=21418&languageid=1033&type=datasheet&part=cdk3401","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3401/","10-bit, 150MSPS, Triple Video DAC
","3","10","150","±0.1","±0.1","655","4.75","5.25"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3400","CDK3400CTQ48","http://www.exar.com/common/content/document.ashx?id=21418&languageid=1033&type=datasheet&part=cdk3400","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3400/","10-bit, 100MSPS, Triple Video DAC
","3","10","100","±0.1","±0.1","655","4.75","5.25"
"exar","High Performance Analog---Data Converter Products-DACs-DACs","CDK3400","CEB3400","http://www.exar.com/common/content/document.ashx?id=21418&languageid=1033&type=datasheet&part=cdk3400","http://www.exar.com/high-performance-analog/data-converter-products/dacs/cdk3400/","10-bit, 100MSPS, Triple Video DAC
","3","10","100","±0.1","±0.1","655","4.75","5.25"
