"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Gmin   (V/V)","BW @ Gmin   (MHz)","SR   (V/µs)","IS per ch   (mA)","IOUT (mA)","en   (nV/√Hz)","Vio Max  (±) (mV)","Min Vs   (V)","Max Vs   (V)"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009ISO8EVB","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009ISO8MTR","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009ISO8X","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009IST5EVB","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009IST5MTR","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1009","XR1009IST5X","http://www.exar.com/common/content/document.ashx?id=21588&languageid=1033&type=datasheet&part=xr1009","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1009/","Single, 0.2mA, 35MHz Rail-to-Rail Amplifier","1","1","35","27","0.208","8.5","21","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008ISO8EVB","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008ISO8MTR","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008ISO8X","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
"exar","High Performance Analog-Amplifiers, Comparators & Switches-High Performance Amplifiers-High Performance Amplifiers","XR1008","XR1008IST5EVB","http://www.exar.com/common/content/document.ashx?id=21589&languageid=1033&type=datasheet&part=xr1008","http://www.exar.com/high-performance-analog/amplifiers-comparators-and-switches/high-performance-amplifiers/xr1008/","Single, 0.5mA, 75MHz Rail-to-Rail Amplifier","1","1","75","50","0.505","15","12","5","2.5","5.5"
