"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Res (Bits)","Sample Rate   msps","SNR   dBFS","SINAD   dBFS","SFDR   dBc","ENOB   bits","Power Consumption  per CH  mW","Min Vs   (V)","Max Vs   (V)"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK8307A","CDK8307AILP64","http://www.exar.com/common/content/document.ashx?id=21422&languageid=1033&type=datasheet&part=cdk8307a","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk8307a/","12/13-bit, 20MSPS, Octal ADC","8","12","20","72.2","71.5","82","11.6","22","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK8307A","CDK8307AITQ80","http://www.exar.com/common/content/document.ashx?id=21422&languageid=1033&type=datasheet&part=cdk8307a","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk8307a/","12/13-bit, 20MSPS, Octal ADC","8","12","20","72.2","71.5","82","11.6","22","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK8307A","CEB8307","http://www.exar.com/common/content/document.ashx?id=21422&languageid=1033&type=datasheet&part=cdk8307a","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk8307a/","12/13-bit, 20MSPS, Octal ADC","8","12","20","72.2","71.5","82","11.6","22","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK2307A","CDK2307AILP64","http://www.exar.com/common/content/document.ashx?id=21416&languageid=1033&type=datasheet&part=cdk2307a","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk2307a/","12/13-bit, 20MSPS, Dual ADC","2","12","20","72.2","72","85","11.7","15","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK2307A","CEB2307","http://www.exar.com/common/content/document.ashx?id=21416&languageid=1033&type=datasheet&part=cdk2307a","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk2307a/","12/13-bit, 20MSPS, Dual ADC","2","12","20","72.2","72","85","11.7","15","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK2307B","CDK2307BILP64","http://www.exar.com/common/content/document.ashx?id=21416&languageid=1033&type=datasheet&part=cdk2307b","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk2307b/","12/13-bit, 40MSPS, Dual ADC","2","12","40","72.7","72.1","81","11.7","28","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK2307B","CEB2307","http://www.exar.com/common/content/document.ashx?id=21416&languageid=1033&type=datasheet&part=cdk2307b","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk2307b/","12/13-bit, 40MSPS, Dual ADC","2","12","40","72.7","72.1","81","11.7","28","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK2308B","CDK2308BILP64","http://www.exar.com/common/content/document.ashx?id=21417&languageid=1033&type=datasheet&part=cdk2308b","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk2308b/","10-bit, 40MSPS, Dual ADC","2","10","40","61.6","61.6","81","9.9","22","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK2308B","CEB2308","http://www.exar.com/common/content/document.ashx?id=21417&languageid=1033&type=datasheet&part=cdk2308b","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk2308b/","10-bit, 40MSPS, Dual ADC","2","10","40","61.6","61.6","81","9.9","22","1.7","2.0"
"exar","High Performance Analog-Data Converter Products-ADCs-ADCs","CDK8307D","CDK8307DILP64","http://www.exar.com/common/content/document.ashx?id=21422&languageid=1033&type=datasheet&part=cdk8307d","http://www.exar.com/high-performance-analog/data-converter-products/adcs/cdk8307d/","12/13-bit, 65MSPS, Octal ADC","8","12","65","72.2","71.5","82","11.6","48","1.7","2.0"
