"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Arch","App","CH","VIN  MIN.  (V)","VIN  MAX.  (V)","Max  Series  LEDs","Vdrop  (mV)","Max Current  Per Channel  (mA)","LED  Matching  Accuracy  (%) (Typ.)","Ctrl  Type"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","XRP7620","XRP7620EVB","http://www.exar.com/common/content/document.ashx?id=1392&languageid=1033&type=datasheet&part=xrp7620","http://www.exar.com/power-management/led-lighting/current-drivers/xrp7620/","4-Channel Adjustable Current I²C Controlled LED Driver","Current Driver","LED","4","2.7","5.5","-","-","31","-","-"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","XRP7620","XRP7620IH-F","http://www.exar.com/common/content/document.ashx?id=1392&languageid=1033&type=datasheet&part=xrp7620","http://www.exar.com/power-management/led-lighting/current-drivers/xrp7620/","4-Channel Adjustable Current I²C Controlled LED Driver","Current Driver","LED","4","2.7","5.5","-","-","31","-","-"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","XRP7620","XRP7620IHTR-F","http://www.exar.com/common/content/document.ashx?id=1392&languageid=1033&type=datasheet&part=xrp7620","http://www.exar.com/power-management/led-lighting/current-drivers/xrp7620/","4-Channel Adjustable Current I²C Controlled LED Driver","Current Driver","LED","4","2.7","5.5","-","-","31","-","-"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","XRP7618","XRP7618EVB","http://www.exar.com/common/content/document.ashx?id=20631&languageid=1033&type=datasheet&part=xrp7618","http://www.exar.com/power-management/led-lighting/current-drivers/xrp7618/","8-Channel Constant Current Linear LED Driver","Linear","General","8","4.2","30","8","500","100","1.5","TTL"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","XRP7618","XRP7618IGBTR-F","http://www.exar.com/common/content/document.ashx?id=20631&languageid=1033&type=datasheet&part=xrp7618","http://www.exar.com/power-management/led-lighting/current-drivers/xrp7618/","8-Channel Constant Current Linear LED Driver","Linear","General","8","4.2","30","8","500","100","1.5","TTL"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","SP7612","SP7612AEC6","http://www.exar.com/common/content/document.ashx?id=713&languageid=1033&type=datasheet&part=sp7612","http://www.exar.com/power-management/led-lighting/current-drivers/sp7612/","Low Dropout LED Driver for any Color LED with Passive Shutdown","Linear","General","3","2.7","5.5","1","300","40","0.8","TTL"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","SP7612","SP7612AEC6/TR","http://www.exar.com/common/content/document.ashx?id=713&languageid=1033&type=datasheet&part=sp7612","http://www.exar.com/power-management/led-lighting/current-drivers/sp7612/","Low Dropout LED Driver for any Color LED with Passive Shutdown","Linear","General","3","2.7","5.5","1","300","40","0.8","TTL"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","SP7612","SP7612AEC6-L","http://www.exar.com/common/content/document.ashx?id=713&languageid=1033&type=datasheet&part=sp7612","http://www.exar.com/power-management/led-lighting/current-drivers/sp7612/","Low Dropout LED Driver for any Color LED with Passive Shutdown","Linear","General","3","2.7","5.5","1","300","40","0.8","TTL"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","SP7612","SP7612AEC6-L/TR","http://www.exar.com/common/content/document.ashx?id=713&languageid=1033&type=datasheet&part=sp7612","http://www.exar.com/power-management/led-lighting/current-drivers/sp7612/","Low Dropout LED Driver for any Color LED with Passive Shutdown","Linear","General","3","2.7","5.5","1","300","40","0.8","TTL"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","SP7612","SP7612AER6-L","http://www.exar.com/common/content/document.ashx?id=713&languageid=1033&type=datasheet&part=sp7612","http://www.exar.com/power-management/led-lighting/current-drivers/sp7612/","Low Dropout LED Driver for any Color LED with Passive Shutdown","Linear","General","3","2.7","5.5","1","300","40","0.8","TTL"
"exar","Power Management---LED Lighting-Current Drivers-Current Drivers","SP7612","SP7612AER6-L/TR","http://www.exar.com/common/content/document.ashx?id=713&languageid=1033&type=datasheet&part=sp7612","http://www.exar.com/power-management/led-lighting/current-drivers/sp7612/","Low Dropout LED Driver for any Color LED with Passive Shutdown","Linear","General","3","2.7","5.5","1","300","40","0.8","TTL"
