"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Arch","App","CH","VIN  MIN.  (V)","VIN  MAX.  (V)","Max  Series  LEDs","Vdrop  (mV)","Max Current  Per Channel  (mA)","LED  Matching  Accuracy  (%) (Typ.)","Ctrl  Type"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685EB","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER/TR","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER-2-L","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER-2-L/TR","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER-ES","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER-ES/TR","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER-ES-L","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER-L","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685ER-L/TR","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6685","SP6685W","http://www.exar.com/common/content/document.ashx?id=721&languageid=1033&type=datasheet&part=sp6685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6685/","700mA Charge Pump LED Driver For Camera Flash","Charge Pump","Flash","1","2.7","5.5","1","-","700","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6686","SP6686EB","http://www.exar.com/common/content/document.ashx?id=771&languageid=1033&type=datasheet&part=sp6686","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6686/","400mA Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","1","2.7","5.5","1","-","400","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6686","SP6686ER","http://www.exar.com/common/content/document.ashx?id=771&languageid=1033&type=datasheet&part=sp6686","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6686/","400mA Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","1","2.7","5.5","1","-","400","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6686","SP6686ER/TR","http://www.exar.com/common/content/document.ashx?id=771&languageid=1033&type=datasheet&part=sp6686","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6686/","400mA Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","1","2.7","5.5","1","-","400","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6686","SP6686ER-2-L","http://www.exar.com/common/content/document.ashx?id=771&languageid=1033&type=datasheet&part=sp6686","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6686/","400mA Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","1","2.7","5.5","1","-","400","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6686","SP6686ER-2-L/TR","http://www.exar.com/common/content/document.ashx?id=771&languageid=1033&type=datasheet&part=sp6686","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6686/","400mA Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","1","2.7","5.5","1","-","400","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6686","SP6686ER-L","http://www.exar.com/common/content/document.ashx?id=771&languageid=1033&type=datasheet&part=sp6686","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6686/","400mA Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","1","2.7","5.5","1","-","400","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP6686","SP6686ER-L/TR","http://www.exar.com/common/content/document.ashx?id=771&languageid=1033&type=datasheet&part=sp6686","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp6686/","400mA Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","1","2.7","5.5","1","-","400","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","XRP6840","XRP6840AILB-F","http://www.exar.com/common/content/document.ashx?id=1600&languageid=1033&type=datasheet&part=xrp6840","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/xrp6840/","4.3A Supercapacitor Flash LED Driver with I²C","Charge Pump","Flash","-","2.7","5.5","1","200","1450","3","I2C"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","XRP6840","XRP6840AILBTR-F","http://www.exar.com/common/content/document.ashx?id=1600&languageid=1033&type=datasheet&part=xrp6840","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/xrp6840/","4.3A Supercapacitor Flash LED Driver with I²C","Charge Pump","Flash","-","2.7","5.5","1","200","1450","3","I2C"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","XRP6840","XRP6840BILB-F","http://www.exar.com/common/content/document.ashx?id=1600&languageid=1033&type=datasheet&part=xrp6840","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/xrp6840/","4.3A Supercapacitor Flash LED Driver with I²C","Charge Pump","Flash","-","2.7","5.5","1","200","1450","3","I2C"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","XRP6840","XRP6840BILBTR-F","http://www.exar.com/common/content/document.ashx?id=1600&languageid=1033&type=datasheet&part=xrp6840","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/xrp6840/","4.3A Supercapacitor Flash LED Driver with I²C","Charge Pump","Flash","-","2.7","5.5","1","200","1450","3","I2C"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","XRP6840","XRP6840EVB","http://www.exar.com/common/content/document.ashx?id=1600&languageid=1033&type=datasheet&part=xrp6840","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/xrp6840/","4.3A Supercapacitor Flash LED Driver with I²C","Charge Pump","Flash","-","2.7","5.5","1","200","1450","3","I2C"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP7685","SP7685EB","http://www.exar.com/common/content/document.ashx?id=1177&languageid=1033&type=datasheet&part=sp7685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp7685/","1.2A Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","-","2.7","5.5","1","0.2","1200","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP7685","SP7685ER-L","http://www.exar.com/common/content/document.ashx?id=1177&languageid=1033&type=datasheet&part=sp7685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp7685/","1.2A Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","-","2.7","5.5","1","0.2","1200","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP7685","SP7685ER-L/TR","http://www.exar.com/common/content/document.ashx?id=1177&languageid=1033&type=datasheet&part=sp7685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp7685/","1.2A Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","-","2.7","5.5","1","0.2","1200","n/a","TTL"
"exar","Power Management---LED Lighting-Regulators-Step-up/down Regulators","SP7685","SP7685ER-L-ES","http://www.exar.com/common/content/document.ashx?id=1177&languageid=1033&type=datasheet&part=sp7685","http://www.exar.com/power-management/led-lighting/regulators/step-up-down-regulators/sp7685/","1.2A Buck/Boost Charge Pump LED Driver","Charge Pump","Flash","-","2.7","5.5","1","0.2","1200","n/a","TTL"
