"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IQ  (µA)","VIN  MIN.  (V)","VIN  MAX.  (V)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6142","XRP6142EL0-5-F","http://www.exar.com/common/content/document.ashx?id=20144&languageid=1033&type=datasheet&part=xrp6142","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6142/","Controller w/ DDR Memory Termination ","400","1.0","5.5","0.5","5","1000","96"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6142","XRP6142EL1-0-F","http://www.exar.com/common/content/document.ashx?id=20144&languageid=1033&type=datasheet&part=xrp6142","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6142/","Controller w/ DDR Memory Termination ","400","1.0","5.5","0.5","5","1000","96"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6142","XRP6142EL2-0-F","http://www.exar.com/common/content/document.ashx?id=20144&languageid=1033&type=datasheet&part=xrp6142","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6142/","Controller w/ DDR Memory Termination ","400","1.0","5.5","0.5","5","1000","96"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6142","XRP6142ELTR0-5-F","http://www.exar.com/common/content/document.ashx?id=20144&languageid=1033&type=datasheet&part=xrp6142","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6142/","Controller w/ DDR Memory Termination ","400","1.0","5.5","0.5","5","1000","96"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6142","XRP6142ELTR1-0-F","http://www.exar.com/common/content/document.ashx?id=20144&languageid=1033&type=datasheet&part=xrp6142","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6142/","Controller w/ DDR Memory Termination ","400","1.0","5.5","0.5","5","1000","96"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6142","XRP6142ELTR2-0-F","http://www.exar.com/common/content/document.ashx?id=20144&languageid=1033&type=datasheet&part=xrp6142","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6142/","Controller w/ DDR Memory Termination ","400","1.0","5.5","0.5","5","1000","96"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6142","XRP6142EVB","http://www.exar.com/common/content/document.ashx?id=20144&languageid=1033&type=datasheet&part=xrp6142","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6142/","Controller w/ DDR Memory Termination ","400","1.0","5.5","0.5","5","1000","96"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6141","XRP6141EL-F","http://www.exar.com/common/content/document.ashx?id=21452&languageid=1033&type=datasheet&part=xrp6141","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6141/","35A Synchronous Step Down COT Controller","700","3","22","0.6","18","200 -> 800","95"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6141","XRP6141ELMTR-F","http://www.exar.com/common/content/document.ashx?id=21452&languageid=1033&type=datasheet&part=xrp6141","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6141/","35A Synchronous Step Down COT Controller","700","3","22","0.6","18","200 -> 800","95"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6141","XRP6141ELTR-F","http://www.exar.com/common/content/document.ashx?id=21452&languageid=1033&type=datasheet&part=xrp6141","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6141/","35A Synchronous Step Down COT Controller","700","3","22","0.6","18","200 -> 800","95"
"exar","Power Management---Power Conversion-Switching Controllers-Step-down Controllers","XRP6141","XRP6141EVB","http://www.exar.com/common/content/document.ashx?id=21452&languageid=1033&type=datasheet&part=xrp6141","http://www.exar.com/power-management/power-conversion/switching-controllers/step-down-controllers/xrp6141/","35A Synchronous Step Down COT Controller","700","3","22","0.6","18","200 -> 800","95"
