"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76208","XR76208EL-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76208","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76208/","8A 40V Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76208","XR76208ELMTR-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76208","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76208/","8A 40V Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76208","XR76208ELTR-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76208","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76208/","8A 40V Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76208","XR76208EVB","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76208","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76208/","8A 40V Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76205","XR76205EL-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76205","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76205/","5A 40V Synchronous Step Down COT Regulator PowerBlox™","5000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76205","XR76205ELMTR-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76205","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76205/","5A 40V Synchronous Step Down COT Regulator PowerBlox™","5000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76205","XR76205ELTR-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76205","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76205/","5A 40V Synchronous Step Down COT Regulator PowerBlox™","5000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76205","XR76205EVB","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76205","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76205/","5A 40V Synchronous Step Down COT Regulator PowerBlox™","5000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76115","XR76115EL-F","http://www.exar.com/common/content/document.ashx?id=21515&languageid=1033&type=datasheet&part=xr76115","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76115/","15A Synchronous Step Down COT Regulator PowerBlox™","15000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76115","XR76115ELMTR-F","http://www.exar.com/common/content/document.ashx?id=21515&languageid=1033&type=datasheet&part=xr76115","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76115/","15A Synchronous Step Down COT Regulator PowerBlox™","15000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76115","XR76115ELTR-F","http://www.exar.com/common/content/document.ashx?id=21515&languageid=1033&type=datasheet&part=xr76115","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76115/","15A Synchronous Step Down COT Regulator PowerBlox™","15000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76115","XR76115EVB","http://www.exar.com/common/content/document.ashx?id=21515&languageid=1033&type=datasheet&part=xr76115","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76115/","15A Synchronous Step Down COT Regulator PowerBlox™","15000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76112","XR76112EL-F","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76112","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76112/","12A Synchronous Step Down COT Regulator PowerBlox™","12000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76112","XR76112ELMTR-F","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76112","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76112/","12A Synchronous Step Down COT Regulator PowerBlox™","12000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76112","XR76112ELTR-F","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76112","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76112/","12A Synchronous Step Down COT Regulator PowerBlox™","12000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76112","XR76112EVB","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76112","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76112/","12A Synchronous Step Down COT Regulator PowerBlox™","12000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76203","XR76203EL-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76203","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76203/","3A 40V Synchronous Step Down COT Regulator PowerBlox™","3000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76203","XR76203ELMTR-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76203","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76203/","3A 40V Synchronous Step Down COT Regulator PowerBlox™","3000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76203","XR76203ELTR-F","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76203","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76203/","3A 40V Synchronous Step Down COT Regulator PowerBlox™","3000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76203","XR76203EVB","http://www.exar.com/common/content/document.ashx?id=21659&languageid=1033&type=datasheet&part=xr76203","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76203/","3A 40V Synchronous Step Down COT Regulator PowerBlox™","3000","3.0","40","700","0.6","30","100-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76108","XR76108EL-F","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76108","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76108/","8A Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","22","700","0.6","18","200-800","96"
"exar","Power Management---Power Conversion-Switching Regulators-PowerBlox™","XR76108","XR76108ELMTR-F","http://www.exar.com/common/content/document.ashx?id=21516&languageid=1033&type=datasheet&part=xr76108","http://www.exar.com/power-management/power-conversion/switching-regulators/powerblox/xr76108/","8A Synchronous Step Down COT Regulator PowerBlox™","8000","3.0","22","700","0.6","18","200-800","96"
