"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP34063","SP34063AEN","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp34063/","1.5A Boost/Buck/Inverting Regulator ","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP34063","SP34063AEN/TR","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp34063/","1.5A Boost/Buck/Inverting Regulator ","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP34063","SP34063AEN-ES","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp34063/","1.5A Boost/Buck/Inverting Regulator ","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP34063","SP34063AEN-L","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp34063/","1.5A Boost/Buck/Inverting Regulator ","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP34063","SP34063AEN-L/TR","http://www.exar.com/common/content/document.ashx?id=725&languageid=1033&type=datasheet&part=sp34063","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp34063/","1.5A Boost/Buck/Inverting Regulator ","-","3","36","4000","-","-","110","80"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRPWRKIT-LWP-1","XRPWRKIT-LWP-1","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/wurth-kit/-","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/wurth-kit/","Lower Power PoL Solution Design Kit","-","-","-","-","-","-","-","-"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6668","XRP6668EVB","http://www.exar.com/common/content/document.ashx?id=20184&languageid=1033&type=datasheet&part=xrp6668","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6668/","Dual Channel Step-Down Regulator ","1000/1000","2.5","5.5","30","0.6","5","1500","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6668","XRP6668IDBTR-F","http://www.exar.com/common/content/document.ashx?id=20184&languageid=1033&type=datasheet&part=xrp6668","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6668/","Dual Channel Step-Down Regulator ","1000/1000","2.5","5.5","30","0.6","5","1500","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6658","XRP6658EVB","http://www.exar.com/common/content/document.ashx?id=20258&languageid=1033&type=datasheet&part=xrp6658","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6658/","1A Synchronous Step-Down Regulator ","1000","2.5","5.5","15","0.6","5","1500","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","XRP6658","XRP6658ISTR-F","http://www.exar.com/common/content/document.ashx?id=20258&languageid=1033&type=datasheet&part=xrp6658","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/xrp6658/","1A Synchronous Step-Down Regulator ","1000","2.5","5.5","15","0.6","5","1500","97"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654EB","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654ER","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654ER/TR","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654ER-L","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654ER-L/TR","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654EU","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654EU/TR","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
"exar","Power Management---Power Conversion-Switching Regulators-Step-down Regulators","SP6654","SP6654EU-L","http://www.exar.com/common/content/document.ashx?id=776&languageid=1033&type=datasheet&part=sp6654","http://www.exar.com/power-management/power-conversion/switching-regulators/step-down-regulators/sp6654/","800mA Synchronous Buck Regulator","800","2.7","5.5","20","0.8","5","PFM","98"
