"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CN","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CN/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CN-L","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CN-L/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CP","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CU","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CU/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CU-L","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661CU-L/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EB","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EN","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EN/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EN-L","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EN-L/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EP","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EU","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EU/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EU-L","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
"exar","Power Management---Power Conversion-Switching Regulators-Step-up Regulators","SP6661","SP6661EU-L/TR","http://www.exar.com/common/content/document.ashx?id=720&languageid=1033&type=datasheet&part=sp6661","http://www.exar.com/power-management/power-conversion/switching-regulators/step-up-regulators/sp6661/","200mA Charge Pump Inverter, Doubler ","200","1.5","5.3","3000","-5","-10","900","92"
