"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT  (A)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","VOUT  MIN.  (V)","VOUT  MAX.  (V)","Freq  (kHz)","Efficiency (%)"
"exar","Power Management---Power Modules-Power Modules","XR79120","XR79120EL-F","http://www.exar.com/common/content/document.ashx?id=21668&languageid=1033&type=datasheet&part=xr79120","http://www.exar.com/power-management/power-conversion/power-modules/xr79120/","22V, 20A Synchronous Step Down Constant On-Time QFN Module","20","3","22","700","0.6","18","400-600","93"
"exar","Power Management---Power Modules-Power Modules","XR79120","XR79120ELTR-F","http://www.exar.com/common/content/document.ashx?id=21668&languageid=1033&type=datasheet&part=xr79120","http://www.exar.com/power-management/power-conversion/power-modules/xr79120/","22V, 20A Synchronous Step Down Constant On-Time QFN Module","20","3","22","700","0.6","18","400-600","93"
"exar","Power Management---Power Modules-Power Modules","XR79120","XR79120EVB","http://www.exar.com/common/content/document.ashx?id=21668&languageid=1033&type=datasheet&part=xr79120","http://www.exar.com/power-management/power-conversion/power-modules/xr79120/","22V, 20A Synchronous Step Down Constant On-Time QFN Module","20","3","22","700","0.6","18","400-600","93"
"exar","Power Management---Power Modules-Power Modules","XRP9711","XRP9711EVB-DEMO-1","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","-","3.0","22","-","0.6","5.5","(500-750)+(124-1230)","92"
"exar","Power Management---Power Modules-Power Modules","XRP9711","XRP9711EVB-DEMO-1-KIT","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","-","3.0","22","-","0.6","5.5","(500-750)+(124-1230)","92"
"exar","Power Management---Power Modules-Power Modules","XRP9711","XRP9711EVB-DEMO-1-KITA","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","-","3.0","22","-","0.6","5.5","(500-750)+(124-1230)","92"
"exar","Power Management---Power Modules-Power Modules","XRP9711","XRP9711EY-F","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9711","http://www.exar.com/power-management/power-conversion/power-modules/xrp9711/","Dual 6A Programmable Power Module with Integrated Dual Switching Controller","-","3.0","22","-","0.6","5.5","(500-750)+(124-1230)","92"
"exar","Power Management---Power Modules-Power Modules","XR79110","XR79110EL-F","http://www.exar.com/common/content/document.ashx?id=21646&languageid=1033&type=datasheet&part=xr79110","http://www.exar.com/power-management/power-conversion/power-modules/xr79110/","22V, 10A Synchronous Step Down Constant On-Time QFN Module","10","3","22","700","0.6","18","400-600","96"
"exar","Power Management---Power Modules-Power Modules","XR79110","XR79110ELTR-F","http://www.exar.com/common/content/document.ashx?id=21646&languageid=1033&type=datasheet&part=xr79110","http://www.exar.com/power-management/power-conversion/power-modules/xr79110/","22V, 10A Synchronous Step Down Constant On-Time QFN Module","10","3","22","700","0.6","18","400-600","96"
"exar","Power Management---Power Modules-Power Modules","XR79110","XR79110EVB","http://www.exar.com/common/content/document.ashx?id=21646&languageid=1033&type=datasheet&part=xr79110","http://www.exar.com/power-management/power-conversion/power-modules/xr79110/","22V, 10A Synchronous Step Down Constant On-Time QFN Module","10","3","22","700","0.6","18","400-600","96"
"exar","Power Management---Power Modules-Power Modules","XRP9710","XRP9710EVB-DEMO-1","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/power-modules/xrp9710/","Dual 6A Programmable Power Modules","-","3.0","22","-","0.6","5.5","500-750","92"
"exar","Power Management---Power Modules-Power Modules","XRP9710","XRP9710EVB-DEMO-1-KIT","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/power-modules/xrp9710/","Dual 6A Programmable Power Modules","-","3.0","22","-","0.6","5.5","500-750","92"
"exar","Power Management---Power Modules-Power Modules","XRP9710","XRP9710EVB-DEMO-1-KITA","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/power-modules/xrp9710/","Dual 6A Programmable Power Modules","-","3.0","22","-","0.6","5.5","500-750","92"
"exar","Power Management---Power Modules-Power Modules","XRP9710","XRP9710EY-F","http://www.exar.com/common/content/document.ashx?id=21492&languageid=1033&type=datasheet&part=xrp9710","http://www.exar.com/power-management/power-conversion/power-modules/xrp9710/","Dual 6A Programmable Power Modules","-","3.0","22","-","0.6","5.5","500-750","92"
"exar","Power Management---Power Modules-Power Modules","XR79115","XR79115EL-F","http://www.exar.com/common/content/document.ashx?id=21647&languageid=1033&type=datasheet&part=xr79115","http://www.exar.com/power-management/power-conversion/power-modules/xr79115/","22V, 15A Synchronous Step Down Constant On-Time QFN Module","15","3","22","700","0.6","18","400-600","96"
"exar","Power Management---Power Modules-Power Modules","XR79115","XR79115ELTR-F","http://www.exar.com/common/content/document.ashx?id=21647&languageid=1033&type=datasheet&part=xr79115","http://www.exar.com/power-management/power-conversion/power-modules/xr79115/","22V, 15A Synchronous Step Down Constant On-Time QFN Module","15","3","22","700","0.6","18","400-600","96"
"exar","Power Management---Power Modules-Power Modules","XR79115","XR79115EVB","http://www.exar.com/common/content/document.ashx?id=21647&languageid=1033&type=datasheet&part=xr79115","http://www.exar.com/power-management/power-conversion/power-modules/xr79115/","22V, 15A Synchronous Step Down Constant On-Time QFN Module","15","3","22","700","0.6","18","400-600","96"
