"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CH","IQ  (µA)","VIN  MIN.  (V)","VIN  MAX.  (V)","Max Current  Per Channel  (mA)","Enable"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2524","XRP2524EVB","http://www.exar.com/common/content/document.ashx?id=21201&languageid=1033&type=datasheet&part=xrp2524","http://www.exar.com/power-management/system-controls/power-switches/xrp2524/","1A Dual Channel USB 3.0 Power Distribution Switch","2","80","2.7","6.5","1000","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2524","XRP2524IDTR-F","http://www.exar.com/common/content/document.ashx?id=21201&languageid=1033&type=datasheet&part=xrp2524","http://www.exar.com/power-management/system-controls/power-switches/xrp2524/","1A Dual Channel USB 3.0 Power Distribution Switch","2","80","2.7","6.5","1000","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2528","XRP2528EVB","http://www.exar.com/common/content/document.ashx?id=20656&languageid=1033&type=datasheet&part=xrp2528","http://www.exar.com/power-management/system-controls/power-switches/xrp2528/","Dual Channel Adjustable Current Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2528","XRP2528IHB-1-F","http://www.exar.com/common/content/document.ashx?id=20656&languageid=1033&type=datasheet&part=xrp2528","http://www.exar.com/power-management/system-controls/power-switches/xrp2528/","Dual Channel Adjustable Current Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2528","XRP2528IHBTR-1-F","http://www.exar.com/common/content/document.ashx?id=20656&languageid=1033&type=datasheet&part=xrp2528","http://www.exar.com/power-management/system-controls/power-switches/xrp2528/","Dual Channel Adjustable Current Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2523","XRP2523EVB","http://www.exar.com/common/content/document.ashx?id=21193&languageid=1033&type=datasheet&part=xrp2523","http://www.exar.com/power-management/system-controls/power-switches/xrp2523/","1.5A Single Channel USB 2.0 / USB 3.0 Power Distribution Switch","1","40","3.2","6.5","1500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2523","XRP2523ISTR-F","http://www.exar.com/common/content/document.ashx?id=21193&languageid=1033&type=datasheet&part=xrp2523","http://www.exar.com/power-management/system-controls/power-switches/xrp2523/","1.5A Single Channel USB 2.0 / USB 3.0 Power Distribution Switch","1","40","3.2","6.5","1500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP619","SP619EK-L","http://www.exar.com/common/content/document.ashx?id=1050&languageid=1033&type=datasheet&part=sp619","http://www.exar.com/power-management/system-controls/power-switches/sp619/","800mA Current Limit Switch","1","350","2.5","7","800","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP619","SP619EK-L/TR","http://www.exar.com/common/content/document.ashx?id=1050&languageid=1033&type=datasheet&part=sp619","http://www.exar.com/power-management/system-controls/power-switches/sp619/","800mA Current Limit Switch","1","350","2.5","7","800","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP619","SP619EK-L/TRR3","http://www.exar.com/common/content/document.ashx?id=1050&languageid=1033&type=datasheet&part=sp619","http://www.exar.com/power-management/system-controls/power-switches/sp619/","800mA Current Limit Switch","1","350","2.5","7","800","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP619","SP619EK-L-ES","http://www.exar.com/common/content/document.ashx?id=1050&languageid=1033&type=datasheet&part=sp619","http://www.exar.com/power-management/system-controls/power-switches/sp619/","800mA Current Limit Switch","1","350","2.5","7","800","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2526","XRP2526EVB","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2526","http://www.exar.com/power-management/system-controls/power-switches/xrp2526/","Dual Channel USB 3.0 Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2526","XRP2526ID-1-F","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2526","http://www.exar.com/power-management/system-controls/power-switches/xrp2526/","Dual Channel USB 3.0 Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2526","XRP2526ID-2-F","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2526","http://www.exar.com/power-management/system-controls/power-switches/xrp2526/","Dual Channel USB 3.0 Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2526","XRP2526IDTR-1-F","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2526","http://www.exar.com/power-management/system-controls/power-switches/xrp2526/","Dual Channel USB 3.0 Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2526","XRP2526IDTR-2-F","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2526","http://www.exar.com/power-management/system-controls/power-switches/xrp2526/","Dual Channel USB 3.0 Power Distribution Switch","2","80","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2527","XRP2527EVB","http://www.exar.com/common/content/document.ashx?id=20656&languageid=1033&type=datasheet&part=xrp2527","http://www.exar.com/power-management/system-controls/power-switches/xrp2527/","Single Channel Adjustable Current Power Distribution Switch","1","52","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2527","XRP2527IHB-1-F","http://www.exar.com/common/content/document.ashx?id=20656&languageid=1033&type=datasheet&part=xrp2527","http://www.exar.com/power-management/system-controls/power-switches/xrp2527/","Single Channel Adjustable Current Power Distribution Switch","1","52","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2527","XRP2527IHBTR-1-F","http://www.exar.com/common/content/document.ashx?id=20656&languageid=1033&type=datasheet&part=xrp2527","http://www.exar.com/power-management/system-controls/power-switches/xrp2527/","Single Channel Adjustable Current Power Distribution Switch","1","52","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2526A","SP2526A-1EN","http://www.exar.com/common/content/document.ashx?id=668&languageid=1033&type=datasheet&part=sp2526a","http://www.exar.com/power-management/system-controls/power-switches/sp2526a/","3.0V to +5.5V USB Power Control Switch","2","80","3","6","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2526A","SP2526A-1EN/TR","http://www.exar.com/common/content/document.ashx?id=668&languageid=1033&type=datasheet&part=sp2526a","http://www.exar.com/power-management/system-controls/power-switches/sp2526a/","3.0V to +5.5V USB Power Control Switch","2","80","3","6","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2526A","SP2526A-1EN-L","http://www.exar.com/common/content/document.ashx?id=668&languageid=1033&type=datasheet&part=sp2526a","http://www.exar.com/power-management/system-controls/power-switches/sp2526a/","3.0V to +5.5V USB Power Control Switch","2","80","3","6","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2526A","SP2526A-1EN-L/TR","http://www.exar.com/common/content/document.ashx?id=668&languageid=1033&type=datasheet&part=sp2526a","http://www.exar.com/power-management/system-controls/power-switches/sp2526a/","3.0V to +5.5V USB Power Control Switch","2","80","3","6","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2526A","SP2526A-2EN","http://www.exar.com/common/content/document.ashx?id=668&languageid=1033&type=datasheet&part=sp2526a","http://www.exar.com/power-management/system-controls/power-switches/sp2526a/","3.0V to +5.5V USB Power Control Switch","2","80","3","6","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2526A","SP2526A-2EN-L","http://www.exar.com/common/content/document.ashx?id=668&languageid=1033&type=datasheet&part=sp2526a","http://www.exar.com/power-management/system-controls/power-switches/sp2526a/","3.0V to +5.5V USB Power Control Switch","2","80","3","6","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2526A","SP2526A-2EN-L/TR","http://www.exar.com/common/content/document.ashx?id=668&languageid=1033&type=datasheet&part=sp2526a","http://www.exar.com/power-management/system-controls/power-switches/sp2526a/","3.0V to +5.5V USB Power Control Switch","2","80","3","6","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2525A","SP2525A-1EN","http://www.exar.com/common/content/document.ashx?id=627&languageid=1033&type=datasheet&part=sp2525a","http://www.exar.com/power-management/system-controls/power-switches/sp2525a/","3.0V to +5.5V USB Power Control Switch","1","75","3","5.5","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2525A","SP2525A-1EN/TR","http://www.exar.com/common/content/document.ashx?id=627&languageid=1033&type=datasheet&part=sp2525a","http://www.exar.com/power-management/system-controls/power-switches/sp2525a/","3.0V to +5.5V USB Power Control Switch","1","75","3","5.5","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2525A","SP2525A-1EN-L","http://www.exar.com/common/content/document.ashx?id=627&languageid=1033&type=datasheet&part=sp2525a","http://www.exar.com/power-management/system-controls/power-switches/sp2525a/","3.0V to +5.5V USB Power Control Switch","1","75","3","5.5","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2525A","SP2525A-1EN-L/TR","http://www.exar.com/common/content/document.ashx?id=627&languageid=1033&type=datasheet&part=sp2525a","http://www.exar.com/power-management/system-controls/power-switches/sp2525a/","3.0V to +5.5V USB Power Control Switch","1","75","3","5.5","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2525A","SP2525A-2EN","http://www.exar.com/common/content/document.ashx?id=627&languageid=1033&type=datasheet&part=sp2525a","http://www.exar.com/power-management/system-controls/power-switches/sp2525a/","3.0V to +5.5V USB Power Control Switch","1","75","3","5.5","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2525A","SP2525A-2EN-L","http://www.exar.com/common/content/document.ashx?id=627&languageid=1033&type=datasheet&part=sp2525a","http://www.exar.com/power-management/system-controls/power-switches/sp2525a/","3.0V to +5.5V USB Power Control Switch","1","75","3","5.5","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","SP2525A","SP2525A-2EN-L/TR","http://www.exar.com/common/content/document.ashx?id=627&languageid=1033&type=datasheet&part=sp2525a","http://www.exar.com/power-management/system-controls/power-switches/sp2525a/","3.0V to +5.5V USB Power Control Switch","1","75","3","5.5","500","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2525","XRP2525EVB","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2525","http://www.exar.com/power-management/system-controls/power-switches/xrp2525/","Single Channel USB 3.0 Power Distribution Switch","1","52","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2525","XRP2525ID-1-F ","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2525","http://www.exar.com/power-management/system-controls/power-switches/xrp2525/","Single Channel USB 3.0 Power Distribution Switch","1","52","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2525","XRP2525ID-2-F ","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2525","http://www.exar.com/power-management/system-controls/power-switches/xrp2525/","Single Channel USB 3.0 Power Distribution Switch","1","52","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2525","XRP2525IDTR-1-F ","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2525","http://www.exar.com/power-management/system-controls/power-switches/xrp2525/","Single Channel USB 3.0 Power Distribution Switch","1","52","1.75","5.5","900","▪"
"exar","Power Management---System Controls-Power Switches-Power Switches","XRP2525","XRP2525IDTR-2-F ","http://www.exar.com/common/content/document.ashx?id=20655&languageid=1033&type=datasheet&part=xrp2525","http://www.exar.com/power-management/system-controls/power-switches/xrp2525/","Single Channel USB 3.0 Power Distribution Switch","1","52","1.75","5.5","900","▪"
