"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","IQ  (µA)","VCC  MIN.  (V)","VCC  MAX.  (V)","Reset  Threshold  (V)","Min  Reset  Threshold","Max  Reset  Threshold","Reset  Active","Reset  ACC  (mV)","Reset  ACC  (%)","Reset  Output  Type"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CN","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CN/TR","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CN-L","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CN-L/TR","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CP","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CP-L","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CU","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CU/TR","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CU-L","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
"exar","Power Management---System Controls-Supervisors-Supervisors","SP706S","SP706CU-L/TR","http://www.exar.com/common/content/document.ashx?id=678&languageid=1033&type=datasheet&part=sp706","http://www.exar.com/power-management/system-controls/supervisors/sp706/","Low Power Microprocessor Supervisory Circuits","1","25","1","5.5","2.93","-","-","low","125","-","Other"
