"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","Vin Range","VOUT Range","Gate Drive  Pull Up/Down","IQ  (µA)","Package Type","Junction  Temperature Range"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XR77129","XR77129ELB-F","http://www.exar.com/common/content/document.ashx?id=21645&languageid=1033&type=datasheet&part=xr77129","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xr77129/","40V Quad Channel Digital PWM/PFM Programmable Power Management System","6V - 40V","0.6V - 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XR77129","XR77129ELBMTR-F","http://www.exar.com/common/content/document.ashx?id=21645&languageid=1033&type=datasheet&part=xr77129","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xr77129/","40V Quad Channel Digital PWM/PFM Programmable Power Management System","6V - 40V","0.6V - 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XR77129","XR77129ELBTR-F","http://www.exar.com/common/content/document.ashx?id=21645&languageid=1033&type=datasheet&part=xr77129","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xr77129/","40V Quad Channel Digital PWM/PFM Programmable Power Management System","6V - 40V","0.6V - 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XR77129","XR77129EVB-DEMO-1","http://www.exar.com/common/content/document.ashx?id=21645&languageid=1033&type=datasheet&part=xr77129","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xr77129/","40V Quad Channel Digital PWM/PFM Programmable Power Management System","6V - 40V","0.6V - 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XR77129","XR77129EVB-DEMO-1-KITA","http://www.exar.com/common/content/document.ashx?id=21645&languageid=1033&type=datasheet&part=xr77129","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xr77129/","40V Quad Channel Digital PWM/PFM Programmable Power Management System","6V - 40V","0.6V - 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7720","XRP7720EVB-DEMO-1","http://www.exar.com/common/content/document.ashx?id=21510&languageid=1033&type=datasheet&part=xrp7720","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7720/","Quad Output Universal Customizable PMIC with PFM","4.75V – 18V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7720","XRP7720EVB-DEMO-1-KIT","http://www.exar.com/common/content/document.ashx?id=21510&languageid=1033&type=datasheet&part=xrp7720","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7720/","Quad Output Universal Customizable PMIC with PFM","4.75V – 18V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7720","XRP7720ILB-DEV-F","http://www.exar.com/common/content/document.ashx?id=21510&languageid=1033&type=datasheet&part=xrp7720","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7720/","Quad Output Universal Customizable PMIC with PFM","4.75V – 18V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7725","XRP7725EVB-DEMO-2","http://www.exar.com/common/content/document.ashx?id=21511&languageid=1033&type=datasheet&part=xrp7725","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7725/","Intel® Node Manager Compatible Programmable Power Management System","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7725","XRP7725EVB-DEMO-2-KIT","http://www.exar.com/common/content/document.ashx?id=21511&languageid=1033&type=datasheet&part=xrp7725","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7725/","Intel® Node Manager Compatible Programmable Power Management System","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7725","XRP7725EVB-DEMO-2-KITA","http://www.exar.com/common/content/document.ashx?id=21511&languageid=1033&type=datasheet&part=xrp7725","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7725/","Intel® Node Manager Compatible Programmable Power Management System","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7725","XRP7725ILB-F","http://www.exar.com/common/content/document.ashx?id=21511&languageid=1033&type=datasheet&part=xrp7725","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7725/","Intel® Node Manager Compatible Programmable Power Management System","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7725","XRP7725ILBMTR-F","http://www.exar.com/common/content/document.ashx?id=21511&languageid=1033&type=datasheet&part=xrp7725","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7725/","Intel® Node Manager Compatible Programmable Power Management System","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7725","XRP7725ILBTR-F","http://www.exar.com/common/content/document.ashx?id=21511&languageid=1033&type=datasheet&part=xrp7725","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7725/","Intel® Node Manager Compatible Programmable Power Management System","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7724","XRP7724EVB-DEMO-2P-KIT","http://www.exar.com/common/content/document.ashx?id=21196&languageid=1033&type=datasheet&part=xrp7724","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7724/","DPWM/DPFM Programmable Power Management","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7724","XRP7724ILB-F","http://www.exar.com/common/content/document.ashx?id=21196&languageid=1033&type=datasheet&part=xrp7724","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7724/","DPWM/DPFM Programmable Power Management","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7724","XRP7724ILBTR-F","http://www.exar.com/common/content/document.ashx?id=21196&languageid=1033&type=datasheet&part=xrp7724","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7724/","DPWM/DPFM Programmable Power Management","4.75V – 25V","0.6V – 5.5V","4ohm / 2ohm","4mA","TQFN44","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7740","XRP7740EVB","http://www.exar.com/common/content/document.ashx?id=20642&languageid=1033&type=datasheet&part=xrp7740","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7740/","Programmable Power Management System","6.5V – 20V","0.9V – 5.1V","3ohm / 1.8ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7740","XRP7740ILB-0X18-F","http://www.exar.com/common/content/document.ashx?id=20642&languageid=1033&type=datasheet&part=xrp7740","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7740/","Programmable Power Management System","6.5V – 20V","0.9V – 5.1V","3ohm / 1.8ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7740","XRP7740ILB-F","http://www.exar.com/common/content/document.ashx?id=20642&languageid=1033&type=datasheet&part=xrp7740","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7740/","Programmable Power Management System","6.5V – 20V","0.9V – 5.1V","3ohm / 1.8ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7740","XRP7740ILBTR-0X18-F","http://www.exar.com/common/content/document.ashx?id=20642&languageid=1033&type=datasheet&part=xrp7740","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7740/","Programmable Power Management System","6.5V – 20V","0.9V – 5.1V","3ohm / 1.8ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7740","XRP7740ILBTR-F","http://www.exar.com/common/content/document.ashx?id=20642&languageid=1033&type=datasheet&part=xrp7740","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7740/","Programmable Power Management System","6.5V – 20V","0.9V – 5.1V","3ohm / 1.8ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7704","XRP7704ILB-F","http://www.exar.com/common/content/document.ashx?id=20056&languageid=1033&type=datasheet&part=xrp7704","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7704/","High-Current Programmable Power Management","6.5V – 20V","0.9V – 5.1V","- / -","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7704","XRP7704ILBTR-F","http://www.exar.com/common/content/document.ashx?id=20056&languageid=1033&type=datasheet&part=xrp7704","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7704/","High-Current Programmable Power Management","6.5V – 20V","0.9V – 5.1V","- / -","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7713","XRP7713EVB-DEMO-1-KIT","http://www.exar.com/common/content/document.ashx?id=20149&languageid=1033&type=datasheet&part=xrp7713","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7713/","3x Channel Programmable Power Management","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN32","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7713","XRP7713ILB-F","http://www.exar.com/common/content/document.ashx?id=20149&languageid=1033&type=datasheet&part=xrp7713","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7713/","3x Channel Programmable Power Management","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN32","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7713","XRP7713ILBTR-F","http://www.exar.com/common/content/document.ashx?id=20149&languageid=1033&type=datasheet&part=xrp7713","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7713/","3x Channel Programmable Power Management","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN32","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7714","XRP7714EVB-DEMO-3-KIT","http://www.exar.com/common/content/document.ashx?id=20122&languageid=1033&type=datasheet&part=xrp7714","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7714/","Programmable Power Management Systems ","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7714","XRP7714ILB-0X10-F","http://www.exar.com/common/content/document.ashx?id=20122&languageid=1033&type=datasheet&part=xrp7714","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7714/","Programmable Power Management Systems ","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7714","XRP7714ILB-0X14-F","http://www.exar.com/common/content/document.ashx?id=20122&languageid=1033&type=datasheet&part=xrp7714","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7714/","Programmable Power Management Systems ","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7714","XRP7714ILB-0X18-F","http://www.exar.com/common/content/document.ashx?id=20122&languageid=1033&type=datasheet&part=xrp7714","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7714/","Programmable Power Management Systems ","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7714","XRP7714ILB-0X1C-F","http://www.exar.com/common/content/document.ashx?id=20122&languageid=1033&type=datasheet&part=xrp7714","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7714/","Programmable Power Management Systems ","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7714","XRP7714ILB-F","http://www.exar.com/common/content/document.ashx?id=20122&languageid=1033&type=datasheet&part=xrp7714","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7714/","Programmable Power Management Systems ","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN40","-40°C to 125°C"
"exar","Power Management---Universal PMICs-Universal PMICs-Universal PMICs","XRP7714","XRP7714ILBTR-F","http://www.exar.com/common/content/document.ashx?id=20122&languageid=1033&type=datasheet&part=xrp7714","http://www.exar.com/power-management/power-conversion/programmable-power/universal-pmics/xrp7714/","Programmable Power Management Systems ","4.75V – 25V","0.9V – 5.1V","6ohm / 3ohm","9mA","TQFN40","-40°C to 125°C"
