"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","Acc","Vdrop  (mV)","VOUT  1.2V","VOUT  1.5V","VOUT   1.8V","VOUT  2.0V","VOUT  2.5V","VOUT  2.7V","VOUT  2.85V","VOUT  2.8V","VOUT  3.0V","VOUT  3.3V","VOUT  3.5V","VOUT  5.0V","VOUT  Adj."
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-1-8","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-1-8/TR","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-2-5","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-2-5/TR","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-3-3","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-3-3/TR","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-5-0","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-5-0/TR","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-L-1-8","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29501","SPX29501T5-L-1-8/TR","http://www.exar.com/common/content/document.ashx?id=660&languageid=1033&type=datasheet&part=spx29501","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29501/","5A Low Dropout Voltage Regulator","5000","2.8","16","20000","1%","420","-","-","-","-","-","-","-","-","-","▪","-","▪","-"
