"brand","Series","PartNo","DetailLink","dataSheet","容量","接口","频率","电压范围","封装形式","状态"
"fmsh","非挥发存储器---EEPROM","FM24C02A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C02A_ds_eng.pdf&fileExt=file","2Kbit","IIC","1MHz","1.7V-5.5V","PD,SO,TS,DN,ST,MS","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C02B","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C02B-04B-08B-16B_ds_eng.pdf&fileExt=file","2Kbit","IIC","1MHz","1.7V-3.6V
","PD,SO,TS,DN,ST,MS
","M
","-"
"fmsh","非挥发存储器---EEPROM","FM24C02C","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C02C_ds_eng.pdf&fileExt=file","2Kbit

","IIC
","400KHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS
","M
","-"
"fmsh","非挥发存储器---EEPROM","FM24C04A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C04A-08A_ds_eng.pdf&fileExt=file","4Kbit","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS
","N
","-"
"fmsh","非挥发存储器---EEPROM","FM24C04B","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C02B-04B-08B-16B_ds_eng.pdf&fileExt=file","4Kbit
","IIC
","1MHz
","1.7V-3.6V
","PD,SO,TS,DN,ST,MS
","N
","-"
"fmsh","非挥发存储器---EEPROM","FM24C04D","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM24C04D_ds_eng.pdf&fileExt=file","4Kbit


","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,UD,ST,MS
","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C08A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C04A-08A_ds_eng.pdf&fileExt=file","8Kbit","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS","N","-"
"fmsh","非挥发存储器---EEPROM","FM24C08B","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C02B-04B-08B-16B_ds_eng.pdf&fileExt=file","8Kbit

","IIC
","1MHz

","1.7V-3.6V
","PD,SO,TS,DN,ST,MS","N","-"
"fmsh","非挥发存储器---EEPROM","FM24C08D","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20141218/FM24C08D_ds_eng.pdf&fileExt=file","8Kbit

","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,UD,ST,MS","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C16A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C16A_ds_eng.pdf&fileExt=file","16Kbit

","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS,CS","N","-"
"fmsh","非挥发存储器---EEPROM","FM24C16A_CT","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file","16Kbit
","IIC
","1MHz
","1.7V-5.5V
","CT
","M
","-"
"fmsh","非挥发存储器---EEPROM","FM24C16B","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C02B-04B-08B-16B_ds_eng.pdf&fileExt=file","16Kbit

","IIC
","1MHz
","1.7V-3.6V
","PD,SO,TS,DN,ST,MS","N","-"
"fmsh","非挥发存储器---EEPROM","FM24C16D","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150414/FM24C16D产品说明书.doc&fileExt=file","16Kbit

","IIC
","1MHz

","1.7V-5.5V
","PD,SO,TS,UD,ST,MS","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C32A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/FM24C32A_ds_eng.pdf&fileExt=file","32Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS,CT","M","-"
"fmsh","非挥发存储器---EEPROM","FM24C64A","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=/UpLoadFile/20150401/fm24c64a_ds_eng.pdf&fileExt=file","64Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,DN,ST,MS","N","-"
"fmsh","非挥发存储器---EEPROM","FM24C64D","http://www.fmsh.com/ea78de2e-2f5a-e700-2221-7101cff37d8d/","http://www.fmsh.com/AjaxFile/DownLoadFile.aspx?FilePath=&fileExt=file","64Kbit
","IIC
","1MHz
","1.7V-5.5V
","PD,SO,TS,UN,ST,MS,CT","M","-"
