"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态"," 硬件开发工具","内核：类型","浮点单元","工作频率 (Max) (MHz) "," 片上SRAM (KB)","Total Flash (KB) ","UART","SPI","I2C","I2S","USB OTG","CAN","Ethernet w/ 1588","人机接口","VDD (min)","VDD (max) (V) ","Package type","Kinetis SDK","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","DMA (ch)","PWM Types","Debug &amp; Trace","16-bit Timer (ch)","32-bit Timer (ch)","16-bit PWM (ch)","DAC","ADC"," 其他模拟模块","Qty | Package carrier","GPIOs","Programming for Kinetis MCUs  (KB)","工作环境温度 (Min-Max) (°C) ","安全","无铅","封装尺寸(宽x长x高) (mm3)"," 引脚间距","认证级别","RoHS","External memory &amp; connectivity interfaces","EEPROM (KB) ","缓存 (KB) ","USB features","引导ROM (KB) "," 段式LCD分辨率","Quad Encoder","ADC Conversion Speed (MSPS)","FlexCan","Enhanced PWM (ch)","High Resolution Timer (pSec)","集成无线电台","发射电流 (mA)","接收电流 (mA)","Radio Protocol Supported","Datarate","DC/DC Converter","RX灵敏度"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW30Z","MKW30Z160VHM4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW30Z&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-bluetooth-low-energy-wireless-mcu:KW30Z?&fpsp=1&tab=Documentation_Tab#MKW30Z160VHM4","Kinetis W 32-bit MCU, ARM Cortex-M0+ core, 160 KB Flash,  48 MHz, BLE, LGA 32","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/freedom-development-boards/freescale-freedom-development-platform-for-kinetis-kw40z-30z-20z-mcus:FRDM-KW40Z","ARM Cortex-M0+","-","48","20","160","1","2","2","-","-","-","-","-","0.9","4.2","LGA","-","2","10000 @ CNY11.13 each","LGA 41","41","PRODUCT RAPID GROWTH(2)","4","Timer PWM (TPM)","SWD","1","1","6","12-bit x 1","16-bit (SAR) x 1","Comparator","-","15","-","-40 to 105","CRC","-","-","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","2.4Ghz","6.2","6.2","BLE v4.1","1 Mbps","Buck/Boost","-94"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW40Z","MKW40Z160VHT4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW40Z&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-bluetooth-low-energy-802.15.4-wireless-mcu:KW40Z?&fpsp=1&tab=Documentation_Tab#MKW40Z160VHT4","Kinetis W 32-bit MCU, ARM Cortex-M0+ core, 160 KB Flash,  48 MHz, BLE and 802.15.4, LGA 48","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/freedom-development-boards/freescale-freedom-development-platform-for-kinetis-kw40z-30z-20z-mcus:FRDM-KW40Z","ARM Cortex-M0+","-","48","20","160","1","2","2","-","-","-","-","-","0.9","4.2","LGA","-","2","10000 @ CNY17.49 each","LGA 64","64","PRODUCT RAPID GROWTH(2)","4","Timer PWM (TPM)","SWD","1","1","6","12-bit x 1","16-bit (SAR) x 1","Comparator","-","28","-","-40 to 105","CRC","-","-","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","2.4Ghz","6.2","6.2","IEEE 802.15.4, BLE v4.1","1 Mbps (BLE), 250 kbps (802.15.4)","Buck/Boost","-102 (802.15.4), -94 (BLE)"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW20Z","MKW20Z160VHT4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW20Z&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-802.15.4-wireless-mcu:KW20Z?&fpsp=1&tab=Documentation_Tab#MKW20Z160VHT4","Kinetis W 32-bit MCU, ARM Cortex-M0+ core, 160 KB Flash,  48 MHz, 802.15.4 - 2.4 GHz Radio, LGA 48","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/freedom-development-boards/freescale-freedom-development-platform-for-kinetis-kw40z-30z-20z-mcus:FRDM-KW40Z","ARM Cortex-M0+","-","48","20","160","1","2","2","-","-","-","-","-","0.9","4.2","LGA","-","2","10000 @ CNY14.31 each","LGA 64","64","PRODUCT RAPID GROWTH(2)","4","Timer PWM (TPM)","SWD","1","1","6","12-bit x 1","16-bit (SAR) x 1","Comparator","-","28","-","-40 to 105","CRC","-","-","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","2.4Ghz","6.2","6.2","IEEE 802.15.4","250 kbps","Buck/Boost","-102"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW0x","MKW01Z128CHN","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW0x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-kw0x-48-mhz-sub-1-ghz-radio-ultra-low-power-wireless-microcontrollers-mcus:KW0x?&fpsp=1&tab=Documentation_Tab#MKW01Z128CHN","Kinetis W 32-bit MCU, ARM Cortex-M0+ core, 128KB Flash, 48 MHz, Sub-1GHz Radio, MAPBGA 60","-","-","","ARM Cortex-M0+","-","48","16","128","3","1","2","-","-","-","-","-","1.8","3.6","LGA","1.2 Mainline","2","10000 @ CNY17.49 each","MAPBGA 60","60","PRODUCT RAPID GROWTH(2)","4","Timer PWM (TPM)","SWD","7","2","6","12-bit x 1","16-bit (SAR) x 1","Comparator","260 | TRAY","27","128","-40 to 85","CRC","-","8x8x0.91","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","sub 1Ghz","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW2x","MKW21D256VHA5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW2x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-kw2x-2.4-ghz-rf-analog-mixed-signal-ieee-802.15.4-low-power-microcontrollers-mcus:KW2x?&fpsp=1&tab=Documentation_Tab#MKW21D256VHA5","Kinetis W 32-bit MCU, ARM Cortex-M4 core, 256KB Flash, 50 MHz, 2.4 GHz Radio, LGA 63","-","-","","ARM Cortex-M4","-","50","32","256","3","1","2","-","-","-","-","-","1.8","3.6","LGA","1.2 Mainline","2","10000 @ CNY21.94 each","LGA 63","63","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","JTAG, cJTAG, TPIU, SWD, ITM, FPB, ETM, DWT","13","4","12","6-bit x 1","16-bit (SAR) x 1","Comparator, VREF","260 | TRAY","29","256","-40 to 105","CRC, Cryptography Accelerator, RNG, Tamper Detection","-","8x8x0.91","0.5","10-YEARS APPLICATION LIFE","-","-","4","-","USB-FS","-","-","-","-","-","-","-","2.4Ghz","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW2x","MKW21D512VHA5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW2x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-kw2x-2.4-ghz-rf-analog-mixed-signal-ieee-802.15.4-low-power-microcontrollers-mcus:KW2x?&fpsp=1&tab=Documentation_Tab#MKW21D512VHA5","32 bit, 512K Flash no USB","-","-","","ARM Cortex-M4","-","50","64","512","3","1","2","-","-","-","-","-","1.8","3.6","LGA","1.2 Mainline","2","10000 @ CNY23.84 each","LGA 63","63","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","JTAG, cJTAG, DWT, ETM, FPB, ITM, TPIU, SWD","13","4","12","6-bit x 1","16-bit (SAR) x 1","Comparator, VREF","260 | TRAY","29","512","-40 to 105","CRC, Cryptography Accelerator, RNG, Tamper Detection","-","8x8x0.91","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","2.4Ghz","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW2x","MKW22D512VHA5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW2x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-kw2x-2.4-ghz-rf-analog-mixed-signal-ieee-802.15.4-low-power-microcontrollers-mcus:KW2x?&fpsp=1&tab=Documentation_Tab#MKW22D512VHA5","Kinetis W 32-bit MCU, ARM Cortex-M4 core, 512KB Flash, 50 MHz, 2.4 GHz Radio, LGA 63","-","-","","ARM Cortex-M4","-","50","64","512","3","1","2","-","1 (FS)","-","-","-","1.8","3.6","LGA","1.2 Mainline","2","10000 @ CNY24.48 each","LGA 63","63","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","cJTAG, ITM, JTAG, TPIU, SWD, FPB, ETM, DWT","13","4","12","6-bit x 1","16-bit (SAR) x 1","Comparator, VREF","260 | TRAY","25","512","-40 to 105","CRC, Cryptography Accelerator, RNG, Tamper Detection","-","8x8x0.91","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","USB-FS","-","-","-","-","-","-","-","2.4Ghz","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KW2x","MKW24D512VHA5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KW2x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/kinetis-kw2x-2.4-ghz-rf-analog-mixed-signal-ieee-802.15.4-low-power-microcontrollers-mcus:KW2x?&fpsp=1&tab=Documentation_Tab#MKW24D512VHA5","Kinetis W 32-bit MCU, ARM Cortex-M4 core, 512KB Flash, 50 MHz, 2.4 GHz Radio, LGA 63","-","-","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/w-series/ieee-802.15.4-packet-sniffer-usb-dongle-form-factor:USB-KW24D512","ARM Cortex-M4","-","50","64","512","3","1","2","-","1 (FS)","-","-","-","1.8","3.6","LGA","1.2 Mainline","2","10000 @ CNY25.12 each","LGA 63","63","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","JTAG, FPB, cJTAG, TPIU, SWD, ITM, ETM, DWT","13","4","12","6-bit x 1","16-bit (SAR) x 1","Comparator, VREF","260 | TRAY","25","512","-40 to 105","CRC, Cryptography Accelerator, RNG, Tamper Detection","-","8x8x0.91","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","USB-FS","-","-","-","-","-","-","-","2.4Ghz","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV42F128VLH16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV42F128VLH16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 128KB Flash, 168 MHz, LQFP 64","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","24","128","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY16.47 each","QFP 64","64","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","18","-","12-bit (Cyclic) x 2","Comparator, PGA, VREF","160 | TRAY","48","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV42F128VLL16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV42F128VLL16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 128KB Flash, 168 MHz, LQFP 100","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","24","128","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY17.42 each","LQFP 100","100","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","18","-","12-bit (Cyclic) x 2","Comparator, PGA, VREF","90 | TRAY","74","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","-","-","-","-","-","-","-","-","-"
