"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","预算报价（不含税）(CNY)","工作频率 (Max) (MHz) ","内核：内核数量 (Spec)","内核：类型","内部RAM (KB) ","L2缓存 (Max) (KB) ","支持外部存储器","外部总线接口","安全","视频/显示功能","I2C","CAN","UART","DSPI","其他特性","USB features","SDIO","USB","0000002556","PLC代码","Pin count","PLC描述","无铅","认证级别","RoHS","以太网","ESAI"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","MVF60NN151CMK40","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#MVF60NN151CMK40","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 400 MHz, ARM Cortex-M4 core, 266 MHz, MAPBGA 364","-","MAPBGA 364","1000 @ CNY73.95 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1500","0","DDR, NAND FC, Quad SPI","Flexbus","0","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","4 x SAI, 1 x SPDIF, 1 x ESAI","2","364","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","MVF60NN151CMK50","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#MVF60NN151CMK50","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 500 MHz, ARM Cortex-M4 core, 266 MHz, MAPBGA 364","-","MAPBGA 364","1000 @ CNY75.28 each","500","2","ARM Cortex-M4, ARM Cortex-A5","1500","0","DDR, NAND FC, Quad SPI","Flexbus","0","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","4 x SAI, 1 x SPDIF, 1 x ESAI","2","364","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","MVF60NS151CMK40","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#MVF60NS151CMK40","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 400 MHz, ARM Cortex-M4 core, 266 MHz, MAPBGA 364","-","MAPBGA 364","1000 @ CNY76.37 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1500","0","DDR, NAND FC, Quad SPI","Flexbus","1","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","4 x SAI, 1 x SPDIF, 1 x ESAI","2","364","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","MVF60NS151CMK50","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#MVF60NS151CMK50","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 500 MHz, ARM Cortex-M4 core, 266 MHz, MAPBGA 364","-","MAPBGA 364","1000 @ CNY77.64 each","500","2","ARM Cortex-M4, ARM Cortex-A5","1500","0","DDR, NAND FC, Quad SPI","Flexbus","1","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","4 x SAI, 1 x SPDIF, 1 x ESAI","2","364","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","MVF61NN151CMK50","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#MVF61NN151CMK50","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 500 MHz, ARM Cortex-M4 core, 266 MHz, MAPBGA 364","-","MAPBGA 364","1000 @ CNY79.23 each","500","2","ARM Cortex-M4, ARM Cortex-A5","1000","512","DDR, NAND FC, Quad SPI","Flexbus","0","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","4 x SAI, 1 x SPDIF, 1 x ESAI","2","364","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","MVF61NS151CMK50","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#MVF61NS151CMK50","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 500 MHz, ARM Cortex-M4 core, 266 MHz, MAPBGA 364","-","MAPBGA 364","1000 @ CNY81.64 each","500","2","ARM Cortex-M4, ARM Cortex-A5","1000","512","DDR, NAND FC, Quad SPI","Flexbus","1","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","4 x SAI, 1 x SPDIF, 1 x ESAI","2","364","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","MVF62NN151CMK40","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#MVF62NN151CMK40","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 400 MHz, ARM Cortex-M4 core, 266 MHz, MAPBGA 364","-","MAPBGA 364","1000 @ CNY73.95 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1500","0","DDR, NAND FC, Quad SPI","Flexbus","0","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","4 x SAI, 1 x SPDIF, 1 x ESAI","2","364","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","PVF60NN151CMK50","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#PVF60NN151CMK50","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 500 MHz, ARM Cortex-M4 core, 266MHz, MAPBGA 364","-","MAPBGA 364","-","500","2","ARM Cortex-M4, ARM Cortex-A5","1500","0","DDR, NAND FC, Quad SPI","Flexbus","0","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","-","1","364","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF6xx","PVF60NS151CMK50","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF6xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/f-series/arm-cortex-a5-plus-cortex-m4-mpus-1.5-mb-sram-lcd-security-ethernet-l2-switch:VF6xx?&fpsp=1&tab=Documentation_Tab#PVF60NS151CMK50","Vybrid F 32-bit MPU, ARM Cortex-A5 core, 500 MHz, ARM Cortex-M4 core, 266MHz, MAPBGA 364","-","MAPBGA 364","-","500","2","ARM Cortex-M4, ARM Cortex-A5","1500","0","DDR, NAND FC, Quad SPI","Flexbus","1","LCD Controller","4","2","6","4","VADC, VIU","Integrated PHY, USB OTG HS","-","2","-","1","364","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","2","-"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF511R3K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF511R3K1CMK4","Vybrid R 32-bit MPU, ARM Cortex-A5 core, ARM Cortex-M4 core, MAPBGA 364","-","MAPBGA 364","10000 @ CNY76.30 each","400","1","ARM Cortex-A5","1500","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF512R3K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF512R3K1CMK4","Vybrid R 32-bit MPU, ARM Cortex-A5 core, ARM Cortex-M4 core, MAPBGA 364","-","MAPBGA 364","10000 @ CNY79.48 each","400","1","ARM Cortex-A5","1500","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD, Graphics Processing Unit","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF521R3K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF521R3K1CMK4","Vybrid R 32-bit MPU, ARM Cortex-A5 core, ARM Cortex-M4 core, MAPBGA 364","-","MAPBGA 364","10000 @ CNY82.66 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1500","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF522R2K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF522R2K1CMK4","Vybrid R 32-bit MPU, ARM Cortex-A5 core, ARM Cortex-M4 core, MAPBGA 364","-","MAPBGA 364","10000 @ CNY89.65 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1000","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD, Graphics Processing Unit","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF522R3K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF522R3K1CMK4","Vybrid R 32-bit MPU, ARM Cortex-A5 core, ARM Cortex-M4 core, MAPBGA 364","-","MAPBGA 364","10000 @ CNY85.84 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1500","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD, Graphics Processing Unit","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF531R3K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF531R3K1CMK4","Vybrid R 32-bit MPU, ARM Cortex-A5 core, 400 MHz, ARM Cortex-M4 core primary, 133 MHz, MAPBGA 364","-","MAPBGA 364","10000 @ CNY82.66 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1500","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD, Graphics Processing Unit","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF532R2K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF532R2K1CMK4","Cortex- M4 Primary core, Cortex A5, L2 Cache, OpenVG GPU, 364 BGA package","-","MAPBGA 364","10000 @ CNY89.65 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1000","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD, Graphics Processing Unit","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
"FSL","ARM 处理器---VFxxx控制器解决方案","VF5xxR","SVF532R3K1CMK4","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=VF5xxR&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/vfxxx-controller/r-series/32-bit-devices-for-connected-radio-and-digital-instrument-cluster-applications:VF5xxR?&fpsp=1&tab=Documentation_Tab#SVF532R3K1CMK4","Vybrid R 32-bit MPU, ARM Cortex-A5 core, ARM Cortex-M4 core, MAPBGA 364","-","MAPBGA 364","10000 @ CNY85.84 each","400","2","ARM Cortex-M4, ARM Cortex-A5","1500","-","DDR, NAND FC, Quad SPI","Flexbus","-","VIU, VADC, TFT LCD, Segment LCD, Graphics Processing Unit","4","2","6","4","Media Local Bus, SPDIF Rx/Tx","Integrated PHY, USB","2","-","-","2","364","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","2","1"
