"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","预算报价（不含税）(CNY)","认证级别","内部闪存 (KB) ","内部RAM (KB) ","EEPROM (KB) ","CAN","内核：类型","内核：内核数量 (Spec)","协处理器类型","工作频率 (Max) (MHz) ","I2C","I2S","SPI","UART","总线频率 (Max) (MHz) ","DMA通道总数","其他特性","SafeAssure 功能安全","GPIOs","工作环境温度 (Min-Max) (°C) ","供电电压 (Min-Max) (V) ","PLC代码","Pin count","PLC描述","缓存 (KB) ","USB features","音频","定时器类型","Ethernet Type","LCD分辨率","Debug &amp; Trace","无铅","RoHS","Junction Temperature (Max) (&#186;C)","定时器特性","定时器","ADC (ch)","SCI","ADC (bit)","Junction Temperature (Min) (&#186;C)","Flexray","ADC","支持外部存储器","内核：工作电压 (Spec) (V) ","I/O 工作电压 (Max) (V) ","外部总线宽度 (bit) ","外部中断","内核：性能(MIPS)","通信协议","DSPI","视频/显示功能","LIN","状态","替代部件"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC5777M","PPC5777M2K0MVA8B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC5777M&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc57xx-mcus/ultra-reliable-mpc5777m-mcu-for-automotive-industrial-engine-management:MPC5777M?&fpsp=1&tab=Documentation_Tab#PPC5777M2K0MVA8B","QUAD CORE 8M FLASH 404K SRAM ED","-","TEPBGA 512","1 @ CNY699.44 each","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","512","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC5748G","PPC5748GK1MKU6A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC5748G&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc57xx-mcus/ultra-reliable-mpc5748g-mcu-for-automotive-industrial-control-and-gateway:MPC5748G?&fpsp=1&tab=Documentation_Tab#PPC5748GK1MKU6A","Freescale 32-bit MCU, Triple Power Arch core, 6MB Flash, 160MHz, -40/+125degC, Prototype, LQFP 176","-","LQFP 176","-","-","6000","768","-","8","e200z4, e200z2","3","-","160","4","3","10","-","-","32","-","-","196","40 to 125","3.3 to 5.5","1","176","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","Input Capture, Output Compare, PWM","96-ch. 16 bit","32, 48","-","10, 12","-","2","32-ch. 10-bit","-","-","-","-","-","-","-","-","-","18","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC5748G","PPC5748GK1MMJ6A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC5748G&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc57xx-mcus/ultra-reliable-mpc5748g-mcu-for-automotive-industrial-control-and-gateway:MPC5748G?&fpsp=1&tab=Documentation_Tab#PPC5748GK1MMJ6A","Freescale 32-bit MCU, Triple Power Arch core, 6MB Flash, 160MHz, -40/+125degC, Prototype, BGA 256","-","MAPBGA 256","-","-","6000","768","-","8","e200z4, e200z2","3","-","160","4","3","10","-","-","32","-","-","146","40 to 125","3.3 to 5.5","1","256","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","Input Capture, Output Compare, PWM","96-ch. 16 bit","32, 48","-","10, 12","-","2","32-ch. 10-bit","-","-","-","-","-","-","-","-","-","18","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC5748G","PPC5748GK1MMN6A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC5748G&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc57xx-mcus/ultra-reliable-mpc5748g-mcu-for-automotive-industrial-control-and-gateway:MPC5748G?&fpsp=1&tab=Documentation_Tab#PPC5748GK1MMN6A","Freescale 32-bit MCU, Triple Power Arch core, 6MB Flash, 160MHz, -40/+125degC, Prototype, BGA 324","-","MAPBGA 324","-","-","6000","768","-","8","e200z4, e200z2","3","-","160","4","3","10","-","-","32","-","-","264","40 to 125","3.3 to 5.5","1","324","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","Input Capture, Output Compare, PWM","96-ch. 16 bit","32, 48","-","10, 12","-","2","32-ch. 10-bit","-","-","-","-","-","-","-","-","-","18","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC5748G","SPC5748GGK1MMJ6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC5748G&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc57xx-mcus/ultra-reliable-mpc5748g-mcu-for-automotive-industrial-control-and-gateway:MPC5748G?&fpsp=1&tab=Documentation_Tab#SPC5748GGK1MMJ6","Freescale 32-bit MCU, Triple core, 6MB Flash, 160MHz, -40/+125degC, Automotive Qualified, BGA 256","-","MAPBGA 256","1 @ CNY162.33 each","AUTO; >=10 YEARS APPLICATION LIFE","6000","768","-","8","e200z2, e200z4","3","-","160","4","3","10","-","-","32","Memory Management Unit (MMU), Memory Protection Unit (MPU), PLL","ISO 26262","146","40 to 125","3.3 to 5.5","2","256","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","96-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5673KF0VMM1R","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5673KF0VMM1R","Freescale 32-bit MCU, Dual Power Arch, 1MB Flash, 150MHz, -40/+105degC, Automotive Qual, MAPBGA 257","-","MAPBGA 257","1 @ CNY151.71 each","AUTO; >=10 YEARS APPLICATION LIFE","1024","256","64","4","e200","2","-","150","-","-","-","-","-","64","Watchdog OSC/Timer, Temperature Sensor, Memory Protection Unit (MPU), Memory Management Unit (MMU), Floating Point Unit (FPU), Cross Triggering Unit (CTU)","Quality Managed","-","-40 to 105","3.3 to 5","2","257","PRODUCT RAPID GROWTH(2)","-","-","-","Periodic Interrupt Timer","Fast Ethernet","-","JTAG, Nexus3+","-","-","-","Output Compare, Input Capture, eTimer","4-ch. 16-bit, 4-ch. 32 bit","22","3","12","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5674KF0VMS2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5674KF0VMS2","Freescale 32-bit MCU, Dual Power Arch, 1.5MB Flash 180MHz, -40/+105degC, Automotive Qual, MAPBGA 473","-","MAPBGA 473","1 @ CNY181.22 each","AUTO; >=10 YEARS APPLICATION LIFE","1536","384","64","4","e200","2","-","180","3","-","-","-","-","64","Watchdog OSC/Timer, Temperature Sensor, Memory Protection Unit (MPU), Memory Management Unit (MMU), Floating Point Unit (FPU), Cross Triggering Unit (CTU)","Quality Managed","-","-40 to 105","3.3 to 5","2","473","PRODUCT RAPID GROWTH(2)","-","-","-","Periodic Interrupt Timer","Fast Ethernet","-","JTAG, Nexus3+","-","-","-","Output Compare, Input Capture, eTimer","4-ch. 16-bit, 4-ch. 32 bit","34","4","12","-","-","34-ch. 12-bit","-","-","-","-","-","-","-","3","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5674KF0VMS2R","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5674KF0VMS2R","Freescale 32-bit MCU, Dual Power Arch, 1.5MB Flash 180MHz, -40/+105degC, Automotive Qual, MAPBGA 473","-","MAPBGA 473","1 @ CNY183.06 each","AUTO; >=10 YEARS APPLICATION LIFE","1536","384","64","4","e200","2","-","180","3","-","-","-","-","64","Watchdog OSC/Timer, Temperature Sensor, Memory Protection Unit (MPU), Memory Management Unit (MMU), Floating Point Unit (FPU), Cross Triggering Unit (CTU)","Quality Managed","-","-40 to 105","3.3 to 5","2","473","PRODUCT RAPID GROWTH(2)","-","-","-","Periodic Interrupt Timer","Fast Ethernet","-","JTAG, Nexus3+","-","-","-","Output Compare, Input Capture, eTimer","4-ch. 16-bit, 4-ch. 32 bit","34","4","12","-","-","34-ch. 12-bit","-","-","-","-","-","-","-","3","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5674KFF0MMS2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5674KFF0MMS2","Freescale 32-bit MCU, Dual Power Arch, 1.5MB Flash 180MHz, -40/+125degC, Automotive Qual, MAPBGA 473","-","MAPBGA 473","1 @ CNY196.67 each","AUTO; >=10 YEARS APPLICATION LIFE","1536","384","64","4","e200","2","-","180","3","-","-","-","-","64","Watchdog OSC/Timer, Temperature Sensor, Memory Protection Unit (MPU), Memory Management Unit (MMU), Floating Point Unit (FPU), Cross Triggering Unit (CTU)","Quality Managed","-","-40 to 125","3.3 to 5","2","473","PRODUCT RAPID GROWTH(2)","-","-","-","Periodic Interrupt Timer","Fast Ethernet","-","JTAG, Nexus3+","-","-","-","Output Compare, Input Capture, eTimer","4-ch. 16-bit, 4-ch. 32 bit","34","4","12","-","1","34-ch. 12-bit","-","-","-","-","-","-","-","3","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5674KFF0VMS2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5674KFF0VMS2","Freescale 32-bit MCU, Dual Power Arch, 1.5MB Flash 180MHz, -40/+105degC, Automotive Qual, MAPBGA 473","-","MAPBGA 473","1 @ CNY187.26 each","AUTO; >=10 YEARS APPLICATION LIFE","1536","384","64","4","e200","2","-","180","3","-","-","-","-","64","Watchdog OSC/Timer, Temperature Sensor, Memory Protection Unit (MPU), Memory Management Unit (MMU), Floating Point Unit (FPU), Cross Triggering Unit (CTU)","Quality Managed","-","-40 to 105","3.3 to 5","2","473","PRODUCT RAPID GROWTH(2)","-","-","-","Periodic Interrupt Timer","Fast Ethernet","-","JTAG, Nexus3+","-","-","-","Output Compare, Input Capture, eTimer","4-ch. 16-bit, 4-ch. 32 bit","34","4","12","-","1","34-ch. 12-bit","-","-","-","-","-","-","-","3","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5675KF0MMM2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5675KF0MMM2","Freescale 32-bit MCU, Dual Power Arch, 2MB Flash, 180MHz, -40/+125degC, Automotive Qual, MAPBGA 257","-","MAPBGA 257","1 @ CNY200.93 each","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","257","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5675KF0MMS2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5675KF0MMS2","Freescale 32-bit MCU, Dual Power Arch, 2MB Flash, 180MHz, -40/+125degC, Automotive Qual, MAPBGA 473","-","MAPBGA 473","1 @ CNY210.59 each","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","473","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5675KF0VMS2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5675KF0VMS2","Freescale 32-bit MCU, Dual Power Arch, 2MB Flash, 180MHz, -40/+105degC, Automotive Qual, MAPBGA 473","-","MAPBGA 473","1 @ CNY200.55 each","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","473","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","Power Architecture 处理器---MPC5xxx/5xxx 32位MCU","MPC567xK","SPC5675KFF0MMM2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC567xK&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/mpc5xxx-5xxx-32-bit-mcus/mpc56xx-mcus/ultra-reliable-mpc567xk-mcu-for-automotive-industrial-radar-applications:MPC567xK?&fpsp=1&tab=Documentation_Tab#SPC5675KFF0MMM2","Freescale 32-bit MCU, Dual Power Arch, 2MB Flash, 180MHz, -40/+125degC, Automotive Qual, MAPBGA 257","-","MAPBGA 257","1 @ CNY207.29 each","AUTO; >=10 YEARS APPLICATION LIFE","2048","512","64","4","e200","2","-","180","3","-","-","-","-","64","Watchdog OSC/Timer, Temperature Sensor, Memory Protection Unit (MPU), Memory Management Unit (MMU), Floating Point Unit (FPU), Cross Triggering Unit (CTU)","Quality Managed","-","-40 to 125","3.3 to 5","2","257","PRODUCT RAPID GROWTH(2)","-","-","-","Periodic Interrupt Timer","Fast Ethernet","-","JTAG, Nexus3+","-","-","-","Output Compare, Input Capture, eTimer","4-ch. 16-bit, 4-ch. 32 bit","22","4","12","-","1","-","-","-","-","-","-","-","-","3","-","-","-","-"
