"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","预算报价（不含税）(CNY)","封装类型和焊端数","替代部件","内核：类型","内核：内核数量 (Spec)","工作频率 (Max) (MHz) ","总线频率 (Max) (MHz) ","缓存 (KB) ","L2缓存 (Max) (KB) ","支持外部存储器","Ethernet Type","USB features","通信协议","其他特性","工作环境温度 (Min-Max) (°C) ","加速度传感器数量","PLC代码","Pin count","PLC描述","I2C","外部总线接口","无铅","认证级别","RoHS","eSPI","DUART"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NSE7KNKB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NSE7KNKB","QorIQ Qonverge SoC, 2x1GHz StarCore DSP, 2x1GHz e500 CPU, MAPLE-B2P accelerator, DDR3, SEC, 0-105C","-","-","1000 @ CNY419.41 each","FCPBGA 780","-","SC3850, e500","4","1000","500","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","0 to 105","MAPLE-B, SEC 4.4","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NSE7MNMB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NSE7MNMB","QorIQ Qonverge SoC, 2x1.2GHz StarCore DSP, 2x1.2GHz e500 CPU, MAPLE-B2P accelerator, SEC, 0-105C","-","-","1000 @ CNY503.34 each","FCPBGA 780","-","SC3850, e500","4","1200","600","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","0 to 105","MAPLE-B, SEC 4.4","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NSN7KNKB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NSN7KNKB","QorIQ Qonverge SoC, 2x1GHz StarCore DSP, 2x1GHz e500 CPU, MAPLE-B2P accelerator, DDR3/3L, 0-105C","-","-","1000 @ CNY419.41 each","FCPBGA 780","-","SC3850, e500","4","1000","500","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","0 to 105","MAPLE-B","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NSN7MNMB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NSN7MNMB","QorIQ Qonverge SoC, 2x1.2GHz StarCore DSP, 2x1.2GHz e500 CPU, MAPLE-B2P accelerator, DDR3/3L, 0-105C","-","-","1000 @ CNY503.34 each","FCPBGA 780","-","SC3850, e500","4","1200","600","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","0 to 105","MAPLE-B","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NXE7KNKB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NXE7KNKB","QorIQ Qonverge SoC, 2x1GHz StarCore DSP, 2x1GHz e500 CPU, MAPLE-B2P accelerator, DDR3, SEC, -40-105C","-","-","1000 @ CNY461.31 each","FCPBGA 780","-","SC3850, e500","4","1000","500","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","-40 to 105","MAPLE-B, SEC 4.4","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NXE7MNMB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NXE7MNMB","QorIQ Qonverge SoC, 2x1.2GHz StarCore DSP, 2x1.2GHz e500 CPU, MAPLE-B2P accelerator, SEC, -40-105C","-","-","1000 @ CNY553.57 each","FCPBGA 780","-","SC3850, e500","4","1200","600","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","-40 to 105","MAPLE-B, SEC 4.4","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NXN7KNKB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NXN7KNKB","QorIQ Qonverge SoC, 2x1GHz StarCore DSP, 2x1GHz e500 CPU, MAPLE-B2P accelerator, DDR3/3L, -40-105C","-","-","1000 @ CNY461.31 each","FCPBGA 780","-","SC3850, e500","4","1000","500","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","-40 to 105","MAPLE-B","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","BSC9132","BSC9132NXN7MNMB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=BSC9132&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-bsc9132-dual-core-processor-and-dual-core-dsp:BSC9132?&fpsp=1&tab=Documentation_Tab#BSC9132NXN7MNMB","QorIQ Qonverge SoC, 2x1.2GHz StarCore DSP, 2x1.2GHz e500 CPU, MAPLE-B2P accel, DDR3/3L, -40-105C","-","-","1000 @ CNY553.57 each","FCPBGA 780","-","SC3850, e500","4","1200","600","32","512","DDR3, DDR3L","1GBaseT, SGMII","1 x USB 2.0","-","Antenna Interface Controller","-40 to 105","MAPLE-B","3","780","PRODUCT STABLE GROWTH/MATURITY(3)","2","PCI-Express","-","10-YEARS APPLICATION LIFE","-","4","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","B4420","B4420NSE7QQMD","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=B4420&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-b4420-baseband-processor:B4420?&fpsp=1&tab=Documentation_Tab#B4420NSE7QQMD","QorIQ Qonverge SoC, 2x1.2GHz Starcore DSP, 2x1.6GHz e6500 CPU, MAPLE-B3 accl, encrypted, 0-105","-","-","1000 @ CNY907.36 each","FCPBGA 1020","-","SC3900, e6500","4","1600","600","32","4096","DDR3, DDR3L","-","1 x USB 2.0","-","CPRI, SRIO","0 to 105","DPAA, MAPLE-B, AltiVec SIMD unit","3","1020","PRODUCT STABLE GROWTH/MATURITY(3)","4","PCI-Express","-","10-YEARS APPLICATION LIFE","-","1","2"
"FSL","Power Architecture 处理器---QorIQ Qonverge平台：基带处理器","B4420","B4420NSN7QQMD","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=B4420&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-qonverge-platform/qoriq-qonverge-b4420-baseband-processor:B4420?&fpsp=1&tab=Documentation_Tab#B4420NSN7QQMD","QorIQ Qonverge SoC, 2x1.2GHz Starcore DSP, 2x1.6GHz e6500 CPU, MAPLE-B3 accl, 0-105C","-","-","-","FCPBGA 1020","-","SC3900, e6500","4","1600","600","32","4096","DDR3, DDR3L","-","1 x USB 2.0","-","CPRI, SRIO","0 to 105","DPAA, MAPLE-B, AltiVec SIMD unit","3","1020","PRODUCT STABLE GROWTH/MATURITY(3)","4","PCI-Express","-","10-YEARS APPLICATION LIFE","-","1","2"
