"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","内核：内核数量 (Spec)","内核：类型","工作频率 (Max) (MHz) ","工作环境温度 (Min-Max) (°C) ","L2缓存 (Max) (KB) ","L3缓存 (Max) (KB) ","Data Path","安全","PCIe","USB features","支持外部存储器","CAN","Typical Power","Junction Temperature (Max) (&#186;C)","PLC代码","封装类型和焊端数","Pin count","硬件加密","PLC描述","SPI","Ethernet Type","GPIOs","I2C","缓存 (KB) ","外部总线接口","总线频率 (Max) (MHz) ","无铅","认证级别","RoHS","DUART","其他特性","视频/显示功能","I2S","sRIO","加速度传感器数量","eSPI"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4080NSE7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4080NSE7PQB","QorIQ, 64b Power Arch, 8x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY1,561.84 each","8","e6500","1500","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0","2 x USB 2.0","DDR3, DDR3L","-","20.4","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4080NSE7QTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4080NSE7QTB","QorIQ, 64b Power Arch, 8x 1.67GHz threads, 1.87GT/s DDR3L, 2x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY1,952.31 each","8","e6500","1667","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0","2 x USB 2.0","DDR3, DDR3L","-","20.4","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4080NSN7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4080NSN7PQB","QorIQ, 64b Power Arch, 8x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto disabled, 0-105C, Rev 2.0","-","1000 @ CNY1,483.76 each","8","e6500","1500","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0","2 x USB 2.0","DDR3, DDR3L","-","20.4","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4080NSN7QTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4080NSN7QTB","QorIQ, 64b Power Arch, 8x 1.67GHz threads, 1.87GT/s DDR3L, 2x10GE, crypto disabled, 0-105C, Rev 2.0","-","1000 @ CNY1,854.65 each","8","e6500","1667","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0","2 x USB 2.0","DDR3, DDR3L","-","20.4","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4080NXE7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4080NXE7PQB","QorIQ, 64b Power Arch, 8x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto enabled, -40-105C, Rev 2.0","-","1000 @ CNY1,749.29 each","8","e6500","1500","-40 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0","2 x USB 2.0","DDR3, DDR3L","-","20.4","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4080NXN7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4080NXN7PQB","QorIQ, 64b Power Arch, 8x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto disabled, -40-105C, Rev 2.0","-","1000 @ CNY1,661.79 each","8","e6500","1500","-40 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0","2 x USB 2.0","DDR3, DDR3L","-","20.4","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NSE7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NSE7PQB","QorIQ, 64b Power Arch, 16x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY2,231.20 each","16","e6500","1500","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NSE7QTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NSE7QTB","QorIQ, 64b Power Arch, 16x 1.67GHz threads, 1.87GT/s DDR3L, 2x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY2,789.03 each","16","e6500","1667","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NSE7TTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NSE7TTB","QorIQ, 64b Power Arch, 16x 1.8GHz threads, 1.8GT/s DDR3L, 4x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY3,098.94 each","16","e6500","1800","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NSN7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NSN7PQB","QorIQ, 64b Power Arch, 16x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto disabled, 0-105C, Rev 2.0","-","1000 @ CNY2,119.61 each","16","e6500","1500","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
