"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","压力检测类型","压力范围 最小值-最大值 (Min-Max) (kPa) ","压力等级 (Max) (kPa) ","压力等级 (Max) (psi) ","精度(% 误差率) (Max) (%) ","输出类型","移植","集成度","工作环境温度 (Min-Max) (°C) ","Z轴加速 (Min-Max) (g) ","Pressure offset accuracy (kPa)   (0C &lt;= Ta &lt;= 70C)","GPIOs","供电电压 (Typ) (V) ","Accelerometer (Z Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","PLC代码","感应轴","Accelerometer (X Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","封装类型和焊端数","Pin count","PLC描述","LF灵敏度 (Min-Max) (V) ","X轴加速 (Min-Max)","射频输出功率 (Min-Max) (dBm) ","MCU内部用户闪存 (Spec) (kByte) ","无铅","供电电压 (Min-Max) (V) ","加速度传感器输出","加速度特性","认证级别","RoHS","特性","灵敏度数字Z轴 (Typ) (Cnts/g) ","状态","替代部件"
"FSL","传感器---压力传感器","MPXx6400","MPXH6400AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6400&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-400kpa:MPXx6400?&fpsp=1&tab=Documentation_Tab#MPXH6400AC6T1","Pressure Sensor, 5V, 20/400kPa, SOP 8, Port, Reel","-","1000 @ CNY32.68 each","Absolute","20 to 400","400","58","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.64 to 5.36","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6400","MPXH6400AC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6400&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-400kpa:MPXx6400?&fpsp=1&tab=Documentation_Tab#MPXH6400AC6U","Pressure Sensor, 5V, 20/400kPa, SOP 8, Port, Rail","-","1000 @ CNY32.68 each","Absolute","20 to 400","400","58","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.64 to 5.36","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6400","MPXHZ6400A6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6400&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-400kpa:MPXx6400?&fpsp=1&tab=Documentation_Tab#MPXHZ6400A6T1","SSOP INTEG W/SIFEL","-","1000 @ CNY32.49 each","Absolute","20 to 400","400","58","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.64 to 5.36","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6400","MPXHZ6400AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6400&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-400kpa:MPXx6400?&fpsp=1&tab=Documentation_Tab#MPXHZ6400AC6T1","Pressure Sensor, 5V, 20/400kPa, SOP 8, Reel","-","1000 @ CNY32.49 each","Absolute","20 to 400","400","58","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.64 to 5.36","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXV7025DP","MPXV7025DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXV7025DP&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/vacuum-sensors-50-to-115-kpa/-25-to-25kpa-differential-and-gauge-pressure-sensor:MPXV7025DP?&fpsp=1&tab=Documentation_Tab#MPXV7025DP","Pressure Sensor, 5V, -25/25kPa, SOP 8, Dual Port, Tray","-","1000 @ CNY45.65 each","Differential","-25 to 25","25","3.6","5","Analog","Dual Side Ports","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXV7025DP","MPXV7025GC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXV7025DP&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/vacuum-sensors-50-to-115-kpa/-25-to-25kpa-differential-and-gauge-pressure-sensor:MPXV7025DP?&fpsp=1&tab=Documentation_Tab#MPXV7025GC6U","Pressure Sensor, 5V, -25/25kPa, SOP 8, Axial Port, Rail","-","1000 @ CNY46.35 each","Gauge","-25 to 25","25","3.6","5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6250","MPXH6250A6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6250&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-250kpa:MPXx6250?&fpsp=1&tab=Documentation_Tab#MPXH6250A6T1","Pressure Sensor, 5V, 20/250kPa, SOP 8, Reel","-","1000 @ CNY32.24 each","Absolute","20 to 250","250","36","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6250","MPXH6250A6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6250&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-250kpa:MPXx6250?&fpsp=1&tab=Documentation_Tab#MPXH6250A6U","Pressure Sensor, 5V, 20/250kPa, SOP 8, Rail","-","1000 @ CNY32.24 each","Absolute","20 to 250","250","36","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6250","MPXH6250AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6250&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-250kpa:MPXx6250?&fpsp=1&tab=Documentation_Tab#MPXH6250AC6T1","Pressure Sensor, 5V, 20/250kPa, SOP 8, Port, Reel","-","1000 @ CNY32.68 each","Absolute","20 to 250","250","36","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6250","MPXH6250AC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6250&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-250kpa:MPXx6250?&fpsp=1&tab=Documentation_Tab#MPXH6250AC6U","Pressure Sensor, 5V, 20/250kPa, SOP 8, Port, Rail","-","1000 @ CNY32.68 each","Absolute","20 to 250","250","36","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
