"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","预算报价（不含税）(CNY)","认证级别","内部闪存 (KB) ","内部RAM (KB) ","EEPROM (KB) ","内核：类型","工作频率 (Max) (MHz) ","总线频率 (Max) (MHz) ","CAN","I2C","SPI","供电电压 (Min-Max) (V) ","GPIOs","工作环境温度 (Min-Max) (°C) ","定时器特性","其他特性","ADC (ch)","PWM (bit)","ADC (bit)","ADC","PWM (ch)","PLC代码","Pin count","PLC描述","PWM","无铅","RoHS","SCI","定时器","内核：内核数量 (Spec)","负载供电电压 (Max) (V) ","负载供电电压 (Min) (V) ","其他特性-模拟","数据传输速率 (Spec) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","诊断","通信协议","器件功能","保护","内核：工作电压 (Spec) (V) ","定时器类型","CAN Type","SLIC","USB features","USB","视频/显示功能","UART","供电电压 (Typ) (V) ","待机功能","状态","替代部件"
"FSL","其他处理器---8位微控制器","S08SV","MC9S08SV16CLC","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SV&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-general-purpose-best-in-class-performance-sv-mcus:S08SV?&fpsp=1&tab=Documentation_Tab#MC9S08SV16CLC","S08FL 8-bit MCU, S08 core, 16KB Flash, 40MHz, QFP 32","-","LQFP 32","10000 @ CNY9.03 each","10-YEARS APPLICATION LIFE","16","1","-","S08","40","20","-","1","1","2.7 to 5.5","30","-40 to 85","Input Capture, Output Compare, PWM","Analog Comparator, COP, KBI, Low Voltage Detect, Temperature Sensor, Watchdog OSC/Timer","12","-","10","12-ch. 10-bit","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","MC9S08SL16CTL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#MC9S08SL16CTL","S08SL 8-bit MCU, S08 core, 16KB Flash, 40MHz, SOP 28","-","TSSOP 28","10000 @ CNY9.79 each","10-YEARS APPLICATION LIFE","16","0.512","0.256","S08","40","20","-","1","1","2.7 to 5.5","22","-40 to 85","Input Capture, Output Compare, PWM, Realtime Interrupts","Temperature Sensor, POR, Low Voltage Detect, KBI, Internal Clock Generator, COP, Analog Comparator","16","-","10","16-ch. 10-bit","-","4","28","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","MC9S08SL8CTJ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#MC9S08SL8CTJ","S08SL 8-bit MCU, S08 core, 8KB Flash, 40MHz, SOP 20","-","TSSOP 20","10000 @ CNY9.35 each","10-YEARS APPLICATION LIFE","8","0.512","0.256","S08","40","20","-","1","1","2.7 to 5.5","16","-40 to 85","Input Capture, Output Compare, PWM, Realtime Interrupts","Temperature Sensor, POR, Low Voltage Detect, KBI, Internal Clock Generator, COP, Analog Comparator","12","-","10","12-ch. 10-bit","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","MC9S08SL8CTL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#MC9S08SL8CTL","S08SL 8-bit MCU, S08 core, 8KB Flash, 40MHz, SOP 28","-","TSSOP 28","10000 @ CNY8.97 each","10-YEARS APPLICATION LIFE","8","0.512","0.256","S08","40","20","-","1","1","2.7 to 5.5","22","-40 to 85","Input Capture, Output Compare, PWM, Realtime Interrupts","Temperature Sensor, POR, Low Voltage Detect, KBI, Internal Clock Generator, COP, Analog Comparator","16","-","10","16-ch. 10-bit","-","4","28","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","MC9S08SL8MTJ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#MC9S08SL8MTJ","S08SL 8-bit MCU, S08 core, 8KB Flash, 40MHz, SOP 20","-","TSSOP 20","-","10-YEARS APPLICATION LIFE","8","0.512","0.256","S08","40","20","-","1","1","2.7 to 5.5","16","-40 to 125","Realtime Interrupts, PWM, Output Compare, Input Capture","Temperature Sensor, POR, Low Voltage Detect, KBI, Internal Clock Generator, COP, Analog Comparator","12","-","10","12-ch. 10-bit","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","MC9S08SL8VTJ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#MC9S08SL8VTJ","S08SL 8-bit MCU, S08 core, 8KB Flash, 40MHz, SOP 20","-","TSSOP 20","-","10-YEARS APPLICATION LIFE","8","0.512","0.256","S08","40","20","-","1","1","2.7 to 5.5","16","-40 to 105","Realtime Interrupts, PWM, Output Compare, Input Capture","Temperature Sensor, POR, Low Voltage Detect, KBI, Internal Clock Generator, COP, Analog Comparator","12","-","10","12-ch. 10-bit","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","S9S08SL16F1CTJ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#S9S08SL16F1CTJ","8-bit MCU, S08 core, 16KB Flash, 40MHz, -40/+85degC, Automotive Qualified, SOP 20","-","TSSOP 20","1 @ CNY11.64 each","AUTO; >=10 YEARS APPLICATION LIFE","16","0.512","0.256","S08","20","20","-","1","1","2.7 to 5.5","16","-40 to 85","Realtime Interrupts, PWM, Output Compare, Input Capture","Temperature Sensor, POR, Low Voltage Detect, KBI, Internal Clock Generator, COP, Analog Comparator","12","-","10","12-ch. 10-bit","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","S9S08SL16F1CTLR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#S9S08SL16F1CTLR","8-bit MCU, S08 core, 16KB Flash, 40MHz, -40/+85degC, Automotive Qualified, SOP 28","-","TSSOP 28","-","AUTO; >=10 YEARS APPLICATION LIFE","16","0.512","0.256","S08","40","20","-","1","1","2.7 to 5.5","16","-40 to 85","Realtime Interrupts, PWM, Output Compare, Input Capture","Analog Comparator, COP, KBI, Low Voltage Detect, POR, Temperature Sensor","16","-","10","16-ch. 10-bit","-","4","28","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","S9S08SL16F1MTJ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#S9S08SL16F1MTJ","8-bit MCU, S08 core, 16KB Flash, 40MHz, -40/+125degC, Automotive Qualified, SOP 20","-","TSSOP 20","1 @ CNY12.14 each","AUTO; >=10 YEARS APPLICATION LIFE","16","0.512","0.256","S08","20","20","-","1","1","2.7 to 5.5","16","-40 to 125","Realtime Interrupts, PWM, Output Compare, Input Capture","Temperature Sensor, POR, Low Voltage Detect, KBI, Internal Clock Generator, COP, Analog Comparator","12","-","10","12-ch. 10-bit","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
"FSL","其他处理器---8位微控制器","S08SL","S9S08SL16F1MTJR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S08SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/s08/s08-5.5v-mcus/8-bit-eeprom-with-lin-s08el-and-s08sl-mcus:S08SL?&fpsp=1&tab=Documentation_Tab#S9S08SL16F1MTJR","8-bit MCU, S08 core, 16KB Flash, 40MHz, -40/+125degC, Automotive Qualified, SOP 20","-","TSSOP 20","-","AUTO; >=10 YEARS APPLICATION LIFE","16","0.512","0.256","S08","40","20","-","1","1","2.7 to 5.5","16","-40 to 125","Realtime Interrupts, PWM, Output Compare, Input Capture","Temperature Sensor, Analog Comparator, COP, Internal Clock Generator, KBI, Low Voltage Detect, POR","12","-","10","12-ch. 10-bit","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","-","-","1","2-ch. 16 bit","-","-","-","-","-","-","-","-","-","-","-","-","Real Time Clock","-","1","-","-","-","-","-","-","-","-"
