"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","预算报价（不含税）(CNY)","认证级别","内部闪存 (KB) ","内部RAM (KB) ","缓存 (KB) ","工作频率 (Max) (MHz) ","内核：性能(MIPS)","总线频率 (Max) (MHz) ","支持外部存储器","其他特性","片选","外部中断","DMA通道总数","供电电压 (Min-Max) (V) ","定时器特性","外部总线接口","GPIOs","ADC (ch)","Junction Temperature (Max) (&#186;C)","SCI","ADC (bit)","PLC代码","Pin count","PLC描述","SPI","定时器","Debug &amp; Trace","I/O 工作电压 (Max) (V) ","ADC","待机功能","CAN","I2C","内核：类型","工作环境温度 (Min-Max) (°C) ","无铅","RoHS","DAC (ch)","DAC (bit)","定时器类型","Ethernet Type","以太网","视频/显示功能","USB","USB features","I2S","UART","QSPI","CAN Type","状态","替代部件"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5441X","MCF54415CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54415CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY39.36 each","10-YEARS APPLICATION LIFE","-","64","8","250","385","-","-","-","6","7","-","-","-","Flexbus","87","-","-","-","12","4","256","PRODUCT MATURITY/SATURATION(4)","4","-","-","3.3","-","-","2","6","ColdFire V4","-40 to 85","-","-","-","12","-","10/100 BaseT","2","-","1","USB 2.0, USB OTG","2","10","-","CAN 2.0 B","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5441X","MCF54416CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54416CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY45.84 each","10-YEARS APPLICATION LIFE","-","64","8","250","385","-","-","-","6","7","-","-","-","Flexbus","87","-","-","-","12","4","256","PRODUCT MATURITY/SATURATION(4)","4","-","-","3.3","-","-","2","6","ColdFire V4","-40 to 85","-","-","-","12","-","10/100 BaseT","2","-","1","USB 2.0, USB OTG","2","10","-","CAN 2.0 B","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5441X","MCF54417CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54417CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY55.76 each","10-YEARS APPLICATION LIFE","-","64","8","250","385","-","-","-","6","7","-","-","-","Flexbus","87","-","-","-","12","4","256","PRODUCT MATURITY/SATURATION(4)","4","-","-","3.3","-","-","2","6","ColdFire V4","-40 to 85","-","-","-","12","-","10/100 BaseT","2","-","1","USB 2.0, USB OTG","2","10","-","CAN 2.0 B","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5441X","MCF54418CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54418CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY62.31 each","10-YEARS APPLICATION LIFE","-","64","8","250","385","-","-","-","6","7","-","-","-","Flexbus","87","-","-","-","12","4","256","PRODUCT MATURITY/SATURATION(4)","4","-","-","3.3","-","-","2","6","ColdFire V4","-40 to 85","-","-","-","12","-","10/100 BaseT","2","-","1","USB 2.0, USB OTG","-","10","-","CAN 2.0 B","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54450ACVM180","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450ACVM180","MCF5445x 32-bit MPU, ColdFire V4 core, 180MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY55.57 each","10-YEARS APPLICATION LIFE","-","32","32","180","370","90","DDR","Random Number Generator, PLL, Memory Management Unit (MMU)","9","4","16","-","Input Capture, Reference Compare","Flexbus, PCI","93","-","-","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","-","-","1","-","-40 to 85","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54450AVM240","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450AVM240","MCF5445x 32-bit MPU, ColdFire V4 core, 240MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY55.57 each","10-YEARS APPLICATION LIFE","-","32","32","240","370","120","DDR","Random Number Generator, PLL, Memory Management Unit (MMU)","9","4","16","-","Input Capture, Reference Compare","Flexbus, PCI","93","-","-","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","-","-","1","-","0 to 70","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54450CVM180","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450CVM180","MCF5445x 32-bit MPU, ColdFire V4 core, 180MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY55.57 each","10-YEARS APPLICATION LIFE","-","32","32","180","370","90","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","93","-","-","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","STOP, WAIT, DOZE","-","1","-","-40 to 85","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54450VM240","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450VM240","MCF5445x 32-bit MPU, ColdFire V4 core, 240MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY55.57 each","10-YEARS APPLICATION LIFE","-","32","32","240","370","120","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","93","-","-","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","STOP, WAIT, DOZE","-","1","-","0 to 70","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54451CVM180","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54451CVM180","MCF5445x 32-bit MPU, ColdFire V4 core, 180MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY62.63 each","10-YEARS APPLICATION LIFE","-","32","32","180","370","90","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","93","-","-","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","-40 to 85","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54451VM240","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54451VM240","MCF5445x 32-bit MPU, ColdFire V4 core, 240MHz, MAPBGA 256","-","MAPBGA 256","10000 @ CNY62.63 each","10-YEARS APPLICATION LIFE","-","32","32","240","370","120","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","93","-","-","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","0 to 70","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
