"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","预算报价（不含税）(CNY)","封装类型和焊端数","内核：类型","工作频率 (Max) (MHz) ","内核：内核数量 (Spec)","缓存 (KB) ","内部RAM (KB) ","Ethernet Type","DMA通道总数","工作环境温度 (Min-Max) (°C) ","支持外部存储器","其他特性","GPIOs","L2缓存 (Max) (KB) ","PLC代码","Pin count","PLC描述","UART","I2C","外部总线接口","无铅","认证级别","RoHS","TDM","SPI","内部闪存 (KB) ","替代部件"
"FSL","其他处理器---StarCore DSP","MSC8256","MSC8256ESAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256ESAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, SEC, 0-105C","-","-","-","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","4","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8256","MSC8256ETAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256ETAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, SEC, -40-105C","-","-","-","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","4","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8256","MSC8256SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256SAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","-","1000 @ CNY773.32 each","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","4","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8256","MSC8256TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256TAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","-","1000 @ CNY850.70 each","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","4","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8157","MSC8157ESAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157ESAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, SEC, 0-105C","-","-","1000 @ CNY956.13 each","FCPBGA 783","SC3850","1000","6","32","-","1GBaseT, SGMII","16","0 to 105","DDR, SDRAM","-","-","512","4","783","PRODUCT MATURITY/SATURATION(4)","1","1","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8157","MSC8157ETAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157ETAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, SEC, -40-105C","-","-","1000 @ CNY1,025.31 each","FCPBGA 783","SC3850","1000","6","32","-","1GBaseT, SGMII","16","-45 to 105","DDR, SDRAM","-","-","512","4","783","PRODUCT MATURITY/SATURATION(4)","1","1","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8157","MSC8157SAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157SAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, GbE, 0-105C","-","-","1000 @ CNY902.21 each","FCPBGA 783","SC3850","1000","6","32","-","1GBaseT, SGMII","16","0 to 105","DDR, SDRAM","-","-","512","4","783","PRODUCT MATURITY/SATURATION(4)","1","1","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8157","MSC8157TAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157TAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, GbE, -40-105C","-","-","1000 @ CNY1,011.13 each","FCPBGA 783","SC3850","1000","6","32","-","1GBaseT, SGMII","16","-45 to 105","DDR, SDRAM","-","-","512","4","783","PRODUCT MATURITY/SATURATION(4)","1","1","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","其他处理器---StarCore DSP","MSC8254","MSC8254SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8254&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8254?&fpsp=1&tab=Documentation_Tab#MSC8254SAG1000B","StarCore DSP, 4x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","-","1000 @ CNY618.68 each","FCPBGA 783","SC3850","1000","4","32","1000","1GBaseT, SGMII","16","0 to 105","DDR, SDRAM","Memory Management Unit (MMU), PLL","-","512","4","783","PRODUCT MATURITY/SATURATION(4)","1","1","Memory Controller, PCI-Express, RapidIO","-","10-YEARS APPLICATION LIFE","-","4","-","1000","-"
"FSL","其他处理器---StarCore DSP","MSC8254","MSC8254TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8254&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8254?&fpsp=1&tab=Documentation_Tab#MSC8254TAG1000B","StarCore DSP, 4x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","-","1000 @ CNY680.55 each","FCPBGA 783","SC3850","1000","4","32","-","1GBaseT, SGMII","16","-40 to 105","DDR, SDRAM","Memory Management Unit (MMU), PLL","-","512","4","783","PRODUCT MATURITY/SATURATION(4)","1","1","Memory Controller, PCI-Express, RapidIO","-","10-YEARS APPLICATION LIFE","-","4","-","1000","-"
