"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","内部闪存 (KB) ","内部RAM (KB) ","工作频率 (Max) (MHz) ","DMA通道总数","PWM","ADC","I2C","PWM分辨率 (ps) ","QSCI","CAN","ADC (ch)","PWM (bit)","SCI","ADC (bit)","PWM (ch)","PLC代码","预算报价（不含税）(CNY)","Pin count","PLC描述","其他特性","SPI","定时器特性","定时器","Debug &amp; Trace","GPIOs","内核：性能(MIPS)","LIN","工作环境温度 (Min-Max) (°C) ","无铅","供电电压 (Min-Max) (V) ","认证级别","RoHS","内核：工作电压 (Spec) (V) ","DAC (bit)","QSPI","CAN Type","定时器类型","DAC (ch)","独立的PWM模块","ADC转换时间 (ns) ","模拟比较器","内核：类型","独立ADC模块","FlexMemory (kB) ","EEPROM (KB) ","内核：内核数量 (Spec)","L2缓存 (Max) (KB) ","UART","支持外部存储器","缓存 (KB) ","外部总线接口","Ethernet Type","TDM"
"FSL","其他处理器---数字信号处理器/控制器","MSC8256","MSC8256ESAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256ESAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, SEC, 0-105C","-","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","-","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8256","MSC8256ETAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256ETAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, SEC, -40-105C","-","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","-","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8256","MSC8256SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256SAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","1000 @ CNY773.32 each","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8256","MSC8256TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8256&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8256?&fpsp=1&tab=Documentation_Tab#MSC8256TAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","1000 @ CNY850.70 each","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8252","MSC8252SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8252&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-dual-core-dsp:MSC8252?&fpsp=1&tab=Documentation_Tab#MSC8252SAG1000B","StarCore DSP, 2x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY495.01 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","2","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8252","MSC8252TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8252&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-dual-core-dsp:MSC8252?&fpsp=1&tab=Documentation_Tab#MSC8252TAG1000B","StarCore DSP, 2x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY544.41 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","2","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8254","MSC8254SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8254&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8254?&fpsp=1&tab=Documentation_Tab#MSC8254SAG1000B","StarCore DSP, 4x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","1000","1000","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY618.68 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","4","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8254","MSC8254TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8254&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8254?&fpsp=1&tab=Documentation_Tab#MSC8254TAG1000B","StarCore DSP, 4x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","FCPBGA 783","1000","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY680.55 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","4","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8251","MSC8251SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8251&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/single-core-dsps/high-performance-single-core-dsp:MSC8251?&fpsp=1&tab=Documentation_Tab#MSC8251SAG1000B","StarCore DSP, 1x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","-","-","1000","-","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY430.41 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","1","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8251","MSC8251TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8251&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/single-core-dsps/high-performance-single-core-dsp:MSC8251?&fpsp=1&tab=Documentation_Tab#MSC8251TAG1000B","StarCore DSP, 1x 1GHz SC3850 cores, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","FCPBGA 783","-","-","1000","-","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY473.45 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","1","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
