"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","互调失真 - IMD (Typ) (dBc) ","替代部件"
"FSL","射频---射频广播","MW6S010N","MW6S010GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW6S010N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/450-1500-mhz-10-w-28-v-lateral-n-channel-broadband-rf-power-mosfets:MW6S010N?&fpsp=1&tab=Documentation_Tab#MW6S010GNR1","Lateral N-Channel Broadband RF Power MOSFET, 450-1500 MHz, 10 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW6S010GNR1');trackRFAnalytics('MW6S010GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","450","1500","28","40","10","10 @ PEP","2-Tone","18 @ 960","32","2.85","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","450 to 1500","-","10-YEARS APPLICATION LIFE","-","32","450 to 1500","-37","-"
"FSL","射频---射频广播","MW6S010N","MW6S010NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW6S010N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/450-1500-mhz-10-w-28-v-lateral-n-channel-broadband-rf-power-mosfets:MW6S010N?&fpsp=1&tab=Documentation_Tab#MW6S010NR1","Lateral N-Channel Broadband RF Power MOSFET, 450-1500 MHz, 10 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW6S010NR1');trackRFAnalytics('MW6S010NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","450","1500","28","40","10","10 @ PEP","2-Tone","18 @ 960","32","2.85","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","450 to 1500","-","10-YEARS APPLICATION LIFE","-","32","450 to 1500","-37","-"
"FSL","射频---射频广播","MRFE8VP8600H","MRFE8VP8600HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE8VP8600H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/140-w-avg.-over-470-860-mhz-50-v-rf-power-ldmos-transistor:MRFE8VP8600H?&fpsp=1&tab=Documentation_Tab#MRFE8VP8600HR5","Broadband RF Power LDMOS Transistor, 470-860 MHz, 600 W, 50 V","-","-","470","860","50","-","-","140 @ AVG","OFDM","20 @ 810","34","0.16","Input","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","470 to 860","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","射频---射频广播","MRFE6VS25N","MRFE6VS25GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6VS25N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-industrial-scientific-and-medical/1.8-2000-mhz-25-w-50-v-wideband-rf-power-ldmos-transistors:MRFE6VS25N?&fpsp=1&tab=Documentation_Tab#MRFE6VS25GNR1","Wideband RF Power LDMOS Transistor, 1.8-2000 MHz, 25 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6VS25GNR1');trackRFAnalytics('MRFE6VS25GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1.8","2000","50","44","25","25 @ CW","CW","25.5 @ 512","74.7","1.2","Unmatched","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","-","10-YEARS APPLICATION LIFE","-","75","0 to 2000","-","-"
"FSL","射频---射频广播","MRFE6VS25N","MRFE6VS25NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6VS25N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-industrial-scientific-and-medical/1.8-2000-mhz-25-w-50-v-wideband-rf-power-ldmos-transistors:MRFE6VS25N?&fpsp=1&tab=Documentation_Tab#MRFE6VS25NR1","Wideband RF Power LDMOS Transistor, 1.8-2000 MHz, 25 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6VS25NR1');trackRFAnalytics('MRFE6VS25NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1.8","2000","50","44","25","25 @ CW","CW","25.5 @ 512","74.5","1.2","Unmatched","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","-","10-YEARS APPLICATION LIFE","-","75","0 to 2000","-","-"
"FSL","射频---射频广播","MRFE6VS25L","MRFE6VS25LR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6VS25L&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-industrial-scientific-and-medical/1.8-2000-mhz-25-w-50-v-wideband-rf-power-ldmos-transistor:MRFE6VS25L?&fpsp=1&tab=Documentation_Tab#MRFE6VS25LR5","Wideband RF Power LDMOS Transistor, 1.8-2000 MHz, 25 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6VS25LR5');trackRFAnalytics('MRFE6VS25LR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1.8","2000","50","44","25","25 @ Peak","Pulse","25.9 @ 512","74","1.4","Unmatched","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","-","10-YEARS APPLICATION LIFE","-","73","0 to 2000","-","-"
"FSL","射频---射频广播","MRFE6VP5300N","MRFE6VP5300GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6VP5300N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-industrial-scientific-and-medical/1.8-600-mhz-300-w-cw-50-v-wideband-rf-power-ldmos-transistors:MRFE6VP5300N?&fpsp=1&tab=Documentation_Tab#MRFE6VP5300GNR1","WIDEBAND RF POWER LDMOS TRANSISTOR, 1.8--600 MHz, 300 W CW, 50 V","-","-","1.8","600","50","54.8","300","300 @ CW","CW","25 @ 230","70","0.22","Unmatched","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","1.8 to 600","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","射频---射频广播","MRFE6VP5300N","MRFE6VP5300NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6VP5300N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-industrial-scientific-and-medical/1.8-600-mhz-300-w-cw-50-v-wideband-rf-power-ldmos-transistors:MRFE6VP5300N?&fpsp=1&tab=Documentation_Tab#MRFE6VP5300NR1","WIDEBAND RF POWER LDMOS TRANSISTOR, 1.8--600 MHz, 300 W CW, 50 V","-","-","1.8","600","50","54.8","300","300 @ CW","CW","25 @ 230","70","0.22","Unmatched","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","1.8 to 600","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","射频---射频广播","MW6S004NT1","MW6S004NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW6S004NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/1-2000-mhz-4-w-28-v-lateral-n-channel-rf-power-mosfet:MW6S004NT1?&fpsp=1&tab=Documentation_Tab#MW6S004NT1","Lateral N-Channel RF Power MOSFET, 1-2000 MHz, 4 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW6S004NT1');trackRFAnalytics('MW6S004NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1","2000","28","36","4","4 @ PEP","2-Tone","18 @ 1960","33","8.8","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 4","4","PRODUCT MATURITY/SATURATION(4)","1 to 2000","-","10-YEARS APPLICATION LIFE","-","33","1 to 2000","-34","-"
"FSL","射频---射频广播","MRFE6VP100H","MRFE6VP100HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6VP100H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-industrial-scientific-and-medical/1.8-2000-mhz-100-w-50-v-broadband-rf-power-ldmos-transistors:MRFE6VP100H?&fpsp=1&tab=Documentation_Tab#MRFE6VP100HR5","Broadband RF Power LDMOS Transistor, 1.8-2000 MHz, 100 W, 50 V","-","-","1.8","2000","50","50","100","100 @ CW","1-Tone","27.2 @ 512","70","0.38","Unmatched","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","-","10-YEARS APPLICATION LIFE","-","70","0 to 2000","-","-"
