"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","A2G22S160-01S","A2G22S160-01SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2G22S160-01S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1800-2200-mhz-32-w-avg.-48-v-airfast-rf-power-gan-transistor:A2G22S160-01S?&fpsp=1&tab=Documentation_Tab#A2G22S160-01SR3","AIRFAST RF Power GaN Transistor, 1800-2200 MHz, 32 W AVG., 48 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2G22S160-01SR3');trackRFAnalytics('A2G22S160-01SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1800","2200","48","51","125","32 @ AVG","W-CDMA","19.6 @ 2110","38","1.7","Input","AB","GaN","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","160","1800 to 2200","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW7IC008N","MW7IC008NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC008N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/100-1000-mhz-8-w-peak-28-v-rf-ldmos-wideband-integrated-power-amplifier:MW7IC008N?&fpsp=1&tab=Documentation_Tab#MW7IC008NT1","RF LDMOS Wideband Integrated Power Amplifier, 100-1000 MHz, 8 W Peak, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC008NT1');trackRFAnalytics('MW7IC008NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","100","1000","28","38.1","6.5","6.5 @ CW","1-Tone","23.5 @ 900","34","3.2","I/O","AB","LDMOS","4","-","QFN-EP 24","24","PRODUCT MATURITY/SATURATION(4)","-","100 to 1000","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","34","100 to 1000","-"
"FSL","射频---射频移动通信基础架构","MWE6IC9100N","MWE6IC9100NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MWE6IC9100N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-100-w-26-v-gsm-gsm-edge-rf-ldmos-wideband-integrated-amplifiers:MWE6IC9100N?&fpsp=1&tab=Documentation_Tab#MWE6IC9100NBR1","GSM/GSM EDGE RF LDMOS Wideband Integrated Power Amplifier, 960 MHz, 100 W, 26 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MWE6IC9100NBR1');trackRFAnalytics('MWE6IC9100NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","26","50.5","112","100 @ CW","CW","33.5 @ 960","54","0.38","Input","AB","LDMOS","4","-","High Pwr RF SMT 15","15","PRODUCT MATURITY/SATURATION(4)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","GSM, GSM EDGE","112","33.5","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MWE6IC9080N","MWE6IC9080NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MWE6IC9080N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-80-w-cw-28-v-gsm-edge-rf-ldmos-wideband-integrated-amplifiers:MWE6IC9080N?&fpsp=1&tab=Documentation_Tab#MWE6IC9080NBR1","GSM, GSM EDGE RF LDMOS Wideband Integrated Power Amplifier, 865-960 MHz, 80 W CW, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MWE6IC9080NBR1');trackRFAnalytics('MWE6IC9080NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","49.5","90","80 @ CW","CW","28.5 @ 960","52.3","0.52","I/O","AB","LDMOS","4","-","High Pwr RF SMT 15","15","PRODUCT MATURITY/SATURATION(4)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","GSM, GSM EDGE","90","28.5","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW7IC2725N","MW7IC2725GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2725N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/3400-3800-mhz/2500-2700-mhz-4-w-avg.-28-v-wimax-rf-ldmos-wideband-integrated-amplifiers:MW7IC2725N?&fpsp=1&tab=Documentation_Tab#MW7IC2725GNR1","WiMAX RF LDMOS Wideband Integrated Power Amplifier, 2500-2700 MHz, 4 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2725GNR1');trackRFAnalytics('MW7IC2725GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2500","2700","28","44","25","4 @ AVG","WiMAX","28.5 @ 2700","17","1.4","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","2500 to 2700","-","10-YEARS APPLICATION LIFE","-","WiMAX","25","28.5","-","-","17","2700 to 2700","-"
"FSL","射频---射频移动通信基础架构","MW7IC2725N","MW7IC2725NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2725N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/3400-3800-mhz/2500-2700-mhz-4-w-avg.-28-v-wimax-rf-ldmos-wideband-integrated-amplifiers:MW7IC2725N?&fpsp=1&tab=Documentation_Tab#MW7IC2725NR1","WiMAX RF LDMOS Wideband Integrated Power Amplifier, 2500-2700 MHz, 4 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2725NR1');trackRFAnalytics('MW7IC2725NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2500","2700","28","44","25","4 @ AVG","WiMAX","28.5 @ 2700","17","1.4","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","2500 to 2700","-","10-YEARS APPLICATION LIFE","-","WiMAX","25","28.5","-","-","17","2700 to 2700","-"
"FSL","射频---射频移动通信基础架构","MW7IC930N","MW7IC930GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC930N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-768-mhz-920-960-mhz-3.2-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC930N?&fpsp=1&tab=Documentation_Tab#MW7IC930GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 728-768 MHz, 920-960 MHz, 3.2 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC930GNR1');trackRFAnalytics('MW7IC930GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","44.9","31","3.2 @ AVG","W-CDMA","35.9 @ 940","16.5","1.6","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","W-CDMA, LTE","31","35.9","-","-","16.5","600 to 1000","-"
"FSL","射频---射频移动通信基础架构","MW7IC930N","MW7IC930NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC930N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-768-mhz-920-960-mhz-3.2-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC930N?&fpsp=1&tab=Documentation_Tab#MW7IC930NBR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 728-768 MHz, 920-960 MHz, 3.2 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC930NBR1');trackRFAnalytics('MW7IC930NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","44.9","31","3.2 @ AVG","W-CDMA","35.9 @ 940","16.5","1.6","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","W-CDMA, LTE","31","35.9","-","-","16.5","600 to 1000","-"
"FSL","射频---射频移动通信基础架构","MW7IC930N","MW7IC930NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC930N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-768-mhz-920-960-mhz-3.2-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC930N?&fpsp=1&tab=Documentation_Tab#MW7IC930NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 728-768 MHz, 920-960 MHz, 3.2 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC930NR1');trackRFAnalytics('MW7IC930NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","44.9","31","3.2 @ AVG","W-CDMA","35.9 @ 940","16.5","1.6","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","W-CDMA, LTE","31","35.9","-","-","16.5","600 to 1000","-"
"FSL","射频---射频移动通信基础架构","MW7IC2220N","MW7IC2220GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2220N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-2-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC2220N?&fpsp=1&tab=Documentation_Tab#MW7IC2220GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 2 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2220GNR1');trackRFAnalytics('MW7IC2220GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","43","20","2 @ AVG","W-CDMA","31 @ 2170","13","1.5","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","20","31","-","-","-","-","-"
