"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","替代部件","器件功能","预算报价（不含税）(CNY)","封装类型和焊端数","通信协议","数据传输速率 (Min) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Spec) (kbps) ","供电电压 (Min-Max) (V) ","接口和输入控制","工作环境温度 (Min-Max) (°C) ","保护","诊断","其他特性-模拟","RoHS","PLC代码","Pin count","PLC描述","无铅","认证级别","负载供电电压 (Max) (V) ","负载供电电压 (Min) (V) ","其他特性 - 电源管理","线性/LDO稳压器数量","开关降压稳压器数量","输出电压","输出电流 (A) ","开关升压稳压器数量","SafeAssure 功能安全","支持的MCU","GPIOs","供电电压 (Typ) (V) ","内核：内核数量 (Spec)","内部RAM (KB) ","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","内核：工作电压 (Spec) (V) "
"FSL","模拟与电源管理---收发器","MM908E626","MM908E626AVPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E626&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-stepper-lin-phy:MM908E626?&fpsp=1&tab=Documentation_Tab#MM908E626AVPEK","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Rail","-","-","-","H-Bridge and Config Switches, H-Bridge Stepper, Network Transceivers, Embedded MCU plus Power","1000 @ CNY26.13 each","SOIC-EP 54","LIN","10","20","160","5 to 28","-","-40 to 115","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E626","MM908E626AVPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E626&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-stepper-lin-phy:MM908E626?&fpsp=1&tab=Documentation_Tab#MM908E626AVPEKR2","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Reel","-","-","-","Network Transceivers, H-Bridge Stepper, H-Bridge and Config Switches, Embedded MCU plus Power","1000 @ CNY26.13 each","SOIC-EP 54","LIN","10","20","160","5 to 28","-","-40 to 115","Short Circuit, Overvoltage, Undervoltage Detection, Cross-Conduction Suppression, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MC33907","MC33907LAE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33907&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/linear-regulator/safe-system-basis-chip-dc-dc-up-to-800-ma:MC33907?&fpsp=1&tab=Documentation_Tab#MC33907LAE","System Basis Chip, CAN/LIN, 5V , 0.7A VCORE, QFP 48, Tray","-","-","-","Linear Regulators, System Basis Chip","1000 @ CNY20.28 each","LQFP-EP 48","CAN, LIN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Short Circuit, Bus Short Circuit to Battery, Overcurrent, Overcurrent Protected Bus, Overtemperature, Overvoltage Protect","SPI","Diagnostics Reporting, Sleep Mode, Wake, Watchdog Timer","-","2","48","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5643L, MPC5744P, MPC5746R","6","14","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC33907","MC33907LAER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33907&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/linear-regulator/safe-system-basis-chip-dc-dc-up-to-800-ma:MC33907?&fpsp=1&tab=Documentation_Tab#MC33907LAER2","System Basis Chip, CAN/LIN, 5V , 0.7A VCORE, QFP 48, Reel","-","-","-","Linear Regulators, System Basis Chip","1000 @ CNY20.28 each","LQFP-EP 48","CAN, LIN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Short Circuit, Bus Short Circuit to Battery, Overcurrent, Overcurrent Protected Bus, Overtemperature, Overvoltage Protect","SPI","Diagnostics Reporting, Sleep Mode, Wake, Watchdog Timer","-","2","48","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5643L, MPC5744P, MPC5746R","6","14","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC33907","MC33907NAE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33907&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/linear-regulator/safe-system-basis-chip-dc-dc-up-to-800-ma:MC33907?&fpsp=1&tab=Documentation_Tab#MC33907NAE","System Basis Chip, CAN, 5V , 0.7A VCORE, QFP 48, Tray","-","-","-","Linear Regulators, System Basis Chip","1000 @ CNY18.76 each","LQFP-EP 48","CAN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Short Circuit, Bus Short Circuit to Battery, Overcurrent, Overcurrent Protected Bus, Overtemperature, Overvoltage Protect","SPI","Diagnostics Reporting, Sleep Mode, Wake, Watchdog Timer","-","2","48","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5643L, MPC5744P, MPC5746R","6","14","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC33907","MC33907NAER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33907&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/linear-regulator/safe-system-basis-chip-dc-dc-up-to-800-ma:MC33907?&fpsp=1&tab=Documentation_Tab#MC33907NAER2","System Basis Chip, CAN, 5V , 0.7A VCORE, QFP 48, Reel","-","-","-","Linear Regulators, System Basis Chip","1000 @ CNY18.76 each","LQFP-EP 48","CAN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Short Circuit, Bus Short Circuit to Battery, Overcurrent, Overcurrent Protected Bus, Overtemperature, Overvoltage Protect","SPI","Diagnostics Reporting, Sleep Mode, Wake, Watchdog Timer","-","2","48","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5643L, MPC5744P, MPC5746R","6","14","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MM908E625","MM908E625ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E625&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-configurable-h-b-lin:MM908E625?&fpsp=1&tab=Documentation_Tab#MM908E625ACPEK","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Rail","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY25.75 each","SOIC-EP 54","LIN","10","20","160","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump, Hall Effect Sensor Inputs","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E625","MM908E625ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E625&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-configurable-h-b-lin:MM908E625?&fpsp=1&tab=Documentation_Tab#MM908E625ACPEKR2","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Reel","-","-","-","Embedded MCU plus Power, H-Bridge and Config Switches, High Side Switch, Network Transceivers","1000 @ CNY25.75 each","SOIC-EP 54","LIN","10","20","160","5 to 28","-","-40 to 85","Short Circuit, Overvoltage, Undervoltage Detection, Cross-Conduction Suppression, Overtemperature, Overcurrent","SPI","Hall Effect Sensor Inputs, Internal Charge Pump, PWM Capable","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E622","MM908E622ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E622&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-vreg-h-b-ec-glass-driver-lin-phy:MM908E622?&fpsp=1&tab=Documentation_Tab#MM908E622ACPEK","Integrated motor driver; 4x H-B, 3x HSS,  EC drive, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Rail","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY30.33 each","SOIC-EP 54","LIN","10","20","100","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","20","7.5","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E622","MM908E622ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E622&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-vreg-h-b-ec-glass-driver-lin-phy:MM908E622?&fpsp=1&tab=Documentation_Tab#MM908E622ACPEKR2","Integrated motor driver; 4x H-B, 3x HSS,  EC drive, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Reel","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY30.33 each","SOIC-EP 54","LIN","10","20","100","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","20","7.5","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
