"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","替代部件","器件功能","预算报价（不含税）(CNY)","封装类型和焊端数","供电电压 (Min-Max) (V) ","通信协议","数据传输速率 (Min) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Spec) (kbps) ","线性/LDO稳压器数量","输出电压","输出电流 (A) ","负载电流 (Typ) (A) (IL)","通道数","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","每路输出电流限值 (Min) (A) (ILIM)","负载供电电压 (Min) (V) ","负载供电电压 (Max) (V) ","电池充电器","电池组数量","充电终止方法","充电电流类型","内核：类型","工作环境温度 (Min-Max) (°C) ","接口和输入控制","诊断","保护","其他特性 - 电源管理","RoHS","开关升压稳压器数量","PLC代码","Pin count","PLC描述","输入电压 (Max) (V) ","认证级别","其他特性-模拟","无铅","内核：内核数量 (Spec)","内部RAM (KB) ","工作频率 (Max) (MHz) ","内部闪存 (KB) ","内核：工作电压 (Spec) (V) "
"FSL","模拟与电源管理---电池管理","MM9Z1_638","MM9Z1I638BM2EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM9Z1_638&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-can-and-lin:MM9Z1_638?&fpsp=1&tab=Documentation_Tab#MM9Z1I638BM2EP","Battery Sensor, LIN, CAN, 96KB Flash, QFN 48, Tray","-","-","-","Battery Management","1000 @ CNY22.64 each","QFN-EP 48","3.5 to 28","CAN, LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","SPI","-","-","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","8.192","50","96","-"
"FSL","模拟与电源管理---电池管理","MM9Z1_638","MM9Z1I638BM2EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM9Z1_638&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-can-and-lin:MM9Z1_638?&fpsp=1&tab=Documentation_Tab#MM9Z1I638BM2EPR2","Battery Sensor, LIN, CAN, 96KB Flash, QFN 48, Reel","-","-","-","Battery Management","1000 @ CNY22.64 each","QFN-EP 48","3.5 to 28","CAN, LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","SPI","-","-","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","8.192","50","96","-"
"FSL","模拟与电源管理---电池管理","MM9Z1_638","MM9Z1J638BM2EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM9Z1_638&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-can-and-lin:MM9Z1_638?&fpsp=1&tab=Documentation_Tab#MM9Z1J638BM2EP","Battery Sensor, LIN, CAN, 128KB Flash, QFN 48, Tray","-","-","-","Battery Management","1000 @ CNY24.48 each","QFN-EP 48","3.5 to 28","CAN, LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","SPI","-","-","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","8.192","50","128","-"
"FSL","模拟与电源管理---电池管理","MM9Z1_638","MM9Z1J638BM2EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM9Z1_638&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-can-and-lin:MM9Z1_638?&fpsp=1&tab=Documentation_Tab#MM9Z1J638BM2EPR2","Battery Sensor, LIN, CAN, 128KB Flash, QFN 48, Reel","-","-","-","-","1000 @ CNY24.48 each","QFN-EP 48","3.5 to 28","CAN, LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","SPI","-","-","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","8.192","50","128","-"
"FSL","模拟与电源管理---电池管理","MM912_637","MM912I637AM2EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_637&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-lin-for-12v-lead-acid-batteries:MM912_637?&fpsp=1&tab=Documentation_Tab#MM912I637AM2EP","Battery Sensor, LIN, 96KB Flash, QFN 48, Tray","-","-","-","System Basis Chip, Embedded MCU plus Power, Comm Transceivers, Battery Sensors","1000 @ CNY23.59 each","QFN-EP 48","3.5 to 28","LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","-","SPI","Undervoltage, Overvoltage","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","6","32","96","2.5"
"FSL","模拟与电源管理---电池管理","MM912_637","MM912I637AM2EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_637&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-lin-for-12v-lead-acid-batteries:MM912_637?&fpsp=1&tab=Documentation_Tab#MM912I637AM2EPR2","Battery Sensor, LIN, 96KB Flash, QFN 48, Reel","-","-","-","System Basis Chip, Embedded MCU plus Power, Comm Transceivers, Battery Sensors","1000 @ CNY23.59 each","QFN-EP 48","3.5 to 28","LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","-","SPI","Undervoltage, Overvoltage","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","6","32","96","2.5"
"FSL","模拟与电源管理---电池管理","MM912_637","MM912I637AV1EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_637&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-lin-for-12v-lead-acid-batteries:MM912_637?&fpsp=1&tab=Documentation_Tab#MM912I637AV1EP","Battery Sensor, LIN, 96KB Flash, QFN 48, Tray","-","-","-","System Basis Chip, Embedded MCU plus Power, Comm Transceivers, Battery Sensors","1000 @ CNY23.08 each","QFN-EP 48","3.5 to 28","LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 105","-","SPI","Undervoltage, Overvoltage","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","6","32","96","5"
"FSL","模拟与电源管理---电池管理","MM912_637","MM912I637AV1EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_637&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-lin-for-12v-lead-acid-batteries:MM912_637?&fpsp=1&tab=Documentation_Tab#MM912I637AV1EPR2","Battery Sensor, LIN, 96KB Flash, QFN 48, Reel","-","-","-","System Basis Chip, Embedded MCU plus Power, Comm Transceivers, Battery Sensors","1000 @ CNY23.08 each","QFN-EP 48","3.5 to 28","LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 105","-","SPI","Undervoltage, Overvoltage","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","6","32","96","5"
"FSL","模拟与电源管理---电池管理","MM912_637","MM912J637AM2EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_637&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-lin-for-12v-lead-acid-batteries:MM912_637?&fpsp=1&tab=Documentation_Tab#MM912J637AM2EP","Battery Sensor, LIN, 128KB Flash, QFN 48, Tray","-","-","-","System Basis Chip, Embedded MCU plus Power, Comm Transceivers, Battery Sensors","1000 @ CNY25.56 each","QFN-EP 48","3.5 to 28","LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","-","SPI","Undervoltage, Overvoltage","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","6","32","128","2.5"
"FSL","模拟与电源管理---电池管理","MM912_637","MM912J637AM2EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_637&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/battery-management/battery-sensors/battery-sensor-with-lin-for-12v-lead-acid-batteries:MM912_637?&fpsp=1&tab=Documentation_Tab#MM912J637AM2EPR2","Battery Sensor, LIN, 128KB Flash, QFN 48, Reel","-","-","-","System Basis Chip, Embedded MCU plus Power, Comm Transceivers, Battery Sensors","1000 @ CNY25.56 each","QFN-EP 48","3.5 to 28","LIN","20","100","-","-","-","-","-","-","-","-","3.5","28","-","-","-","-","HCS12","-40 to 125","-","SPI","Undervoltage, Overvoltage","-","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","1","6","32","128","2.5"
