"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","替代部件","器件功能","支持的MCU","预算报价（不含税）(CNY)","封装类型和焊端数","线性/LDO稳压器数量","开关升压稳压器数量","开关降压稳压器数量","输出电压","输出电流 (A) ","接口和输入控制","通信协议","工作环境温度 (Min-Max) (°C) ","保护","诊断","其他特性 - 电源管理","ADC","RoHS","PLC代码","电池组数量","Pin count","充电电流类型","PLC描述","电池充电器","输入电压 (Max) (V) ","供电电压 (Min-Max) (V) ","认证级别","音频发送模拟放大器","音频接收模拟放大器","照明管理","音频－数字","无铅","其他特性-模拟","数据传输速率 (Spec) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","通道数","每路输出电流限值 (Min) (A) (ILIM)","负载电流 (Typ) (A) (IL)","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","负载供电电压 (Max) (V) ","负载供电电压 (Min) (V) ","SafeAssure 功能安全","GPIOs","供电电压 (Typ) (V) ","LIN","CAN","Data Rate Min","Data Rate Max","充电终止方法","External Memory Voltage (V) ","内核：内核数量 (Spec)","内部RAM (KB) ","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","内核：工作电压 (Spec) (V) "
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A1EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A1EP","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Tray","-","-","-","PMICs for i.MX Processors","i.MX7S, i.MX7D","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.35","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A1EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A1EPR2","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Reel","-","-","-","PMICs for i.MX Processors","i.MX7S, i.MX7D","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.35","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A2EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A2EP","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Tray","-","-","-","PMICs for i.MX Processors","i.MX7S, i.MX7D","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A2EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A2EPR2","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Reel","-","-","-","PMICs for i.MX Processors","i.MX7S, i.MX7D","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A3EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A3EP","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Tray","-","-","-","PMICs for i.MX Processors","i.MX6SX","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.35","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A3EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A3EPR2","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Reel","-","-","-","PMICs for i.MX Processors","i.MX6SX","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.35","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A4EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A4EP","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Tray","-","-","-","PMICs for i.MX Processors","i.MX6SX","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.5","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A4EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A4EPR2","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Reel","-","-","-","PMICs for i.MX Processors","i.MX6SX","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.5","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A5EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A5EP","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Tray","-","-","-","PMICs for i.MX Processors","i.MX6SL","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2","-","-","-","-","-","-"
"FSL","模拟与电源管理---电源管理","PF3001","MC32PF3001A5EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=PF3001&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/power-management/pmics/pmics-for-i.mx-processors/10-channel-configurable-pmic:PF3001?&fpsp=1&tab=Documentation_Tab#MC32PF3001A5EPR2","Power Management IC, i.MX7, pre-prog, 3 buck, 6 LDO, QFN 48, Reel","-","-","-","PMICs for i.MX Processors","i.MX6SL","1000 @ CNY10.05 each","QFN-EP 48","6","0","3","3.3 ADJ down, 3.3 ADJ down, 1.65 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 1.55 ADJ down, 3.3 ADJ down, 3.3 ADJ down, 3.0 ADJ down","2.75, 1.25, 1.5, 0.1, 0.35, 0.1, 0.25, 0.1, 0.35, 0.001","I2C","-","-40 to -40, 85 to 85","Current Limit, Overtemperature, Overvoltage Detection","-","-","-","-","2","-","48","-","PRODUCT RAPID GROWTH(2)","Coin cell","-","2.8 to 2.8, 5.5 to 5.5","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2","-","-","-","-","-","-"
