"brand","Series","PartNo","DetailLink","dataSheet","LED","Type of Driver","IOUT(mA)","Vdd(V)","ISD(uA)","Intensity Ctrl.","Pkg-Pin(mm)","Document","Status"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3212","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3212.pdf","4","Constant Current","23","2.7-5.5","1.0","Pulse Count","DFN-8(2x2)","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3228A/B","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3228AB.pdf","4/6","Charge Pump","20","2.8-5.5","0.5","Pulse Count","UTQFN-12","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3229","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3229.pdf","8","Charge Pump","20","2.7-5.5","1.0","Pulse Count & PWM","QFN-20(3x3)"," ","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3230","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3230.pdf","8","Constant Current","40mA or 320mA in parallel","2.7-5.5","1.6","PWM","QFN-16(3x3)","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3231","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3231.pdf","1","Charge Pump","750","2.7-5.5","1.0","Pulse Count","DFN-10(3x3)","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3232","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3232.pdf","1","Charge Pump","750","2.5-5.5","1.0","Pulse Count","DFN-10(3x3)","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3233A","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3233A.pdf","2","Flash/Torch","1.5A","2.7 – 5.5V","8.0","Enable Pin","DFN-14(3x2)","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3506A","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3506A.pdf","9","Boost","20","2.7-5.5","1.5","PWM or DC Level","TSOT23-6","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3506B","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3506B.pdf","8","Boost","20","2.7-5.5","1.5","PWM or DC Level","TSOT23-6","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3508A","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3508A.pdf","10","Boost","20","2.7-5.5","2.0","PWM or DC Level","SOT23-6","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS31BL3508B","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/31BL3508B.pdf","10","Boost","20","2.7-5.5","2.0","PWM or DC Level","SOT23-6"," ","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS32BL3552","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/32BL3552.pdf","2","Boost","43-360mA per channel","4.5-33","0.1","PMW","eTSSOP-16","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS32BL3554","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/32BL3554.pdf","4","Boost","20-180mA per channel","4.5-33","0.1","PWM","eTSSOP-16","-","Prod"
"issi","Analog-Backlight Driver---Small Size LCD Backlight & Flash LED Driver","IS32BL3556","http://www.issi.com/US/product-analog-backlight-driver.shtml","http://www.issi.com/WW/pdf/32BL3556.pdf","4","Boost","100mA per channel","4","10","PWM","eTSSOP-20"," ","S=Q3/15"
