"brand","Series","PartNo","DetailLink","dataSheet","Channels","RGB Group","Γ Correction","Ctrl. Interface","Audio Sync.","Auto. Dimming","Vdd(V)","Pkg-Pin(mm)","Document","Status"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3190","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3190.pdf","1","-","-","12C","No","Yes","2.7-5.5","UTQFN-9(1.5x1.5)"," ","S=Q3/15"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3191","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3191.pdf","1","-","-","12C","No","Yes","2.7-5.5","UTQFN-9(1.5x1.5)"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3193","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3193.pdf","3","1","Built-in","I2C","No","Yes","2.7-5.5","DFN-10(3x3)"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3193D","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3193D.pdf","3","1","Built-in","I2C","No","Yes","2.7-5.5","WLCSP-8(1x1.5)","-","Sample"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3196","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3196.pdf","6","2","Built-in","I2C","Yes","Yes","2.7-5.5","QFN-20(3x3)"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3199","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3199.pdf","9","3","Built-in","I2C","Yes","Yes","2.7-5.5","QFN-20(3x3)"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3216","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3216.pdf","16"," -","External","I2C","Yes","No","2.7-5.5","QFN-28(4x4)","-","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3218","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3218.pdf","18","6","External","I2C","No","No","2.7-5.5","QFN-24(4x4),SOP-24"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3235","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3235.pdf","28","6","External","I2C","No","No","2.7-5.5","QFN-36","-","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3236","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3236.pdf","36","6","External","I2C","No","No","2.7-5.5","QFN-44(5x5),TQFP-48"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3726","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3726.pdf","16"," -"," -","Serial","No","No","3.3-5.5","QFN-24(4x4),TSSOP-24","-","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3728","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3728.pdf","64"," -","External","I2C","Yes","No","2.7-5.5","QFN-24(4x4)","-","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3730","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3730.pdf","128"," -","External","I2C","Yes","No","2.7-5.5","QFN-24(4x4)","-","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3731","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3731.pdf","144"," -","External","I2C","Yes","No","2.7-5.5","QFN-28(4x4),SSOP-28"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3731C","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3731C.pdf","144"," -","External","I2C","Yes","No","2.7-5.5","SSOP-28"," ","Prod"
"issi","Analog-FxLED Driver---FxLED Driver","IS31FL3732","http://www.issi.com/US/product-analog-fxled-driver.shtml","http://www.issi.com/WW/pdf/31FL3732.pdf","144"," -","External","I2C","Yes","No","2.7-5.5","QFN-40","-","Prod"
