"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Type","Vcc","Refsh","Speed","Pkg(Pins)","Status","Models","Comment"
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R16800E","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16800E-32400E.pdf","128M","8Mx16","DDR","2.5V","4K","200,166,133","TSOP2(66),BGA(60)","Prod",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R32400E","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16800E-32400E.pdf"," ","4Mx32","DDR","2.5V","4K","250,200,166","BGA(144)","Prod","-"," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R83200D","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16160D-32800D.pdf","256M","32Mx8","DDR","2.5V","8K","200,166,133","TSOP2(66)","NR","-"," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R83200F","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16160-32800-83200F.pdf"," ","32Mx8","DDR","2.5V","8K","200,166,133","TSOP2(66)","Prod","-"," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R16160D","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16160D-32800D.pdf"," ","16Mx16","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","NR",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R16160F","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16160-32800-83200F.pdf"," ","16Mx16","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","Prod",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R32800D","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16160D-32800D.pdf"," ","8Mx32","DDR","2.5V","4K","200,166,133","BGA(144)","Prod","-"," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R32800F","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16160-32800-83200F.pdf"," ","8Mx32","DDR","2.5V","4K","200,166,133","BGA(144)","Contact ISSI","-"," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R86400D","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16320D-32160D.pdf","512M","64Mx8","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","NR",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R86400E","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16320E-32160E.pdf"," ","64Mx8","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","Prod",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R86400F","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R86400F-16320F.pdf"," ","64Mx8","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","S=NOW",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R16320D","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16320D-32160D.pdf"," ","32Mx16","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","NR",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R16320E","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16320E-32160E.pdf"," ","32Mx16","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","Prod",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R16320F","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R86400F-16320F.pdf"," ","32Mx16","DDR","2.5V","8K","200,166,133","TSOP2(66),BGA(60)","S=NOW",","," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R32160D","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16320D-32160D.pdf"," ","16Mx32","DDR","2.5V","8K","200,166,133","BGA(144)","Prod","-"," "
"issi","DRAM-DDR SDRAM---2.5V DDR SDRAM","IS43R32160E","http://www.issi.com/US/product-dram-ddr.shtml","http://www.issi.com/WW/pdf/43-46R16320E-32160E.pdf"," ","16Mx32","DDR","2.5V","8K","200,166,133","BGA(144)","Contact","-"," "
