"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Type","Vcc","Refsh","Speed","Pkg(Pins)","Status","Models","Comment"
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR83200A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR83200A-16160A.pdf","256M","32Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","Contact ISSI","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16160B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR16160B.pdf"," ","16Mx16","DDR2","1.8V","8K","800,667,533,400","WBGA(84)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR32801B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR32801B.pdf"," ","8Mx32","DDR2","1.8V","8K","800,667,533,400","BGA(126)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR86400C","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400C-16320C.pdf","512M","64Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","NR","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR86400D","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400D-16320D.pdf"," ","64Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR86400E","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400E-16320E.pdf"," ","64Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","S=NOW","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16320C","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400C-16320C.pdf"," ","32Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","NR","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16320D","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400D-16320D.pdf"," ","32Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16320E","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400E-16320E.pdf"," ","32Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","S=NOW","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR32160C","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR32160C.pdf"," ","16Mx32","DDR2","1.8V","8K","800,667,533,400","BGA(126)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR81280B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280B-16640B.pdf","1G","128Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR81280C","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280C-16640C.pdf"," ","128Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","S=NOW","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16640B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280B-16640B.pdf"," ","64Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16640C","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280C-16640C.pdf"," ","64Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","S=NOW","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR82560B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR82560B-16128B.pdf","2G","256Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR82560C","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR82560C-16128C.pdf"," ","256Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","S=NOW","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16128A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR16128A.pdf"," ","128Mx16","DDR2","1.8V","8K","667,533,333","BGA(84)","Prod","-"," "
"issi","DRAM-DDR2 SDRAM---1.8V DDR2 SDRAM","IS43DR16128B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR82560B-16128B.pdf"," ","128Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","Prod","-"," "
