"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Type","Vcc","Refsh","Speed","Pkg(Pins)","Status","Models","Comment"
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR16160A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR83200A-16160A.pdf","256M","16Mx16","DDR2","1.8V","8K","800,667,533,400","WBGA(84)","EOL","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR32800A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43DR32800A-32801A.pdf"," ","8Mx32","DDR2","1.8V","4K","533,400","BGA(126)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR32801A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43DR32800A-32801A.pdf"," ","8Mx32","DDR2","1.8V","8K","533,400","BGA(126)","OBS","-","Reduced page option"
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS46DR16160A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR83200A-16160A.pdf"," ","16Mx16","DDR2","1.8V","8K","533,400","WBGA(84)","EOL","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS46DR32801A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43DR32800A-32801A.pdf"," ","8Mx32","DDR2","1.8V","8K","400","BGA(126)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR86400B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400B-16320B.pdf","512M","64Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR16320B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400B-16320B.pdf"," ","32Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS46DR86400B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400B-16320B.pdf"," ","64Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS46DR16320B","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR86400B-16320B.pdf"," ","32Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR81280A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280A-16640A.pdf","1G","128Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR16640A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280A-16640A.pdf"," ","64Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS46DR81280A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280A-16640A.pdf"," ","128Mx8","DDR2","1.8V","8K","800,667,533,400","BGA(60)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS46DR16640A","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR81280A-16640A.pdf"," ","64Mx16","DDR2","1.8V","8K","800,667,533,400","BGA(84)","OBS","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS43DR16128","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR16128.pdf","2G","128Mx16","DDR2","1.8V","8K","667,533,400","BGA(84)","EOL","-"," "
"issi","DRAM-DDR2 SDRAM---Preceding DDR2 SDRAM Products","IS46DR16128","http://www.issi.com/US/product-dram-ddr2.shtml","http://www.issi.com/WW/pdf/43-46DR16128.pdf"," ","128Mx16","DDR2","1.8V","8K","667,533,400","BGA(84)","OBS","-"," "
