"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Interface","Pkg(Pins)","Status","Comment"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC93200","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_288MCIO.pdf","288M","32Mx9","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC18160","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_288MCIO.pdf","-","16Mx18","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC36800","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_288MCIO.pdf","-","8Mx36","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLS93200","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_288MSIO.pdf","-","32Mx9","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLS18160","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_288MSIO.pdf","-","16Mx18","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC96400","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_576MCIO.pdf","576M","64Mx9","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC96400A","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/49NLC96400A-18320A-36160A.pdf","-","64Mx9","Common I/O","BGA(144)","S=Q4/15","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC18320","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_576MCIO.pdf","-","32Mx18","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC18320A","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/49NLC96400A-18320A-36160A.pdf","-","32Mx18","Common I/O","BGA(144)","S=Q4/15","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC36160","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_576MCIO.pdf","-","16Mx36","Common I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLC36160A","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/49NLC96400A-18320A-36160A.pdf","-","16Mx36","Common I/O","BGA(144)","S=Q4/15","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLS96400","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_576MSIO.pdf","-","64Mx9","Separate I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLS96400A","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/49NLS96400A-18320A.pdf","-","64Mx9","Separate I/O","BGA(144)","S=Q4/15","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLS18320","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/RLDRAM_576MSIO.pdf","-","32Mx18","Separate I/O","BGA(144)","Prod","-"
"issi","DRAM-RLDRAM® 2/3---RLDRAM® 2 Memory","IS49NLS18320A","http://www.issi.com/US/product-rldram.shtml","http://www.issi.com/WW/pdf/49NLS96400A-18320A.pdf","-","32Mx18","Separate I/O","BGA(144)","S=Q4/15","-"
