"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Type","Vcc","Refsh","Speed","Pkg(Pins)","Status","Models","Comment"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16400D","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S16400D.pdf","64M","4Mx16","SDR","3.3V","4K","166,143","TSOP2(54),BGA(60)","OBS",","," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16400F","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42-45S16400F.pdf"," ","4Mx16","SDR","3.3V","4K","200,166,143","TSOP2(54),BGA(54),BGA(60)","EOL",",","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S32200E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42-45S32200E.pdf"," ","2Mx32","SDR","3.3V","4K","200,166,143","TSOP2(86),BGA(90)","EOL",",","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S16400E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/45S16400E.pdf"," ","4Mx16","SDR","3.3V","4K","166,143","TSOP2(54)","EOL","-","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S16400F","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42-45S16400F.pdf"," ","4Mx16","SDR","3.3V","4K","166,143","TSOP2(54),BGA(54)","EOL",",","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S32200E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42-45S32200E.pdf"," ","2Mx32","SDR","3.3V","4K","166,143,133","TSOP2(86),BGA(90)","EOL",",","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16800B","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S16800B.pdf","128M","8Mx16","SDR","3.3V","4K","166,143,133","TSOP2(54)","OBS"," "," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16800D","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S81600D.pdf"," ","8Mx16","SDR","3.3V","4K","166,143,133","TSOP2(54),BGA(54)","OBS",","," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16800E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S81600E-16800E.pdf"," ","8Mx16","SDR","3.3V","4K","200,166,143,133","TSOP2(54),BGA(54)","EOL",","," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S32400D","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S32400D.pdf"," ","4Mx32","SDR","3.3V","4K","166,143,125,100","TSOP2(86),BGA(90)","OBS",",","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S32400E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42-45S32400E.pdf"," ","4Mx32","SDR","3.3V","4K","166,143,133","TSOP2(86),BGA(90)","EOL",",","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S81600B","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S16800B.pdf"," ","16Mx8","SDR","3.3V","4K","166,143,133","TSOP2(54)","OBS","-"," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S81600D","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S81600D.pdf"," ","16Mx8","SDR","3.3V","4K","166,143,133","TSOP2(54),BGA(54)","OBS","-"," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S81600E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S81600E-16800E.pdf"," ","16Mx8","SDR","3.3V","4K","200,166,143","TSOP2(54)","EOL","-","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S16800B","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf//45S16800B.pdf"," ","8Mx16","SDR","3.3V","4K","143","TSOP2(54)","OBS"," "," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S16800E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/45S81600E-16800E.pdf"," ","8Mx16","SDR","3.3V","4K","166,143","TSOP2(54),BGA(54)","EOL",","," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S32400E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42-45S32400E.pdf"," ","4Mx32","SDR","3.3V","4K","166,143","TSOP2(86),BGA(90)","EOL",",","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S81600B","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/45S16800B.pdf"," ","16Mx8","SDR","3.3V","4K","143","TSOP2(54)","OBS","-"," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS45S81600E","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/45S81600E-16800E.pdf"," ","16Mx8","SDR","3.3V","4K","166,143","TSOP2(54)","EOL","-","-"
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16160B","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S83200B-16160B.pdf","256M","16Mx16","SDR","3.3V","8K","166,143","TSOP2(54)","OBS","-"," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16160C","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42S83200-16160C.pdf"," ","16Mx16","SDR","3.3V","8K","166,143,133","TSOP2(54)","OBS","-"," "
"issi","DRAM-SDR SDRAM---Preceding SDR SDRAM Products","IS42S16160D","http://www.issi.com/US/product-dram-SDR.shtml","http://www.issi.com/WW/pdf/42-45S83200D-16160D.pdf"," ","16Mx16","SDR","3.3V","8K","166,143,133","TSOP2(54),BGA(54)","EOL",","," "
