"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Type","Vcc","Refsh","Speed(Mhz)","Pkg(Pins)","Status","Models","Comment"
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42VM/RM/SM16200D","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM16200D.pdf","32M","2Mx16","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(54)","Prod",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42VM/RM/SM32100D","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM32100D.pdf"," ","2Mx16","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(90)","Prod",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42VM/RM/SM16400M","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM16400M.pdf","64M","4Mx16","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(54)","Prod",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42VM/RM/SM32200M","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42SM-RM-VM32200M.pdf"," ","2Mx32","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(90)","Prod",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM/RM/SM16800H","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45SM-RM-VM16800H.pdf","128M","8Mx16","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(54)","Prod",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM/RM/SM32400H","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45SM-RM-VM32400H.pdf"," ","4Mx32","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(90)","Prod",","," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM/RM/SM16160K","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45SM-RM-VM16160K.pdf","256M","16Mx16","MSDR","1.8/2.5/3.3V","8K","166,133","BGA(54)","Prod",", "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM/RM/SM32800K","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45SM-RM-VM32800K.pdf"," ","8Mx32","MSDR","1.8/2.5/3.3V","4K","166,133","BGA(90)","Prod",", "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM16320D","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45VM16320D.pdf","512M","32Mx16","MSDR","1.8V","8K","166,133","BGA(54)","NR","-"," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM/RM/SM16320E","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45SM-RM-VM16320E.pdf"," ","32Mx16","MSDR","1.8/2.5/3.5V","8K","166,133","BGA(54)","Prod",", "," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM32160D","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45VM32160D.pdf"," ","16Mx32","MSDR","1.8V","8K","166,133","BGA(90)","NR","-"," "
"issi","Mobile DRAM-Mobile/Low Voltage SDR SDRAM--- Mobile SDR SDRAM","IS42/45VM/RM/SM32160E","http://www.issi.com/US/product-dram-low-volt-mobile.shtml","http://www.issi.com/WW/pdf/42-45SM-RM-VM32160E.pdf"," ","16Mx32","MSDR","1.8/2.5/3.5V","8K","166,133","BGA(90)","Prod",", "," "
