"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","Speed(ns)","Pkg(Pins)","Status","Models","Comment/ Previous rev."
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61LV256AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61LV256AL.pdf","256K","32Kx8","3.3V","10","SOJ(28),TSOP1(28)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61WV3216DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV3216DBxx.pdf","512K","32Kx16","2.4-3.6V","8,10,12","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61WV6416DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV6416DAxx-DBxx.pdf","1M","64Kx16","2.4-3.6V","8,10,12","TSOP2(44),SOJ(44),BGA(48)","Prod","-",","
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61WV6416EEBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV6416EEBLL.pdf"," ","64Kx16","1.65-3.6V","8,10","TSOP2(44),SOJ(44),BGA(48)","Prod","-","ECC Based SRAM"
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS63WV1288DALL/DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/63-64WV1288DALL-DBLL.pdf"," ","128Kx8","1.65-3.6V","8,10,12,20","TSOP2(32),BGA(48),sTSOP1(32),SOJ(32.3)","Prod","-",","
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61WV1288EEBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV1288EEBLL.pdf"," ","128Kx8","1.65-3.6V","8,10","TSOP2(32),BGA(48),sTSOP1(32),SOJ(32.3)","Prod","-","ECC Based SRAM"
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61WV12816DALL/DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV12816DALL-DBLL.pdf","2M","128Kx16","1.65-3.6V","8,10,12,20","TSOP2(32),BGA(48)","Prod","-",","
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61WV12816EDBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV12816EDBLL.pdf"," ","128Kx16","2.4-3.6V","8,10","TSOP2(44),BGA(48)","Prod","-","ECC Based SRAM"
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61LV2568L","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61LV2568L.pdf"," ","256Kx8","3.3V","8,10","SOJ(36),TSOP2(44)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---High Speed Low Power Asynchronous SRAM","IS61WV2568EDBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64WV2568EDBLL.pdf"," ","256Kx8","2.4-3.6V","8,10","SOJ(36),TSOP2(44),BGA(36)","Prod","-","ECC Based SRAM"
