"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","Speed(ns)","Pkg(Pins)","Status","Models","Comment/ Previous rev."
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62LV256AL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65LV256AL.pdf","256K","32Kx8","3.3V","20,45","SOJ(28),SOP(28),TSOP1(28)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV6416DALL/DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV6416DALL-BLL.pdf","1M","64Kx16","1.65-3.6V","35,45,55","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV1288DALL/DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV1288DALL-BLL.pdf"," ","128Kx8","1.65-3.6V","35,45,55","SOP(32),sTSOP1(32),TSOP1(32),BGA(36)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM"," IS62WV12816ALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62WV12816ALL.pdf","2M","128Kx16","1.65-3.6V","45,55,70","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV12816EALL/EBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV12816EALL-BLL.pdf"," ","128Kx16","1.65-3.6V","45,55","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM"," IS62WV2568ALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62WV2568ALL_BLL.pdf"," ","256Kx8","1.65-3.6V","45,55,70","sTSOP1(32),TSOP1(32),BGA(36)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV2568EALL/EBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV2568EALL-BLL.pdf"," ","256Kx8","1.65-3.6V","45,55","sTSOP1(32),TSOP1(32),BGA(36)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV25616ALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62WV25616ALL.pdf","4M","256Kx16","1.65-3.6V","55,70","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV25616DALL/DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV25616DALL-DBLL.pdf"," ","256Kx16","1.65-3.6V","45,55","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV25616EALL/EBLL/ECLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV25616EALL-BLL-CLL.pdf"," ","256Kx16","1.65-3.6V","35,45,55","TSOP2(44),BGA(48)","S=NOW","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM"," IS62WV5128ALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62WV5128ALL.pdf"," ","512Kx8","1.65-3.6V","55,70","sTSOP1(32),TSOP12(32),BGA(36),SOP(32)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV5128DALL/DBLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV5128DALL-DBLL.pdf"," ","512Kx8","1.65-3.6V","45,55","sTSOP1(32),TSOP12(32),BGA(36),SOP(32)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV5128EALL/EBLL/ECLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV5128EALL-BLL.pdf"," ","512Kx8","1.65-3.6V","35,45,55","sTSOP1(32),TSOP12(32),BGA(36),SOP(32)","S=NOW","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV51216ALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62WV51216ALL.pdf","8M","512Kx16","1.65-3.6V","45,55","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV10248DALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV10248DALL-BLL.pdf"," ","1Mx8","1.65-3.6V","45,55","TSOP2(44),BGA(48)","Prod","-","-"
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62/65WV51216EALL/EBLL ","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV51216EALL-BLL.pdf"," ","512Kx16","1.65-3.6V","45,55","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62/65WV10248EALL/EBLL ","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV10248EALL-BLL.pdf"," ","1Mx8","1.65-3.6V","45,55","TSOP2(44),BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV102416EALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV102416EALL-BLL.pdf","16M","1Mx16","1.65-3.6V","45,55","BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV20488EALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV20488EALL-BLL.pdf"," ","2Mx8","1.65-3.6V","45,55","BGA(48)","Prod","-"," "
"issi","SRAM-Asynchronous SRAM---PowerSaver™ Lower Power Asynchronous SRAM","IS62WV102416DALL/BLL","http://www.issi.com/US/product-asynchronous-sram.shtml","http://www.issi.com/WW/pdf/62-65WV102416DALL-DBLL.pdf"," ","1Mx16/2Mx8","1.65-3.6V","45,55","TSOP1(48)","Prod","-","x8/x16 configurable"
