"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Burst","Speed(Mhz)","Status","Models","Comments/Previous revision"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB41M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB41M18A-51236A.pdf","18M","1Mx18","4","300,333,400,450","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB41M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB41M18C-51236C-C1-C2.pdf"," ","1Mx18","4","450,500,550,567","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B41M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B41M18A-51236A.pdf"," ","1Mx18","4","300,333,400,450","Prod","-","2.0 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B41M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B41M18C-51236C-C1-C2.pdf"," ","1Mx18","4","300,333,400,450","Prod","-","2.0 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB21M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB21M18A-51236A.pdf"," ","1Mx18","2","300,333,400,450","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB21M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB21M18C-512K36C-C1-C2.pdf"," ","1Mx18","2","450,500,550,567","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B21M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B21M18A-51236A.pdf"," ","1Mx18","2","300,333,400,450","Prod","-","2.0 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B21M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B21M18C-51236C-C1-C2.pdf"," ","1Mx18","2","300,333,400,450","Prod","-","2.0 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB451236A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB41M18A-51236A.pdf"," ","512Kx36","4","300,333,400,450","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB451236C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB41M18C-51236C-C1-C2.pdf"," ","512Kx36","4","450,500,550,567","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B451236A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B41M18A-51236A.pdf"," ","512Kx36","4","300,333,400,450","Prod","-","2.0 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B451236C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B41M18C-51236C-C1-C2.pdf"," ","512Kx36","4","300,333,400,450","Prod","-","2.0 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB251236A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB21M18A-51236A.pdf"," ","512Kx36","2","300,333,400,450","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDPB251236C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDPB21M18C-512K36C-C1-C2.pdf"," ","512Kx36","2","450,500,550,567","Prod","-","2.5 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B251236A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B21M18A-51236A.pdf"," ","512Kx36","2","300,333,400,450","Prod","-","2.0 Cycle Read"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---DDR-IIP, Common I/O","IS61DDP2B251236C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61DDP2B21M18C-51236C-C1-C2.pdf"," ","512Kx36","2","300,333,400,450","Prod","-","2.0 Cycle Read"
