"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Burst","Speed(Mhz)","Status","Models","Comments/Previous revision"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB41M18A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB41M18A-51236A.pdf","18M","1Mx18","4","250,300,333,400","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB41M18C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB41M18C-51236C.pdf"," ","1Mx18","4","250,300,333,400","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB451236A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB41M18A-51236A.pdf"," ","512Kx36","4","250,300,333,400","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB451236C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB41M18C-51236C.pdf"," ","512Kx36","4","250,300,333,400","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB21M18A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB21M18A-51236A.pdf"," ","1Mx18","2","250,300,333","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB21M18C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB21M18C-51236C.pdf"," ","1Mx18","2","250,300,333,400","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB251236A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB21M18A-51236A.pdf"," ","512Kx36","2","250,300,333","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB251236C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB21M18C-51236C.pdf"," ","512Kx36","2","250,300,333,400","Prod","-"," "
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB41M36A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB42M18A-1M36A.pdf","36M","1Mx36","4","250,300,333,400","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB41M36C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB42M18C-1M36C.pdf"," ","1Mx36","4","250,300,333,400","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB42M18A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB42M18A-1M36A.pdf"," ","2Mx18","4","250,300,333,400","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB42M18C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB42M18C-1M36C.pdf"," ","2Mx18","4","250,300,333,400","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB21M36A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB22M18A-1M36A.pdf"," ","1Mx36","2","250,300,333","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB21M36C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB22M18C-1M36C.pdf"," ","1Mx36","2","250,300,333,400","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB22M18A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB22M18A-1M36A.pdf"," ","2Mx18","2","250,300,333","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB22M18C","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB22M18C-1M36C.pdf"," ","2Mx18","2","250,300,333,400","Prod","-","-"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB42M36A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB44M18A-2M36A.pdf","72M","2Mx36","4","250,300,333,400","Prod","-",","
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB44M18A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB44M18A-2M36A.pdf"," ","4Mx18","4","250,300,333,400","Prod","-",","
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB22M36A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB24M18A-2M36A.pdf"," ","2Mx36","2","250,300,333","Prod","-",","
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUAD","IS61QDB24M18A","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDB24M18A-2M36A.pdf"," ","4Mx18","2","250,300,333","Prod","-",","
