"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Burst","Speed(Mhz)","Status","Models","Comments/Previous revision"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB41M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB41M18A-51236A-A1-A2.pdf","18M","1Mx18","4","300,333,400,450","Prod","-","2.5 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB41M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB41M18C-51236C-C1-C2.pdf"," ","1Mx18","4","450,500,550,567","Prod","-","2.5 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDP2B41M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDP2B41M18A-51236A-A1-A2.pdf"," ","1Mx18","4","300,333,400,450","Prod","-","2.0 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDP2B41M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDP2B41M18C-51236C-C1-C2.pdf"," ","1Mx18","4","300,333,400,450","Prod","-","2.0 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB21M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB21M18A-51236A-A1-A2.pdf"," ","1Mx18","2","250,300,333","Prod","-","2.5 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB21M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB21M18C-51236C-C1-C2.pdf"," ","1Mx18","2","333,400,450,500","Prod","-","2.5 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDP2B21M18A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDP2B21M18A-51236A-A1-A2.pdf"," ","1Mx18","2","250,300,333","Prod","-","2.0 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDP2B21M18C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDP2B21M18C-51236C-C1-C2.pdf"," ","1Mx18","2","300,333,400,450","Prod","-","2.0 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB451236A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB41M18A-51236A-A1-A2.pdf"," ","512Kx36","4","300,333,400,450","Prod","-","2.5 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB451236C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB41M18C-51236C-C1-C2.pdf"," ","512Kx36","4","450,500,550,567","Prod","-","2.5 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDP2B451236A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDP2B41M18A-51236A-A1-A2.pdf"," ","512Kx36","4","300,333,400,450","Prod","-","2.0 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDP2B451236C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDP2B41M18C-51236C-C1-C2.pdf"," ","512Kx36","4","300,333,400,450","Prod","-","2.0 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB251236A/A1/A2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB21M18A-51236A-A1-A2.pdf"," ","512Kx36","2","250,300,333","Prod","-","2.5 Cycle Read Latency"
"issi","SRAM-QUAD/QUADP & DDR-II/DDR-IIP---QUADP","IS61QDPB251236C/C1/C2","http://www.issi.com/US/product-quad_p_ddr2_p.shtml","http://www.issi.com/WW/pdf/61QDPB21M18C-51236C-C1-C2.pdf"," ","512Kx36","2","333,400,450,500","Prod","-","2.5 Cycle Read Latency"
