"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS12832A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf","4M","128Kx32","2.5V","2.5V","200","3.1","QFP(100)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128Kx32","2.5V","2.5V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","128Kx36","2.5V","2.5V","200","3.1","QFP(100)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128Kx36","2.5V","2.5V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","256x18","2.5V","2.5V","200","3.1","QFP(100)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64VPS25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","256x18","2.5V","2.5V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS12832A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","128x32","3.3V","2.5/3.3V","200","3.1","QFP(100)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128x32","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","128x36","3.3V","2.5/3.3V","200","3.1","QFP(100)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128x36","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","256Kx18","3.3V","2.5/3.3V","200","3.1","QFP(100)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Automotive Synchronous SRAM","IS64LPS25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","256Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165)","Prod","-","P/SCD,ECC feature"
