"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment/ Prev. Rev."
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF6432A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61LF6432A_36A.pdf","2M","64Kx32","3.3V","2.5/3.3V","90","8.5","QFP(100)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF6436A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61LF6432A_36A.pdf"," ","64Kx36","3.3V","2.5/3.3V","90","8.5","QFP(100)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF12832A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf","4M","128Kx32","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","128Kx32","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf"," ","128Kx36","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","128Kx36","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf"," ","256Kx18","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61LF25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","256Kx18","3.3V","2.5/3.3V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F,ECC feature"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61VF12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LF_VF12832EC-12836EC-25618EC.pdf"," ","128Kx32","2.5V","2.5V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---Flow-Through","IS61VF12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VF_LF12836A_25618A.pdf"," ","128Kx36","2.5V","2.5V","133,117","6.5,7.5","BGA(119),QFP(100),BGA(165)","Prod","-","F"
