"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP6432A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP6436A_12818A.pdf","2M","64Kx32","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP6436A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP6436A_12818A.pdf"," ","64Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP12818A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP6436A_12818A.pdf"," ","128Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP6436A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP6436A_12818A.pdf"," ","64Kx36","2.5V","2.5V","250,200","2.6,3.1","QFP(100)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP12818A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP6436A_12818A.pdf"," ","128Kx18","2.5V","2.5V","250,200","2.6,3.1","QFP(100)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP12832B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP12836B_25618A.pdf","4M","128Kx32","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","128Kx32","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP12836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP12836B_25618A.pdf"," ","128Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64NLP_NVP12832EC-12836EC-25618EC.pdf"," ","128Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P,ECC feature"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP12836B_25618A.pdf"," ","256Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P"
