"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment/ Prev. Rev."
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LP6432A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61LP6432A_36A.pdf","2M","64Kx32","3.3V","2.5/3.3V","133","4","QFP(100)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LP6436A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61LP6432A_36A.pdf"," ","64Kx36","3.3V","2.5/3.3V","166,133","3.5,4","QFP(100)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS12832A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf","4M","128Kx32","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128Kx32","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","128Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","256Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","256Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS12832EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128Kx32","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS12836A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","128Kx36","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS12836EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","128Kx36","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS25618A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS12836A_25618A.pdf"," ","256Kx18","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS25618EC","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64LPS_VPS12832EC-12836EC-25618EC.pdf"," ","256Kx18","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD,ECC feature"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS25632B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS25636B_51218B.pdf","9M","256Kx32","3.3V","2.5/3.3V","200,166","3.1,3.8","QFP(100)","Prod","-","P/SCD, "
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS25636B_51218B.pdf"," ","256Kx36","3.3V","2.5/3.3V","250,200,166","2.6,3.1,3.8","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD, "
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS25636B_51218B.pdf"," ","512Kx18","3.3V","2.5/3.3V","250,200,166","2.6,3.1,3.8","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD, "
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS25636B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS25636B_51218B.pdf"," ","256Kx36","2.5V","2.5V","250,200,166","2.6,3.1,3.8","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD, "
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPS51218B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61-64VPS_LPS25636B_51218B.pdf"," ","512Kx18","2.5V","2.5V","250,200,166","2.6,3.1,3.8","BGA(119),QFP(100),BGA(165)","Prod","-","P/SCD, "
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPD25636A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VPD_LPD25636A_51218A.pdf"," ","256Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod",",","P/DCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPD51218A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VPD_LPD25636A_51218A.pdf"," ","512Kx18","3.3V","2.5/3.3V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod",",","P/DCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPD25636A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VPD_LPD25636A_51218A.pdf"," ","256Kx36","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod",",","P/DCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61VPD51218A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VPD_LPD25636A_51218A.pdf"," ","512Kx18","2.5V","2.5V","250,200","2.6,3.1","BGA(119),QFP(100),BGA(165)","Prod",",","P/DCD"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS25672A","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61VPS_LPS-51236A_102418A.pdf","18M","256Kx72","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165,209)","Prod",",","P/SCD,"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS51236B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61LPS_VPS102418B_51236B.pdf"," ","512Kx36","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165,209)","Prod",","," P/SCD,"
"issi","SRAM-Synchronous SRAM---Pipeline","IS61LPS102418B ","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61LPS_VPS102418B_51236B.pdf"," ","1Mx18","3.3V","2.5/3.3V","250,200","2.6,3.1","QFP(100),BGA(119),BGA(165,209)","Prod","-","P/SCD,"
