brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","Typical Max Power(W)","Type","VAC (Min) (V)","VAC (Max) (V)","Switching Freq. (Max) (kHz)","Control Method","VFB(V)","VBR (V)","VCC (Max) (V)","RFB(kΩ)","Min Off Time(us)","Trestart(us)","VCS(Max)(V)","VFSET(Min)(V)","VFSET(Max)(V)","Grade","Package","Power Watts","Power Range defined"
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HFC0500","http://www.monolithicpower.com/Products/Product-Detail?ProductID=865","http://new.zlgmcu.com/mps_datasheet/HFC0500.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3901","HFC0500","New","","Fixed Frequency Flyback Controller with Ultra-low No Load Power Consumption","120.0","Controller","85.0","265.0","65.0","Fixed Frequency","","700.0","30.0","14.0","","","1.45","","","Catalog","SOIC8-7","",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","MP110","http://www.monolithicpower.com/Products/Product-Detail?ProductID=745","http://new.zlgmcu.com/mps_datasheet/MP110.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2999","MP110","New","","900V Offline Switching Regulator","8.0","Regulator","85.0","420.0","300.0","Fixed Frequency","","900.0","30.0","10.0","","","1.02","","","Catalog","PDIP8-7/SOIC14-11","","True"
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HFC0400","http://www.monolithicpower.com/Products/Product-Detail?ProductID=12","http://new.zlgmcu.com/mps_datasheet/HFC0400.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=26","HFC0400","Active","","Fixed Frequency Flyback Controller with Ultra Low No Load Power Consumption","120.0","Controller","85.0","265.0","65.0","Fixed Frequency","999.0","700.0","30.0","13.0","","","0.95","999.0","999.0","Catalog","SOIC8-7","120.0",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HFC0310","http://www.monolithicpower.com/Products/Product-Detail?ProductID=11","http://new.zlgmcu.com/mps_datasheet/HFC0310.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=24","HFC0310","Active","","Fixed Frequency Flyback Controller, Low Standby Power","120.0","Controller","85.0","265.0","600.0","Fixed Frequency","999.0","","30.0","14.0","","","0.95","999.0","999.0","Catalog","SOIC8","120.0",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HFC0300","http://www.monolithicpower.com/Products/Product-Detail?ProductID=10","http://new.zlgmcu.com/mps_datasheet/HFC0300.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=21","HFC0300","Active","","Variable Off Time Flyback Controller","120.0","Controller","85.0","265.0","","Variable Frequency","999.0","700.0","30.0","","","","0.5","999.0","999.0","Catalog","SOIC-7","120.0",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HF01B04","http://www.monolithicpower.com/Products/Product-Detail?ProductID=803","http://new.zlgmcu.com/mps_datasheet/HF01B04.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3388","HF01B04","NRFND","","Quasi Resonant Regulator with internal 700V MOSFET","8.0","Regulator","85.0","265.0","150.0","Quasi-Resonant","","700.0","22.0","10.0","7.8","4.6","1.0","","","Catalog","PDIP8-7B, SOIC8-7B","",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HF01B03","http://www.monolithicpower.com/Products/Product-Detail?ProductID=802","http://new.zlgmcu.com/mps_datasheet/HF01B03.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4070","HF01B03","NRFND","","Quasi Resonant Regulator with internal 700V MOSFET","11.0","Regulator","85.0","265.0","150.0","Quasi-Resonant","","700.0","22.0","10.0","7.8","4.6","1.0","","","Catalog","PDIP8-7B","",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HF01B02","http://www.monolithicpower.com/Products/Product-Detail?ProductID=801","http://new.zlgmcu.com/mps_datasheet/HF01B02.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3382","HF01B02","NRFND","","Quasi Resonant Regulator with internal 700V MOSFET","14.0","Regulator","85.0","265.0","150.0","Quasi-Resonant","","700.0","22.0","10.0","7.8","4.6","1.0","","","Catalog","PDIP8-7B","",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HF01B00","http://www.monolithicpower.com/Products/Product-Detail?ProductID=800","http://new.zlgmcu.com/mps_datasheet/HF01B00.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3379","HF01B00","NRFND","","Quasi Resonant Regulator with internal 700V MOSFET","23.0","Regulator","85.0","265.0","150.0","Quasi-Resonant","","700.0","22.0","10.0","7.8","4.6","1.0","","","Catalog","PDIP8-7B","",""
"mps","AC-DC Power Conversion---Flybacks---Secondary Side Regulation","HF01B01","http://www.monolithicpower.com/Products/Product-Detail?ProductID=798","http://new.zlgmcu.com/mps_datasheet/HF01B01.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3372","HF01B01","NRFND","","Quasi Resonant Regulator with internal 700V MOSFET","18.0","Regulator","85.0","265.0","150.0","Quasi-Resonant","","700.0","22.0","10.0","7.8","4.6","1.0","","","Catalog","PDIP8-7B","",""
