brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Max) (V)","Cells","Battery Charge Votlage (V)","Battery Type","Charge Current (Max) (A)","Trickle Charge","Charge Status","Charge Type","Vin OVP (V)","Grade","Package","USB Mode","Charge Termination","Power Path","Timer","NTC","Enableor SHDN"
"mps","Battery Management---Linear Chargers","MP26023","http://www.monolithicpower.com/Products/Product-Detail?ProductID=444","http://new.zlgmcu.com/mps_datasheet/MP26023.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1043","MP26023","Active","","28V, 1A Linear, Li-Ion Battery Charger with Trickle Charge ","28.0","1 Cell","4.2","Li-Ion","1.0","Y","True","CC/CV Linear","6.0","Catalog","QFN3*3-10","","LDO mode","","","True","True"
"mps","Battery Management---Linear Chargers","MP26060","http://www.monolithicpower.com/Products/Product-Detail?ProductID=454","http://new.zlgmcu.com/mps_datasheet/MP26060.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1069","MP26060","Active","","1A Linear Li-Ion Battery Charger with Trickle Charge","24.0","1 Cell","4.15","Li-Ion","1.0","Y","True","CC/CV Linear","7.0","Catalog","QFN3x3-10","","LDOmode","","","","True"
"mps","Battery Management---Linear Chargers","MP2607","http://www.monolithicpower.com/Products/Product-Detail?ProductID=455","http://new.zlgmcu.com/mps_datasheet/MP2607.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1071","MP2607","Active","","Li + LINEAR Charger With System Power Path Management","12.0","1 Cell","4.2","Li-Ion","0.15","Y","True","CC/CV Linear","","Catalog","QFN3x4-14","True","STOP","True","True","True","True"
"mps","Battery Management---Linear Chargers","MP26121","http://www.monolithicpower.com/Products/Product-Detail?ProductID=457","http://new.zlgmcu.com/mps_datasheet/MP26121.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1076","MP26121","Active","","28V, 1A Li + Linear Battery Charger with 10% Battery-Full Threshold and Flexible NTC Interface","28.0","1 Cell","4.2","Li-Ion","1.0","Y","True","CC/CV Linear","7.0","Catalog","QFN3x3-10","","STOP","","True","True","True"
"mps","Battery Management---Linear Chargers","MP2631","http://www.monolithicpower.com/Products/Product-Detail?ProductID=458","http://new.zlgmcu.com/mps_datasheet/MP2631.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1078","MP2631","Active","","28V, 1A, Li-lon, Linear Battery Charger,with 10mA High Voltage LDO","28.0","1 Cell","4.2","Li-Ion","1.0","Y","True","CC/CV Linear","7.0","Catalog","QFN3x3-10","","STOP","","","","True"
"mps","Battery Management---Linear Chargers","MP2608","http://www.monolithicpower.com/Products/Product-Detail?ProductID=456","http://new.zlgmcu.com/mps_datasheet/MP2608.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1074","MP2608","Active","","24V, 1A Dual Input Linear Battery Charger With Timer","28.0","1 Cell","4.2","Li-Ion","1.0","Y","True","CC/CV Linear","6.0","Catalog","QFN3x3-10","True","STOP","","True","","True"
"mps","Battery Management---Linear Chargers","MP26053","http://www.monolithicpower.com/Products/Product-Detail?ProductID=449","http://new.zlgmcu.com/mps_datasheet/MP26053.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1056","MP26053","Active","","28V, 1A Li-Ion/Li-Polymer Battery Charger with 10% Battery-Full Threshold,Trickle Charge and Timer","28.0","1 Cell","4.2","Li-Ion","1.0","Y","True","CC/CV Linear","7.0","Catalog","QFN3x3-10","","STOP","","True","True","True"
"mps","Battery Management---Linear Chargers","MP26057","http://www.monolithicpower.com/Products/Product-Detail?ProductID=451","http://new.zlgmcu.com/mps_datasheet/MP26057.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1061","MP26057","Active","","28V, 1A Linear Li-lon Travel Charger with Trickle Charge and Timer","28.0","1 Cell","4.2","Li-Ion","1.0","Y","True","CC/CV Linear","7.0","Catalog","QFN3x3-10","","STOP","","True","True",""
"mps","Battery Management---Linear Chargers","MP26058","http://www.monolithicpower.com/Products/Product-Detail?ProductID=452","http://new.zlgmcu.com/mps_datasheet/MP26058.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1064","MP26058","Active","","28V, 1A Li + Linear Battery Charger with Timer and LDO Mode","28.0","1 Cell","4.2","Li-Ion","1.0","","True","CC/CV Linear","7.0","Catalog","QFN3x3-10","","LDOmode","","True","True","True"
"mps","Battery Management---Linear Chargers","MP26056","http://www.monolithicpower.com/Products/Product-Detail?ProductID=450","http://new.zlgmcu.com/mps_datasheet/MP26056.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1058","MP26056","Active","","28V, Li+Single-Cell Battery Charger with USB/AC-Adapter Input","28.0","1 Cell","4.2","Li-Ion","1.0","Y","True","CC/CV Linear","7.0","Catalog","QFN3x3-10","True","","","","","True"
