brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","Cells","Battery Charge Voltage (V)","Battery Type","VIN (Max) (V)","Charge Current (Max) (A)","NVDC","Switching Freq (kHz)","Special Features","Grade","Package","Prog. Charge Current (Max) (A)","Trickle Charge Threshold (V) (Vbatt_full=4.2V)","Recharge Threshold (V/cell) (Vbatt_full=4.2V)","Timer","Negative Temp Co-efficient Control (NTC)","Enableor SHDN","Internal LDO","Charge Status","Battery Discharge Current (A)"
"mps","Battery Management---Switching Chargers","MP2615","http://www.monolithicpower.com/Products/Product-Detail?ProductID=785","http://new.zlgmcu.com/mps_datasheet/MP2615.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3323","MP2615","New","","2A, 1 or 2-Cell Li-ion Battery Charger in QFN 3x3mm package","4.75","1-2 Cells","4.2","Li-Ion","18.0","2.0","","760","Synchronous","Catalog","QFN3x3-16","2.0","3.0","4.0","Y","Y","-","Y","Y",""
"mps","Battery Management---Switching Chargers","MP2625B","http://www.monolithicpower.com/Products/Product-Detail?ProductID=476","http://new.zlgmcu.com/mps_datasheet/MP2625B.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1703","MP2625B","Active","","2A, Switch-Mode, Li-Ion Charger with NVDC Power Path Management","4.5","1 Cell","4.2","","10.0","2.0","True","1500","Power Path,USB Mode,Synchronous","Catalog","QFN3x4-20","","","","","","","","","4.0"
"mps","Battery Management---Switching Chargers","MP2617B","http://www.monolithicpower.com/Products/Product-Detail?ProductID=473","http://new.zlgmcu.com/mps_datasheet/MP2617B.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1705","MP2617B","Active","","1.5MHz, Switching, Li-Ion Charger with NVDC Power Path Management","4.5","1 Cell","4.2","","10.0","3.0","True","1500","Power Path,USB Mode,Synchronous","Catalog","QFN3x4-20","","","","","","","","","4.0"
"mps","Battery Management---Switching Chargers","MP2619","http://www.monolithicpower.com/Products/Product-Detail?ProductID=470","http://new.zlgmcu.com/mps_datasheet/MP2619.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2038","MP2619","Active","","600kHz Switching Li-Ion Charger with System Power Path Mgmt","5.5","2-3 Cells","4.2","","24.0","2.0","","600","Power Path","Catalog","QFN4x5-28","","","","","","","","",""
"mps","Battery Management---Switching Chargers","MP2617A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=474","http://new.zlgmcu.com/mps_datasheet/MP2617A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1704","MP2617A","Active","","1.5MHz Switching Li-Ion Charger,with NVDC Power Path Management","4.5","1 Cell","4.35","","10.0","3.0","True","1500","Power Path,USB Mode,Synchronous","Catalog","QFN3x4-20","","","","","","","","","4.0"
"mps","Battery Management---Switching Chargers","MP2625","http://www.monolithicpower.com/Products/Product-Detail?ProductID=475","http://new.zlgmcu.com/mps_datasheet/MP2625.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1116","MP2625","Active","","1.5MHz Switching Li-Ion Charger,with NVDC Power Path Management","4.5","1 Cell","4.2","Li-Ion","12.0","2.0","True","1500","Power Path, USB Mode,Synchronous","Catalog","QFN3x4-20","2.0","3.0","4.0","Y","Y","Y","Y","Y","2.5"
"mps","Battery Management---Switching Chargers","MP2617","http://www.monolithicpower.com/Products/Product-Detail?ProductID=472","http://new.zlgmcu.com/mps_datasheet/MP2617.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1114","MP2617","Active","","1.5MHz Switching Li-Ion Charger,with NVDC Power Path Management","4.5","1 Cell","4.2","Li-Ion","12.0","2.0","True","1500","Power Path,USB Mode,Synchronous","Catalog","QFN3x4-20","3.0","3.0","4.0","Y","Y","Y","Y","Y","2.5"
"mps","Battery Management---Switching Chargers","MP2635","http://www.monolithicpower.com/Products/Product-Detail?ProductID=478","http://new.zlgmcu.com/mps_datasheet/MP2635.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1120","MP2635","Active","","2A single cell switching charger with power path management and 1.5A BOOST OTG","4.5","1 Cell","4.2","Li-Ion","6.0","2.0","","1200/600","Power Path,BOOST Mode,Synchronous","Catalog","QFN4x4-24","2.0","3.0","4.0","Y","Y","Y","Y","Y",""
"mps","Battery Management---Switching Chargers","MP2633","http://www.monolithicpower.com/Products/Product-Detail?ProductID=477","http://new.zlgmcu.com/mps_datasheet/MP2633.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1118","MP2633","Active","","1.5A single cell switching charger with power path management and 1.5A BOOST OTG","4.5","1 Cell","4.2","Li-Ion","6.0","1.5","","1200/600","Power Path,BOOST Mode,Synchronous","Catalog","QFN4x4-24","1.5","3.0","4.0","Y","Y","Y","Y","Y",""
"mps","Battery Management---Switching Chargers","MP2623","http://www.monolithicpower.com/Products/Product-Detail?ProductID=471","http://new.zlgmcu.com/mps_datasheet/MP2623.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2039","MP2623","Active","","3.6V/Cell Switching Li-lon Charger","4.5","1-2 Cells","3.6","Li-FePO4","24.0","2.0","","1100","","Catalog","QFN4x4-16","","","","","","","","Y",""
"mps","Battery Management---Switching Chargers","MP2611","http://www.monolithicpower.com/Products/Product-Detail?ProductID=467","http://new.zlgmcu.com/mps_datasheet/MP2611.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1102","MP2611","Active","","Single Cell Switching Charger with Separate Input for USB and AC Adapter","4.5","1 Cell","4.2","","6.0","2.0","","1500","Synchronous,Dual Input","Catalog","QFN3x4-14","","","","","","","","Y",""
"mps","Battery Management---Switching Chargers","MP26123","http://www.monolithicpower.com/Products/Product-Detail?ProductID=466","http://new.zlgmcu.com/mps_datasheet/MP26123.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1099","MP26123","Active","","600kHz Switching Li-Ion Battery Charger","9.0","2-3 Cells","4.2","Li-Ion","24.0","2.0","","600","","Catalog","QFN4x4-16","2.0","3.0","4.0","Y","Y","Y","Y","Y",""
"mps","Battery Management---Switching Chargers","MP26101","http://www.monolithicpower.com/Products/Product-Detail?ProductID=465","http://new.zlgmcu.com/mps_datasheet/MP26101.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1098","MP26101","Active","","4.1V/Cell Switching Li-Ion Charger","5.0","1-2 Cells","4.2","Li-Ion","24.0","2.0","","1100","","Catalog","QFN4x4-16","2.0","3.0","4.0","Y","Y","Y","Y","Y",""
"mps","Battery Management---Switching Chargers","MP2618","http://www.monolithicpower.com/Products/Product-Detail?ProductID=469","http://new.zlgmcu.com/mps_datasheet/MP2618.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1108","MP2618","NRFND","Refer to MP2619 for New Designs","600kHz Switching Li-Ion Charger with System Power Path Mgmt","5.5","2-3 Cells","4.2","","24.0","2.0","","600","Power Path","Catalog","QFN4x5-28","","","","","","","","Y",""
"mps","Battery Management---Switching Chargers","MP2610","http://www.monolithicpower.com/Products/Product-Detail?ProductID=464","http://new.zlgmcu.com/mps_datasheet/MP2610.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1095","MP2610","Active","","1.1MHz Switching Li-Ion Charger, up to 90% Efficiency","5.0","1-2 Cells","4.2","Li-Ion","24.0","2.0","","1100","","Catalog","QFN4x4-16","2.0","3.0","4.0","Y","Y","Y","Y","Y",""
"mps","Battery Management---Switching Chargers","MP2612","http://www.monolithicpower.com/Products/Product-Detail?ProductID=468","http://new.zlgmcu.com/mps_datasheet/MP2612.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1105","MP2612","NRFND","Refer to MP26123 for New Designs","600kHz Switching Li-Ion Battery Charger","9.0","2-3 Cells","4.2","","24.0","2.0","","600","","Catalog","QFN4x4-16","","","","","","","","",""
