brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Isw Limit (A)","Type","Total Pout(Max) (W)","Efficiency (%)","THD+N (%)  @1W","PSRR (dB)","Grade","Package"
"mps","Class-D Audio---Analog Input---BTL","MP7752","http://www.monolithicpower.com/Products/Product-Detail?ProductID=784","http://new.zlgmcu.com/mps_datasheet/MP7752.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3320","MP7752","New","-","5-18VDD, 2x15W Fixed Frequency  Filterless Sereo BTL Class-D Audio Amplifier ","5.0","18.0","5.0","Stereo BTL","30.0","90.0","0.06","-60.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---BTL","MP7751","http://www.monolithicpower.com/Products/Product-Detail?ProductID=740","http://new.zlgmcu.com/mps_datasheet/MP7751.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2964","MP7751","New","-","5V-26VDD, 2x20W Fixed Frequency Stereo BTL Class D Audio Amplifier","5.0","26.0","5.0","Stereo BTL","40.0","92.0","0.06","-60.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---BTL","MP7748S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=75","http://new.zlgmcu.com/mps_datasheet/MP7748S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=191","MP7748S","New","","60W Class-D Mono BTL Audio Amplifer","9.5","36.0","5.5","Mono BTL","60.0","90.0","0.02","-59.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---BTL","MP7770","http://www.monolithicpower.com/Products/Product-Detail?ProductID=76","http://new.zlgmcu.com/mps_datasheet/MP7770.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=193","MP7770","New","","90W Class-D Mono BTL Audio Amplifer","9.5","36.0","8.5","Mono BTL","90.0","95.0","0.03","-60.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---BTL","MPQ7731","http://www.monolithicpower.com/Products/Product-Detail?ProductID=78","http://new.zlgmcu.com/mps_datasheet/MPQ7731.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=198","MPQ7731","Active","","5W - 30W Class-D Mono Bridged Audio Amplifier","9.5","18.0","5.0","Mono BTL","30.0","90.0","0.1","-60.0","2,3","TSSOP20E"
"mps","Class-D Audio---Analog Input---BTL","MP7782","http://www.monolithicpower.com/Products/Product-Detail?ProductID=77","http://new.zlgmcu.com/mps_datasheet/MP7782.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=195","MP7782","Active","","50W Class-D Mono Bridged Audio Amplifier","9.5","24.0","5.0","Mono BTL","50.0","90.0","0.06","-60.0","Catalog","TSSOP20E"
"mps","Class-D Audio---Analog Input---BTL","MP7748","http://www.monolithicpower.com/Products/Product-Detail?ProductID=74","http://new.zlgmcu.com/mps_datasheet/MP7748.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=188","MP7748","NRFND","Refer to MP7748S for New Designs","50W Class-D Mono BTL Audio Amplifer ","9.5","36.0","4.5","Mono BTL","40.0","91.0","0.02","-59.0","Catalog","TSSOP28EP"
"mps","Class-D Audio---Analog Input---BTL","MP1740","http://www.monolithicpower.com/Products/Product-Detail?ProductID=70","http://new.zlgmcu.com/mps_datasheet/MP1740.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=176","MP1740","Active","","3W High Efficiency Mono Class-D Audio Amplifier","2.5","5.5","","Mono BTL","3.0","90.0","0.1","-62.0","Catalog","WLCSP9"
"mps","Class-D Audio---Analog Input---BTL","MP7745","http://www.monolithicpower.com/Products/Product-Detail?ProductID=73","http://new.zlgmcu.com/mps_datasheet/MP7745.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=185","MP7745","Active","","40W Class-D Mono BTL Audio Amplifer","9.5","26.0","4.5","Mono BTL","40.0","93.0","0.05","-59.0","Catalog","TSSOP20E"
"mps","Class-D Audio---Analog Input---BTL","MP1720","http://www.monolithicpower.com/Products/Product-Detail?ProductID=69","http://new.zlgmcu.com/mps_datasheet/MP1720.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=172","MP1720","Active","","2.7W Mono Class-D Low-EMI High-Efficiency Audio Amplifier","2.5","5.5","","Mono BTL","2.7","90.0","0.13","-60.0","Catalog","QFN3x3-10,MSOP10E"
"mps","Class-D Audio---Analog Input---BTL","MP7742","http://www.monolithicpower.com/Products/Product-Detail?ProductID=72","http://new.zlgmcu.com/mps_datasheet/MP7742.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=182","MP7742","Active","","30W Class-D Mono BTL Audio Amplifer","9.5","28.0","4.5","Mono BTL","30.0","90.0","0.018","-58.0","Catalog","TSSOP20E"
"mps","Class-D Audio---Analog Input---BTL","MP7731","http://www.monolithicpower.com/Products/Product-Detail?ProductID=71","http://new.zlgmcu.com/mps_datasheet/MP7731.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=179","MP7731","Active","","5W-30W Class-D Mono Bridged Audio Amplifier","9.5","18.0","5.0","Mono BTL","30.0","90.0","0.1","-60.0","Catalog","TSSOP20E"
