brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","IOUT(mA)","VOUT (Min) (V)","VOUT (Max) (V)","Fix_Output_Options","Iq(Typ)(uA)","PSRR@1KHz(dB)","Vdropout(mV)","Accuracy (±%)","Noise (uVrms)","Special Features","Package","Grade"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MPQ2013A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=813","http://new.zlgmcu.com/mps_datasheet/MPQ2013A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3424","MPQ2013A","New","","40V, 150mA, Low Quiescent Current Linear Regulator  with EN pin","2.5","40.0","150.0","1.215","15.0","","3.2","41.0","Low Dropout","2.0","","Current limit","TSOT23-5,QFN2x2-6,QFN3x3-8","Industrial"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP20056","http://www.monolithicpower.com/Products/Product-Detail?ProductID=722","http://new.zlgmcu.com/mps_datasheet/MP20056.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2913","MP20056","Active","","Low-Noise, High-PSRR, 250mA, Linear Regulator","2.5","5.5","250.0","0.8","5.0","1.8,3.3","150.0","65.0","Ultra Low Dropout","2.0","13.0","Current limit","QFN2x2-8,TSOT23-5","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP2013","http://www.monolithicpower.com/Products/Product-Detail?ProductID=673","http://new.zlgmcu.com/mps_datasheet/MP2013.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1792","MP2013","Active","40V, 150mA, Low Quiescent Current Linear Regulator
","40V, 150mA, Low Quiescent Current Linear Regulator
","2.5","40.0","150.0","1.215","15.0","1.8, 1.9, 2.3, 2.5, 3.0, 3.3, 3.45, 5.0","3.2","41.0","Low Dropout","2.0","","Current limit","TSOT23-5,QFN2x2-6,QFN3x3-8","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MPQ2013","http://www.monolithicpower.com/Products/Product-Detail?ProductID=729","http://new.zlgmcu.com/mps_datasheet/MPQ2013.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2920","MPQ2013","Active","","Industrial Grade, 40V, 150mA, Low Quiescent Current Linear Regulator","2.5","40.0","150.0","1.25","15.0","","3.2","41.0","Low Dropout","2.0","","Current limit","QFN2x2-6,QFN3x3-8","Industrial"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MPQ20051-AEC1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=731","http://new.zlgmcu.com/mps_datasheet/MPQ20051-AEC1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2926","MPQ20051-AEC1","Active","","Low Noise, High PSRR, 1A Linear Regulator with AEC-Q100 qualified","2.5","5.5","1000.0","0.8","5.0","","110.0","63.0","Low Dropout","2.0","13.0","Current limit","QFN3x3-8","Automotive"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MPQ20051","http://www.monolithicpower.com/Products/Product-Detail?ProductID=730","http://new.zlgmcu.com/mps_datasheet/MPQ20051.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2923","MPQ20051","Active","","Industrial Grade, Low Noise, High PSRR, 1A Linear Regulator","2.5","5.5","1000.0","0.8","5.0","","110.0","63.0","Low Dropout","2.0","13.0","Current limit","QFN3x3-8","Industrial"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MPQ20056","http://www.monolithicpower.com/Products/Product-Detail?ProductID=723","http://new.zlgmcu.com/mps_datasheet/MPQ20056.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2915","MPQ20056","Active","","Industrial Grade, Low-Noise, High-PSRR, 250mA, Linear Regulator","2.5","5.5","250.0","0.8","5.0","1.8,3.3","150.0","63.0","Ultra Low Dropout","2.0","13.0","Current limit","QFN2x2-8,TSOT23-5","Industrial"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MPQ20056-AEC1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=413","http://new.zlgmcu.com/mps_datasheet/MPQ20056-AEC1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1742","MPQ20056-AEC1","Active","","Low-Noise, High-PSRR, 250mA Linear Regulator AEC-Q100 Qualified","2.5","5.5","250.0","0.8","5.0","1.8,3.3","150.0","63.0","Ultra Low Dropout","2.0","13.0","Current limit","QFN2x2-8,TSOT23-5","Automotive"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MPQ8904-AEC1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=415","http://new.zlgmcu.com/mps_datasheet/MPQ8904-AEC1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1739","MPQ8904-AEC1","Active","","Industrial / Automotive grade 500mA Linear Regulator","2.5","6.5","500.0","0.5","5.0","","140.0","78.0","Low Dropout","","","PG,Current limit","QFN2x3-8","Automotive"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP8903","http://www.monolithicpower.com/Products/Product-Detail?ProductID=411","http://new.zlgmcu.com/mps_datasheet/MP8903.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=975","MP8903","Active","","Low Dropout 150mA Linear Regulator","2.7","6.5","150.0","1.25","5.0","2.5, 2.85, 3.3","","50.0","Ultra Low Dropout","2.0","","","QFN2x2-8,TSOT23-5","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP8902","http://www.monolithicpower.com/Products/Product-Detail?ProductID=410","http://new.zlgmcu.com/mps_datasheet/MP8902.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1793","MP8902","Active","","Low Dropout 250mA Linear Regulator","2.7","6.5","250.0","1.25","5.0","2.5 ,2.85, 3.3","125.0","70.0","Low Dropout","2.0","","","QFN2x2-8","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP8801","http://www.monolithicpower.com/Products/Product-Detail?ProductID=408","http://new.zlgmcu.com/mps_datasheet/MP8801.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=969","MP8801","Active","","Low Dropout 150mA Linear Regulator","2.7","6.5","150.0","1.25","5.0","2.5, 2.85, 3.3","125.0","70.0","Ultra Low Dropout","2.0","","","TSOT23-5","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP20051","http://www.monolithicpower.com/Products/Product-Detail?ProductID=400","http://new.zlgmcu.com/mps_datasheet/MP20051.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=946","MP20051","Active","","Low Noise, High PSRR,1A Linear Regulator","2.5","5.5","1000.0","0.8","5.0","","110.0","63.0","Low Dropout","2.0","13.0","Current limit","SOIC8E,QFN3x3-8","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP8802","http://www.monolithicpower.com/Products/Product-Detail?ProductID=409","http://new.zlgmcu.com/mps_datasheet/MP8802.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=972","MP8802","Active","","Low Dropout 250mA Linear Regulator","2.7","6.5","250.0","1.25","5.0","2.5, 2.85, 3.3","125.0","70.0","Low Dropout","2.0","","","TSOT23-5","Catalog"
"mps","DC-DC Power Conversion---LDO & Voltage Supervisory---LDO---Single-Channel","MP20046","http://www.monolithicpower.com/Products/Product-Detail?ProductID=396","http://new.zlgmcu.com/mps_datasheet/MP20046.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=934","MP20046","Active","","Fast Transient Response, 2A Low Dropout Voltage Regulator","2.7","5.5","2000.0","1.5","3.3","1.5,1.8,2.5,3.3","75.0","70.0","Low Dropout","0.1","17.0","PG,Current limit","QFN3x3-10,SOIC8E","Catalog"
