brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Regulated Outputs (#)","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Min) (V)","VOUT (Max) (V)","Isw Limit(Typ)(A)","MaxDutyCycle","IOUT(max)(A)","Iq (Typ)(mA)","VFB(Typ)(V)","SwitchingFreq(Max)(kHz)","Common Features","Special Features","Control Mode","Package","Grade"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2420","http://www.monolithicpower.com/Products/Product-Detail?ProductID=958","http://new.zlgmcu.com/mps_datasheet/MP2420.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4304","MP2420","New","","","75V, 0.3A, Synchronous Step-Down Converter with Watchdog","4.5","75.0","","","","","0.3","0.02","1.0","1000.0","External Soft Start Sync Rectification","Programmable Frequency","current mode","TSSOP-16 EP","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ2420","http://www.monolithicpower.com/Products/Product-Detail?ProductID=956","http://new.zlgmcu.com/mps_datasheet/MPQ2420.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4295","MPQ2420","New","","","Industrial Grade, 75V, 0.3A, Synchronous Step-Down Converter with Watchdog","4.5","75.0","","","","","0.3","0.02","1.0","1000.0","External Soft Start Sync Rectification","Programmable Frequency","Current Mode","TSSOP-16 EP","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1470B","http://www.monolithicpower.com/Products/Product-Detail?ProductID=946","http://new.zlgmcu.com/mps_datasheet/MP1470B.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4264","MP1470B","New","","1.0","2A,16V,500kHz,Synchronous Step-Down Converter with forced CCM","4.7","16.0","0.8","","3.7","0.92","2.0","0.83","0.8","500.0","Light Load Efficiency, Sync Rectification","","Current mode","TSOT23-6","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB682","http://www.monolithicpower.com/Products/Product-Detail?ProductID=930","http://new.zlgmcu.com/mps_datasheet/NB682.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4125","NB682","New","","1.0"," Wide Vin 4.5-26V, 3A, Wide Output,Sync Buck with 2-Bit VID","4.5","26.0","","3.3","4.0","","3.0","0.15","0.6","750.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode,Output Adjustable by 2-Bit VID","COT","QFN2x3-13","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB681A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=929","http://new.zlgmcu.com/mps_datasheet/NB681A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4123","NB681A","New","","1.0","Wide Vin 4.5-26V, 6.5A, Low Iq, High Current Sync Buck with 2-Bit VID","4.5","26.0","","3.3","7.6","","6.5","0.15","0.6","750.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode,Output Adjustable by 2-Bit VID","COT","QFN2x3-13","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB686","http://www.monolithicpower.com/Products/Product-Detail?ProductID=926","http://new.zlgmcu.com/mps_datasheet/NB686.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4105","NB686","New","","1.0","Wide Vin 4.5-26V,8A,Low Iq, High Current Synchronous Buck Converter with +/-1A LDO and Bufferd Refference","4.5","26.0","0.6","3.3","10.0","","8.0","0.185","0.6","700.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode,Selectable Frequency","COT","QFN3x3-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2326","http://www.monolithicpower.com/Products/Product-Detail?ProductID=919","http://new.zlgmcu.com/mps_datasheet/MP2326.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4083","MP2326","New","","1.0","4A, 19V, 40uA Iq, High Efficiency, Step-Down Converter with PG and External SS","3.9","19.0","0.6","","7.5","","4.0","0.04","0.6","1100.0","Power Good, External Soft Start, Light Load Efficiency, Sync Rectification","Programmable Frequency","COT","QFN2x3-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2161A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=918","http://new.zlgmcu.com/mps_datasheet/MP2161A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4080","MP2161A","","","1.0","High Efficiency,2A, 6V, 1.5MHz,17uA Iq, COT Synchronous Step Down Converter with better Vfb accuracy and better load regulation in TSOT23-8","2.5","6.0","0.6","6.0","3.2","1.0","2.0","0.017","0.6","1500.0","Power Good, Light Load Efficiency, Sync Rectification","100% Duty Cycle","COT","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2159A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=917","http://new.zlgmcu.com/mps_datasheet/MP2159A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4077","MP2159A","New","","1.0","High Efficiency,1A, 6V, 1.5MHz,17uA Iq, COT Synchronous Step Down Converter with better Vfb accuracy and better load regulation in TSOT23-8","2.5","6.0","0.6","6.0","","1.0","1.0","0.017","0.6","1500.0","Power Good, Light Load Efficiency, Sync Rectification","100% Duty Cycle","COT","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1470H","http://www.monolithicpower.com/Products/Product-Detail?ProductID=916","http://new.zlgmcu.com/mps_datasheet/MP1470H.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4074","MP1470H","New","","1.0","16V, 2A, High-Efficiency, Step-Down Converter fixed at CCM Mode","4.5","16.0","0.8","13.9","4.0","0.87","2.0","0.83","0.804","1000.0","Light Load Efficiency, Sync Rectification","","Current Mode","TSOT23-6","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ2454-AEC1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=912","http://new.zlgmcu.com/mps_datasheet/MPQ2454-AEC1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4053","MPQ2454-AEC1","Active","","1.0","Automotive Grade, 36V, 0.6A, Low Iq Step-Down Converter with PG and External Soft Start, AEC-Q100 Qualified","3.3","36.0","","","1.8","","0.6","0.06","0.8","2300.0","Power Good, External Soft Start","Programmable Frequency","Current Mode","QFN3x3-10","Automotive"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ2454","http://www.monolithicpower.com/Products/Product-Detail?ProductID=911","http://new.zlgmcu.com/mps_datasheet/MPQ2454.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4050","MPQ2454","Active","","1.0","Industrial Grade, 36V, 0.6A, Low Iq Step-Down Converter with PG and External Soft Start","3.3","36.0","","","1.8","","0.6","0.06","0.8","2300.0","Power Good, External Soft Start","Programmable Frequency","Current Mode","QFN3x3-10","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2454 ","http://www.monolithicpower.com/Products/Product-Detail?ProductID=910","http://new.zlgmcu.com/mps_datasheet/MP2454 .pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4047","MP2454 ","Active","","1.0","36V, 0.6A, Low Iq Step-Down Converter with PG and External Soft Start","3.3","36.0","","","1.8","","0.6","0.06","0.8","2300.0","Power Good, External Soft Start","Programmable Frequency","Current Mode","QFN3x3-10","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB679A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=903","http://new.zlgmcu.com/mps_datasheet/NB679A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4023","NB679A","New","","1.0","Wide Vin 5.5-26V, Low Iq, High Current, Fixed 5.1V-8A Synchronous Buck Converter with 100mA LDO and LP# Vout Scaling","5.5","26.0","5.1","5.1","11.0","","8.0","0.11","5.1","700.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode,LP# Output Voltage Scaling","COT","QFN2x3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB680A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=902","http://new.zlgmcu.com/mps_datasheet/NB680A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4021","NB680A","New","","1.0","Wide Vin 5.5-26V, Low Iq, High Current, Fixed 3.36V-8A Synchronous Buck Converter with 100mA LDO and LP# Vout Scaling","5.5","26.0","3.36","3.36","11.0","","8.0","0.11","3.36","700.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode,LP# Output Voltage Scaling","COT","QFN2x3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB685 ","http://www.monolithicpower.com/Products/Product-Detail?ProductID=899","http://new.zlgmcu.com/mps_datasheet/NB685 .pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4012","NB685 ","New","","1.0","Wide Vin 4.5-26V,12A,Low Iq, High Current Synchronous Buck Converter with +/-1A LDO and Bufferd Refference","4.5","26.0","0.6","3.3","13.0","","12.0","0.185","0.6","700.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode,Selectable Frequency","COT","QFN3x3-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB681 ","http://www.monolithicpower.com/Products/Product-Detail?ProductID=898","http://new.zlgmcu.com/mps_datasheet/NB681 .pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4009","NB681 ","New","","1.0","Wide Vin 4.5-26V,6A,Low Iq, High Current Synchronous Buck Converter with 2-Bit VID","4.5","26.0","","1.2","7.6","","6.0","0.15","0.6","750.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode,Output Adjustable by 2-Bit VID","COT","QFN2x3-13","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB679 ","http://www.monolithicpower.com/Products/Product-Detail?ProductID=897","http://new.zlgmcu.com/mps_datasheet/NB679 .pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4006","NB679 ","New","","1.0","Wide Vin 5.5-26V, Low Iq, High Current, Fixed 5V-8A Synchronous Buck Converter with 100mA LDO","5.5","26.0","5.0","5.0","11.0","","8.0","0.11","5.0","700.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode","COT","QFN2x3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB680","http://www.monolithicpower.com/Products/Product-Detail?ProductID=896","http://new.zlgmcu.com/mps_datasheet/NB680.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4003","NB680","New","","1.0","Wide Vin 4.8-26V, Low Iq, High Current, Fixed 3.3V-8A Synchronous Buck Converter with 100mA LDO","4.8","26.0","3.3","3.3","11.0","","8.0","0.12","3.3","700.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Ultrasonic Mode","COT","QFN2x3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2235S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=892","http://new.zlgmcu.com/mps_datasheet/MP2235S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3991","MP2235S","New","","1.0","3A, 16V, 800kHz, Synchronous Step-Down Converter with Ext.SS ","4.5","16.0","0.8","","5.0","0.95","3.0","0.5","0.804","800.0","External Soft Start, Light Load Efficiency, Sync Rectification","External Frequency Sync","Current mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2234S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=891","http://new.zlgmcu.com/mps_datasheet/MP2234S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3989","MP2234S","New","","1.0","2A, 16V, 800kHz, Synchronous Step-Down Converter with Ext.SS ","4.5","16.0","0.8","","4.0","0.95","2.0","0.5","0.804","800.0","External Soft Start,Light Load Efficiency, Sync Rectification","External Frequency Sync","Current mode","TSOT23-8","Catalog"
