brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Max) (V)","Channels (#)","Isw Limit (A)","Channel Current (Max) (A)","LEDx ABS Voltage (V)","Switching Freq(Min) (kHz)","Switching Freq(Max) (kHz)","Topologies","Power MOSFET","Dimming (Output)","Other Features","Grade","Packages","Typical LCD Screen Sizes","Quisent Current (mA)","Shutdown Current (uA)","VFB(V)","Rds(on)(mΩ)"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3378","http://www.monolithicpower.com/Products/Product-Detail?ProductID=945","http://new.zlgmcu.com/mps_datasheet/MP3378.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4260","MP3378","New","","4-Channel WLED Controller And High Efficiency Buck Converter","5.0","24.0","","4.0","","0.35","55.0","250.0","2000.0","1,2","External","1,2","Multiple Outputs","Catalog","SOIC28, TSSOP28EP","2,3","","","",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3385","http://www.monolithicpower.com/Products/Product-Detail?ProductID=942","http://new.zlgmcu.com/mps_datasheet/MP3385.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4251","MP3385","New","","4-ch, 80V Boost WLED Controller with I2C","4.5","33.0","","4.0","","0.3","80.0","100.0","900.0","Boost","External","1,2,3","I2C, Cascade, Inductor Short Protection","Catalog","QFN4x4-20","2,3","3.0","1.0","0.6",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3310N","http://www.monolithicpower.com/Products/Product-Detail?ProductID=844","http://new.zlgmcu.com/mps_datasheet/MP3310N.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3527","MP3310N","Active","","4.5V-25Vin, 50Vout, 1.3A Boost WLED driver with OVP Hiccup Protection","4.5","25.0","50.0","1.0","1.3","","","300.0","1200.0","Boost","Integrated","P-Dim","","Catalog","QFN3x3-10","1,2","1.0","1.0","0.5","300.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3373","http://www.monolithicpower.com/Products/Product-Detail?ProductID=780","http://new.zlgmcu.com/mps_datasheet/MP3373.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3310","MP3373","New","","8-Channel 350mA/ch Boost WLED Controller with Phase Shift and Ext. Current Sink BJTs","9.0","40.0","","8.0","","0.35","55.0","100.0","1000.0","Boost","External","1,2","Cascade, Inductor Short Protection, Phase Shift PWM Dimming","Catalog","SOIC28, TSSOP28","3,4","5.0","1.0","0.2",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3309C","http://www.monolithicpower.com/Products/Product-Detail?ProductID=744","http://new.zlgmcu.com/mps_datasheet/MP3309C.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2997","MP3309C","New","","2.7V-5.5Vin, 1.5A, Synchronous Boost WLED Driver with I2C Interface for Tablet and Smart Phone","2.7","5.5","35.0","1.0","1.5","","","300.0","1200.0","Boost","Integrated","1,2","Sync Rectification, I2C, CABC","Catalog","QFN1.4x1.8-10","Small (<10")","0.42","1.0","0.2","300.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3309","http://www.monolithicpower.com/Products/Product-Detail?ProductID=743","http://new.zlgmcu.com/mps_datasheet/MP3309.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2995","MP3309","New","-","2.7V-5.5Vin, 1.5A, Synchronous Boost WLED Driver for Tablet and Smart Phone","2.7","5.5","35.0","1.0","1.5","","","300.0","1200.0","Boost","Integrated","1,2","Sync Rectification, CABC","Catalog","QFN1.4x1.8-10","Small (<10")","0.42","1.0","0.2","300.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3312","http://www.monolithicpower.com/Products/Product-Detail?ProductID=695","http://new.zlgmcu.com/mps_datasheet/MP3312.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2841","MP3312","New","","MP3312 - 2.7-5.5Vin, 38Vout Dual Channel Boost WLED Driver, P2P with TPS61163","2.5","5.5","38.0","2.0","1.8","0.03","40.0","1200.0","1200.0","Boost","Integrated","A-Dim","1-Wire","Catalog","WLCSP1.35x1.35-9","Small (<10")","1.0","1.0","0.24","200.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3387L","http://www.monolithicpower.com/Products/Product-Detail?ProductID=738","http://new.zlgmcu.com/mps_datasheet/MP3387L.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2959","MP3387L","New","","6 Strings 50Vout Boost WLED Driver with Smart Dimming for Tablet & Notebook PC","3.0","25.0","50.0","6.0","2.5","0.045","50.0","500.0","1250.0","Boost","Integrated","Smart-Dim","","Catalog","TQFN4x4-24","Medium (10"-29")","1.6","2.0","0.6","180.0"
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3398A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=546","http://new.zlgmcu.com/mps_datasheet/MP3398A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1268","MP3398A","New","","5V-28Vin, 4-Channel, 350mA/ch WLED Boost Controller with Separate PDIM and  ADIM Pins","5.0","28.0","","4.0","","0.35","55.0","100.0","500.0","Boost","External","1,2","Cascade, Inductor Short Protection","Catalog","TSSOP16EP,SOIC16,SOIC20","2,3,4","1.35","0.01","",""
"mps","Display Backlighting Power---Backlight Drivers (WLED)","MP3306","http://www.monolithicpower.com/Products/Product-Detail?ProductID=531","http://new.zlgmcu.com/mps_datasheet/MP3306.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1231","MP3306","Active","","3V-12Vin Synchronous Boost WLED With Integrated Disconnet FET","3.0","12.0","30.0","1.0","1.8","","","690.0","690.0","Boost","Integrated","1,2","Sync Rectification, Output/Input Disconnect","Catalog","QFN2x2-12","Small (<10")","0.38","0.1","0.202","600.0"
