brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","IOUT(max)(A)","CurrentLimit(A)","Iq(Typ)(uA)","Channel_Number","Enable","Fault_Flag","Rds(on)(mΩ)","Slew rate control","Special Features","Grade","Package"
"mps","E-Fuse & Load Switches---E-Fuse","MP5014A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=940","http://new.zlgmcu.com/mps_datasheet/MP5014A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4247","MP5014A","New","","12 V, 5 A, Programmable Current-Limit Switch with Over-Volatge Clamp and Slew-Rate Control in TSOT23-8","10.0","13.8","5.0","Prog","1000.0","1.0","Active High","Thermal Shutdown","36.0","Yes","","Catalog","TSOT23-8"
"mps","E-Fuse & Load Switches---E-Fuse","MP5013A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=939","http://new.zlgmcu.com/mps_datasheet/MP5013A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4245","MP5013A","New","","5V, 5A Programmable Current-Limit Switch with Over-Voltage Clamp and Slew-Rate Control in TSOT23-8","3.0","5.5","5.0","Prog","860.0","1.0","Active High","Thermal Shutdown","36.0","Yes","","Catalog","TSOT23-8"
"mps","E-Fuse & Load Switches---E-Fuse","MP5021B","http://www.monolithicpower.com/Products/Product-Detail?ProductID=908","http://new.zlgmcu.com/mps_datasheet/MP5021B.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4039","MP5021B","New","","12V,7mΩ Rdson Hot-Swap protection Device with current monitoring and Controlled Ron Mode","4.8","16.0","10.0","Prog.","1100.0","1.0","Active High","Current-Limit,Thermal Shut-Down,Damaged MOSFET","7.0","Yes","Output Discharge,Current monitoring","Catalog","QFN3x5-22"
"mps","E-Fuse & Load Switches---E-Fuse","MP5018","http://www.monolithicpower.com/Products/Product-Detail?ProductID=812","http://new.zlgmcu.com/mps_datasheet/MP5018.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3421","MP5018","New","","5V, 1A-5A Current Limit Switch with Reverse Current Blocking and Output Over-voltage Clamp","4.5","5.5","5.0","Prog.","210.0","1.0","Active High","Thermal Fault = Tri-State","45.0","Yes","Reverse Current Blocking","Catalog","QFN2x3-12"
"mps","E-Fuse & Load Switches---E-Fuse","MP5022A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=739","http://new.zlgmcu.com/mps_datasheet/MP5022A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2962","MP5022A","New","","12V,3mΩ Rdson Hot-Swap protection Device with current monitoring and Controlled Ron Mode","8.0","16.0","15.0","Prog.","1300.0","1.0","Active High","Current Limit,Thermal Shut Down,Damaged MOSFET","3.0","Yes","Output Discharge,Current monitoring","Catalog","QFN3x5-22"
"mps","E-Fuse & Load Switches---E-Fuse","MP5010S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=620","http://new.zlgmcu.com/mps_datasheet/MP5010S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1422","MP5010S","New","","5V, 1A- 5A Programmable Current Limit Switch","4.0","18.0","5.0","Prog.","815.0","1.0","Active High","Thermal Fault = Tri-State","40.0","Yes","","Catalog","QFN3x3-10"
"mps","E-Fuse & Load Switches---E-Fuse","MP5000A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=610","http://new.zlgmcu.com/mps_datasheet/MP5000A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1397","MP5000A","New","","12V, 5A Programmable Current Limit Switch with different SS time,Trip/ hold Current and Rds","10.0","18.0","5.0","Prog.","1000.0","1.0","Active High","Thermal Fault = Tri-State","40.0","Yes","","Catalog","QFN3x3-10"
"mps","E-Fuse & Load Switches---E-Fuse","MP5021","http://www.monolithicpower.com/Products/Product-Detail?ProductID=622","http://new.zlgmcu.com/mps_datasheet/MP5021.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1553","MP5021","Active","","12V,7mΩ Rdson Hot-Swap protection Device with current monitoring","8.0","16.0","10.0","Prog 5 to 15","1000.0","1.0","Active High","Current Limit,Thermal Shut Down,Damaged MOSFET","7.0","Yes","Output Discharge,Current Monitoring","Catalog","QFN3x5-22"
"mps","E-Fuse & Load Switches---E-Fuse","MP5000S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=611","http://new.zlgmcu.com/mps_datasheet/MP5000S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1399","MP5000S","Active","","12V, 5A Programmable Current Limit Switch with different SS time and Rds","10.0","18.0","5.0","Prog.","1000.0","1.0","Active High","Thermal Fault = Tri-State","40.0","Yes","","Catalog","QFN3x3-10"
"mps","E-Fuse & Load Switches---E-Fuse","MP5010B","http://www.monolithicpower.com/Products/Product-Detail?ProductID=619","http://new.zlgmcu.com/mps_datasheet/MP5010B.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1419","MP5010B","Active","","3V-18V, 1A-5A Programmable-Current-Limit Switch with Over-Voltage Clamp","3.0","18.0","5.0","Prog.","860.0","1.0","Active High","Thermal Fault = Tri-State","40.0","Yes","","Catalog","QFN3x3-10"
"mps","E-Fuse & Load Switches---E-Fuse","MP5010A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=618","http://new.zlgmcu.com/mps_datasheet/MP5010A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1416","MP5010A","Active","","3V-18V, 1A-5A Programmable-Current-Limit Switch with Over-Voltage Clamp","3.0","18.0","5.0","Prog.","815.0","1.0","Active High","Thermal Fault = Tri-State","40.0","Yes","","Catalog","QFN3x3-10"
"mps","E-Fuse & Load Switches---E-Fuse","MP5011","http://www.monolithicpower.com/Products/Product-Detail?ProductID=621","http://new.zlgmcu.com/mps_datasheet/MP5011.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1425","MP5011","NRFND","Refer to  MP5000A.","12V, 5A Programmable Current Limit Switch","9.0","15.0","5.0","Prog.","1500.0","1.0","Active High","Thermal Fault = Tri-State","44.0","Yes","","Catalog","QFN3x3-10"
